q,cell_over_core,backend,n_nodes,ring_radius_over_core,image_shell,core_model,fd_eps_over_core,spectral_abscissa,gap_after_neutral,unstable_count,self_jacobian_norm,interaction_jacobian_norm,interaction_to_self_norm,neutral_effective_norm,neutral_gap_normalized,neutral_abscissa_normalized,neutral_positive_count,raw_rms,shape_rms,relative_shape_residual,equilibrium_gate_ok,interaction_decay_exponent
2.5,12.182493960703473,cpp,16,4.0,1,0,0.0005,0.009275082436157475,0.008514053511470466,4,0.17530583283206094,0.01575554766187659,0.08987463455919377,0.002662119165064085,7.691142533394864e-05,1.1426009924416414e-13,0,0.03363859248230926,0.0005137484399163099,0.015272590260323567,True,
3.25,25.790339917193062,cpp,16,4.0,1,0,0.0005,0.0066011661384866435,0.005088138175428257,6,0.17530583283206094,0.0002650711375353405,0.0015120497319063692,4.268679303685258e-05,6.206802208524824e-05,-7.998077264229683e-14,0,0.03949617319129657,1.6313573809464627e-06,4.1304188460110124e-05,True,5.446599441657713
4.0,54.598150033144236,cpp,16,4.0,1,0,0.0005,0.0065370668341113245,0.00501880425704433,6,0.17530583283206094,6.245848404024262e-06,3.562829771903622e-05,1.0105597172003176e-06,6.148527244897806e-05,1.9747033340756946e-11,0,0.03962905599509445,7.592194241888559e-09,1.915815063277907e-07,True,4.997441661085913
4.75,115.58428452718766,cpp,16,4.0,1,0,0.0005,0.0065355010664885594,0.005017155648276352,4,0.17530583283206094,1.4753103886881218e-07,8.415637773452957e-07,2.3923795126763077e-08,6.164627012212203e-05,1.0962214315700956e-10,0,0.03963223480032384,3.8779429671341964e-11,9.78482032787742e-10,True,4.994178240010857
5.5,244.69193226422038,cpp,16,4.0,1,0,0.0005,0.006535463846528902,0.00501711663451246,4,0.17530583283206094,3.4736706061547286e-09,1.981491745047883e-08,5.636107601623428e-10,6.170077374099794e-05,5.02889247309092e-10,0,0.039632309953506736,2.022616444439309e-13,5.1034533359576344e-12,True,4.998435653611383
6.25,518.012824668342,cpp,16,4.0,1,0,0.0005,0.006535462969000286,0.005017115715527146,4,0.17530583283206094,8.171510713584534e-11,4.661288550172006e-10,1.3260158515003278e-11,6.162381412093526e-05,1.5041599805535623e-10,0,0.039632311723151896,1.0703184180648596e-15,2.700620709539925e-14,True,4.999637641051662
7.0,1096.6331584284585,cpp,16,4.0,1,0,0.0005,0.006535462948351094,0.005017115693906717,4,0.17530583283206094,1.9218727376287544e-12,1.0962970864009216e-11,3.1187739971558916e-13,6.102196230108853e-05,-6.945300755443159e-09,0,0.039632311764781686,4.440462893140166e-17,1.1204148068612234e-15,True,4.999918399723239
7.75,2321.572414611057,cpp,16,4.0,1,0,0.0005,0.0065354629478648505,0.005017115693398217,4,0.17530583283206094,4.5198545150916875e-14,2.578268185418341e-13,7.334756619492719e-15,6.379671430406584e-05,2.575400527945708e-07,1,0.0396323117657608,4.0123437289393006e-17,1.0123920483502176e-15,True,4.9999872992424725
8.5,4914.768840299134,cpp,16,4.0,1,0,0.0005,0.006535462947853335,0.005017115693386247,4,0.17530583283206094,1.0629519658925806e-15,6.06341471199572e-15,1.7250039918527905e-16,2.1924748205527058e-05,3.7515435158095814e-06,1,0.03963231176578382,2.2944224850774033e-17,5.789272396313432e-16,True,5.000019984482397
9.25,10404.565716560723,cpp,16,4.0,1,0,0.0005,0.00653546294785314,0.005017115693385979,4,0.17530583283206094,2.498846707577789e-17,1.4254213149722337e-16,4.052377752501069e-18,0.00011195281100320493,0.00010801817956701597,2,0.03963231176578439,6.001189916253908e-17,1.5142164685520293e-15,True,5.000521051405319
10.0,22026.465794806718,cpp,16,4.0,1,0,0.0005,0.006535462947853142,0.005017115693385967,4,0.17530583283206094,5.889840065621244e-19,3.3597513388294268e-18,9.585439780820393e-20,0.0015705382471901685,0.000852679317961718,2,0.03963231176578438,4.535709289468649e-17,1.1444473177021298e-15,True,4.9970275342718695
10.75,46630.028453524326,cpp,16,4.0,1,0,0.0005,0.006535462947853137,0.0050171156933859744,4,0.17530583283206094,1.3817814644991077e-20,7.882119163843358e-20,2.255165937163713e-21,0.0038874007080350625,0.041932653181688616,3,0.03963231176578436,1.4462871131442192e-17,3.6492625554909914e-16,True,5.003253805049784
11.5,98715.7710107605,cpp,16,4.0,1,0,0.0005,0.006535462947853133,0.005017115693385973,4,0.17530583283206094,5.335429788083183e-22,3.0434981551323537e-21,4.31898424662309e-23,0.058600926934896914,0.6070741596560882,1,0.039632311765784405,3.698609154094157e-17,9.332307375738958e-16,True,4.338899103127139
12.25,208981.28886971297,cpp,16,4.0,1,0,0.0005,0.006535462947853135,0.0050171156933859675,4,0.17530583283206094,1.0433348579658801e-22,5.951512514505844e-22,1.7901489186173147e-23,0.012964032521573025,0.012964032521573025,1,0.039632311765784384,4.114572936646803e-17,1.0381864577980591e-15,True,2.175929685876614
