candidate_id,carrier_id,family,source,source_qualified,condition,gamma_core,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,n_threads,helix_turns,thread_gamma_each,hole_clearance,combined_initial_gap_core,carrier_self_gap_core,bundle_radius,thread_density_proxy,link_matrix_json
CAND_965221E779D42B6B,TORUS_T2_3,torus,"analytic T(2,q)",True,null,1.0,0.0,0.0,total_beta,3,1.0,0.0,0.6702904680841157,4.933396206495043,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016717639698607, 2.001671778743575, 2.001671778895128]]"
CAND_A00D79A662771895,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.0,-1.5,-1.5,total_beta,3,1.0,-0.5,0.6702904680841157,4.933396206495043,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016717639698607, 2.001671778743575, 2.001671778895128]]"
CAND_62B14E30874C13CF,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.0,-0.75,-0.75,total_beta,3,1.0,-0.25,0.6702904680841157,4.933396206495043,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016717639698607, 2.001671778743575, 2.001671778895128]]"
CAND_2C4464993F89D28F,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.0,0.75,0.75,total_beta,3,1.0,0.25,0.6702904680841157,4.933396206495043,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016717639698607, 2.001671778743575, 2.001671778895128]]"
CAND_F5D91600F6F310B8,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.0,1.5,1.5,total_beta,3,1.0,0.5,0.6702904680841157,4.933396206495043,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016717639698607, 2.001671778743575, 2.001671778895128]]"
CAND_981900FD4DF384E1,TORUS_T2_3,torus,"analytic T(2,q)",True,null,1.5,0.0,0.0,total_beta,3,1.0,0.0,0.6702904680841157,4.933396206495043,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016717639698607, 2.001671778743575, 2.001671778895128]]"
CAND_3C7525C617A58B33,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.5,-1.5,-1.5,total_beta,3,1.0,-0.75,0.6702904680841157,4.933396206495043,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016717639698607, 2.001671778743575, 2.001671778895128]]"
CAND_35D80751086ED5A5,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.5,-0.75,-0.75,total_beta,3,1.0,-0.375,0.6702904680841157,4.933396206495043,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016717639698607, 2.001671778743575, 2.001671778895128]]"
CAND_288E26A7C964A135,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.5,0.75,0.75,total_beta,3,1.0,0.375,0.6702904680841157,4.933396206495043,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016717639698607, 2.001671778743575, 2.001671778895128]]"
CAND_92767399D9798751,TORUS_T2_3,torus,"analytic T(2,q)",True,active,1.5,1.5,1.5,total_beta,3,1.0,0.75,0.6702904680841157,4.933396206495043,9.720038316914527,0.12065228425514082,2.1254226038480533,"[[2.0016717639698607, 2.001671778743575, 2.001671778895128]]"
CAND_CC150C61A30F0418,TORUS_T2_5,torus,"analytic T(2,q)",True,null,0.75,0.0,0.0,total_beta,3,0.5,0.0,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_C920DD88DA801DEB,TORUS_T2_5,torus,"analytic T(2,q)",True,active,0.75,-1.5,-1.5,total_beta,3,0.5,-0.375,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_7B182D2E943A627D,TORUS_T2_5,torus,"analytic T(2,q)",True,active,0.75,-0.75,-0.75,total_beta,3,0.5,-0.1875,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_DB1743F65E0D3FE4,TORUS_T2_5,torus,"analytic T(2,q)",True,active,0.75,0.75,0.75,total_beta,3,0.5,0.1875,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_77F359A67060E722,TORUS_T2_5,torus,"analytic T(2,q)",True,active,0.75,1.5,1.5,total_beta,3,0.5,0.375,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_49CDC3A375E64913,TORUS_T2_5,torus,"analytic T(2,q)",True,null,1.0,0.0,0.0,total_beta,3,0.5,0.0,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_2B0D28B642F5EEC7,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.0,-1.5,-1.5,total_beta,3,0.5,-0.5,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_EF6A6F61EEA2A243,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.0,-0.75,-0.75,total_beta,3,0.5,-0.25,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_271A0240C2F198BE,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.0,0.75,0.75,total_beta,3,0.5,0.25,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_BC09E02A0DF4731E,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.0,1.5,1.5,total_beta,3,0.5,0.5,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_0BCF6DE16F5C8265,TORUS_T2_5,torus,"analytic T(2,q)",True,null,1.5,0.0,0.0,total_beta,3,0.5,0.0,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_3A0941CECCB776B7,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.5,-1.5,-1.5,total_beta,3,0.5,-0.75,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_DB36CB01066F3E01,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.5,-0.75,-0.75,total_beta,3,0.5,-0.375,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_8BD24EB4C8A57D4E,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.5,0.75,0.75,total_beta,3,0.5,0.375,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_6D65364233FB2DFA,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.5,1.5,1.5,total_beta,3,0.5,0.75,0.6709484612756605,4.948907659681291,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003172803916924, 2.0003179431552214, 2.0003186924130754]]"
CAND_4852CC8B35E59520,TORUS_T2_5,torus,"analytic T(2,q)",True,null,0.75,0.0,0.0,total_beta,3,1.0,0.0,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_06829EF998DA5664,TORUS_T2_5,torus,"analytic T(2,q)",True,active,0.75,-1.5,-1.5,total_beta,3,1.0,-0.375,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_39983F2D5912420E,TORUS_T2_5,torus,"analytic T(2,q)",True,active,0.75,-0.75,-0.75,total_beta,3,1.0,-0.1875,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_870EECBBABE1F497,TORUS_T2_5,torus,"analytic T(2,q)",True,active,0.75,0.75,0.75,total_beta,3,1.0,0.1875,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_1A5880BE5F5F4AAD,TORUS_T2_5,torus,"analytic T(2,q)",True,active,0.75,1.5,1.5,total_beta,3,1.0,0.375,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_7E9F7DFDDCDDEBD2,TORUS_T2_5,torus,"analytic T(2,q)",True,null,1.0,0.0,0.0,total_beta,3,1.0,0.0,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_801DB9880B783A83,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.0,-1.5,-1.5,total_beta,3,1.0,-0.5,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_6FE8B3E69D455854,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.0,-0.75,-0.75,total_beta,3,1.0,-0.25,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_614EA27138E177F3,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.0,0.75,0.75,total_beta,3,1.0,0.25,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_F66B4E3C6BB6FFE8,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.0,1.5,1.5,total_beta,3,1.0,0.5,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_E4F4B6EC5B7D3E66,TORUS_T2_5,torus,"analytic T(2,q)",True,null,1.5,0.0,0.0,total_beta,3,1.0,0.0,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_02086691B7169D13,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.5,-1.5,-1.5,total_beta,3,1.0,-0.75,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_847B4C2DDE7EFEFA,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.5,-0.75,-0.75,total_beta,3,1.0,-0.375,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_860ACF779C0F57A9,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.5,0.75,0.75,total_beta,3,1.0,0.375,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_D083568B619FDD54,TORUS_T2_5,torus,"analytic T(2,q)",True,active,1.5,1.5,1.5,total_beta,3,1.0,0.75,0.6709484612756605,4.9392570535697615,11.036455031097372,0.12077072302961889,2.1212558818768876,"[[2.0003310309594866, 2.000330282783346, 2.0003315131258343]]"
CAND_1A2A1EF5ACA8DF51,TORUS_T2_7,torus,"analytic T(2,q)",True,null,0.75,0.0,0.0,total_beta,3,0.5,0.0,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_6A61D5C2EDF422C8,TORUS_T2_7,torus,"analytic T(2,q)",True,active,0.75,-1.5,-1.5,total_beta,3,0.5,-0.375,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_71D1F0DDA0793020,TORUS_T2_7,torus,"analytic T(2,q)",True,active,0.75,-0.75,-0.75,total_beta,3,0.5,-0.1875,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_4C0EEFE5E3595237,TORUS_T2_7,torus,"analytic T(2,q)",True,active,0.75,0.75,0.75,total_beta,3,0.5,0.1875,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_DF0849D2975D9890,TORUS_T2_7,torus,"analytic T(2,q)",True,active,0.75,1.5,1.5,total_beta,3,0.5,0.375,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_F4B9971CF4962A04,TORUS_T2_7,torus,"analytic T(2,q)",True,null,1.0,0.0,0.0,total_beta,3,0.5,0.0,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_C0E58FB4333ABA37,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,-1.5,-1.5,total_beta,3,0.5,-0.5,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_7ADFDC754759F9DD,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,-0.75,-0.75,total_beta,3,0.5,-0.25,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_BE1F3BAD5E95587D,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,0.75,0.75,total_beta,3,0.5,0.25,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_7EEE8F7E813CA4EC,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,1.5,1.5,total_beta,3,0.5,0.5,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_E2E89530720CA452,TORUS_T2_7,torus,"analytic T(2,q)",True,null,1.5,0.0,0.0,total_beta,3,0.5,0.0,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_EC726A2D12785BC6,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.5,-1.5,-1.5,total_beta,3,0.5,-0.75,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_05D66BEC271362A4,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.5,-0.75,-0.75,total_beta,3,0.5,-0.375,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_2F71995C41F1E509,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.5,0.75,0.75,total_beta,3,0.5,0.375,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_A8F7FEAFEF15D244,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.5,1.5,1.5,total_beta,3,0.5,0.75,0.6899360074514171,5.117979478603849,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984728199129391, 1.998473245457462, 1.9984730563999986]]"
CAND_4F8F14391CA36BE2,TORUS_T2_7,torus,"analytic T(2,q)",True,null,0.75,0.0,0.0,total_beta,3,1.0,0.0,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_6C63D6E41ACF08D0,TORUS_T2_7,torus,"analytic T(2,q)",True,active,0.75,-1.5,-1.5,total_beta,3,1.0,-0.375,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_E4F2103E80E6C9AF,TORUS_T2_7,torus,"analytic T(2,q)",True,active,0.75,-0.75,-0.75,total_beta,3,1.0,-0.1875,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_9A596A6009641E31,TORUS_T2_7,torus,"analytic T(2,q)",True,active,0.75,0.75,0.75,total_beta,3,1.0,0.1875,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_1CB1917B89F794B5,TORUS_T2_7,torus,"analytic T(2,q)",True,active,0.75,1.5,1.5,total_beta,3,1.0,0.375,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_03E501C1C61644EB,TORUS_T2_7,torus,"analytic T(2,q)",True,null,1.0,0.0,0.0,total_beta,3,1.0,0.0,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_95437F95932F8E6E,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,-1.5,-1.5,total_beta,3,1.0,-0.5,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_A84889FBDBCC5B1E,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,-0.75,-0.75,total_beta,3,1.0,-0.25,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_DC9497E60857560A,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,0.75,0.75,total_beta,3,1.0,0.25,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_458865633A2A40DC,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.0,1.5,1.5,total_beta,3,1.0,0.5,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_0BEA3A2C1820D184,TORUS_T2_7,torus,"analytic T(2,q)",True,null,1.5,0.0,0.0,total_beta,3,1.0,0.0,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_1FA6F637745AEC69,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.5,-1.5,-1.5,total_beta,3,1.0,-0.75,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_ED3E1E46117BB17D,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.5,-0.75,-0.75,total_beta,3,1.0,-0.375,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_91AF1807A9BA155D,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.5,0.75,0.75,total_beta,3,1.0,0.375,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_D0592C522ACE0368,TORUS_T2_7,torus,"analytic T(2,q)",True,active,1.5,1.5,1.5,total_beta,3,1.0,0.75,0.6899360074514171,5.1083821433504415,12.585664571348554,0.12418848134125508,2.006105458814758,"[[1.9984866391122489, 1.9984868288974342, 1.9984868284839883]]"
CAND_4A709AD53B11D6FA,TORUS_T2_9,torus,"analytic T(2,q)",True,null,0.75,0.0,0.0,total_beta,3,0.5,0.0,0.6783422586462694,5.014744145835526,11.737877789252995,0.12210160655632848,2.0752653543479185,"[[1.996149927112852, 1.9961504962327241, 1.9961507008472874]]"
