tPhys,Wr,Lk,ACN,RA,zA,a,aSim,topologyGap,stretchLambda,stretchLambdaStar,stretchG,stretchCoreRatio,scaleProbe
1.0,-3.403618057072792,0,4.271466667927602,0.04964008478523426,-6.866613759074861e-19,0.00012414490979092076,0.00012414490979092076,0.0074674757808553625,-1.1102230246251573e-16,-4.9343974686349646e-12,-1.1102230246251573e-16,1.0,1.40897017e-15
1.5,-3.4036180560656693,0,4.271467447635755,0.0496400847951528,-1.9877039828900914e-19,0.00012414490979092076,0.00012414490979092076,0.007467475780855362,7.40148683083437e-17,3.28959830468462e-12,1.1102230246251556e-16,1.0,1.40897017e-15
2.0,-3.403618055041235,0,4.271468226370151,0.049640084807264735,-4.698209414103852e-19,0.00012414490979092076,0.00012414490979092076,0.0074674757808553625,-5.551115123125788e-17,-2.467198722896465e-12,-1.1102230246251575e-16,1.0,1.40897017e-15
2.5,-3.4036180539993444,0,4.271469004130633,0.049640084821570084,5.963111948670274e-19,0.00012414490979092076,0.00012414490979092076,0.007467475780855362,-4.930380657631324e-32,-2.1913126579655396e-27,-1.232595164407831e-31,1.0,1.40897017e-15
3.0,-3.4036180529404967,0,4.271469780917534,0.04964008483806882,-3.071906155375596e-19,0.00012414490979092076,0.00012414490979092076,0.007467475780855366,-4.1086505480261033e-32,-1.8260938777573573e-27,-1.232595164407831e-31,1.0,1.40897017e-15
3.5,-3.4036180518643118,0,4.2714705567304625,0.049640084856760934,-1.1926223897340549e-18,0.00012414490979092076,0.00012414490979092076,0.007467475780855366,3.1720657846433e-17,1.409827832667135e-12,1.110223024625155e-16,1.0,1.40897017e-15
3.75,-3.40361805131935,0,4.271470944271979,0.049640084866929536,-1.2468324983583301e-18,0.00012414490979092076,0.00012414490979092076,0.007467475780855368,2.960594732333747e-17,1.3158393091784675e-12,1.110223024625155e-16,1.0,1.40897017e-15
4.25,-3.4036180502175926,0,4.271471718624599,0.04964008488891175,8.312216655722201e-19,0.00012414490979092076,0.00012414490979092076,0.007467475780855369,2.6122894697062473e-17,1.1610346823219572e-12,1.110223024625155e-16,1.0,1.40897017e-15
4.75,-3.403618049097899,0,4.271472492003968,0.049640084913087336,6.505213034913027e-19,0.00012414490979092076,0.00012414490979092076,0.007467475780855367,2.3373116307898e-17,1.0388205033034545e-12,1.110223024625155e-16,1.0,1.40897017e-15
5.25,-3.4036180479611913,0,4.271473264409921,0.049640084939456354,1.1745523535259632e-18,0.00012414490979092076,0.00012414490979092076,0.007467475780855368,4.2294210461910686e-17,1.8797704311956272e-12,2.220446049250311e-16,0.9999999999999999,1.40897017e-15
5.75,-3.403618046807114,0,4.271474035842364,0.04964008496801873,9.035018104045871e-20,0.00012414490979092076,0.00012414490979092076,0.007467475780855368,7.723290606088042e-17,3.4326242597980246e-12,4.440892098500624e-16,0.9999999999999998,1.40897017e-15
6.0,-3.4036180462239214,0,4.271474421193211,0.04964008498312239,3.4333068795374305e-19,0.00012414490979092076,0.00012414490979092076,0.007467475780855369,7.401486830834374e-17,3.2895982462569934e-12,4.440892098500624e-16,0.9999999999999998,1.40897017e-15
6.5,-3.4036180450437765,0,4.2714751911660525,0.04964008501497485,-1.0842021724855044e-19,0.00012414490979092076,0.00012414490979092076,0.007467475780855368,6.83214169000096e-17,3.0365522224724104e-12,4.440892098500624e-16,0.9999999999999998,1.40897017e-15
7.0,-3.403618043846617,0,4.271475960164835,0.04964008504902067,-4.698209414103852e-19,0.00012414490979092076,0.00012414490979092076,0.007467475780855367,6.344131569286606e-17,2.8196556308707868e-12,4.440892098500624e-16,0.9999999999999998,1.40897017e-15
7.5,-3.4036180426324933,0,4.271476728190797,0.04964008508525986,-8.854317741964952e-19,0.00012414490979092076,0.00012414490979092076,0.007467475780855368,5.921189464667499e-17,2.6316785850155274e-12,4.440892098500624e-16,0.9999999999999998,1.40897017e-15
8.0,-3.4036180414006467,0,4.271477495243729,0.04964008512369247,-1.4456028966473392e-19,0.00012414490979092076,0.00012414490979092076,0.0074674757808553685,5.55111512312578e-17,2.4671986700791917e-12,4.440892098500624e-16,0.9999999999999998,1.40897017e-15
8.5,-3.403618040151341,0,4.271478261323593,0.04964008516431844,7.228014483236697e-19,0.00012414490979092076,0.00012414490979092076,0.0074674757808553685,5.224578939412499e-17,2.3220693335466765e-12,4.440892098500624e-16,0.9999999999999998,1.40897017e-15
