dataset_key,source_path,structural_status,boost_null_rms_rg,radial_response_rms_rg,director_response_rms_rg,linearity_ratio
D0000,..\..\KnotPlot\knots\final\knot_0.1_final.txt,PASS,4.104002237602708e-16,0.00010771319910652694,0.0002074301746959872,1.9999983118267215
D0001,..\..\KnotPlot\knots\final\knot_10.123_final.txt,PASS,3.142559380260199e-16,9.935193539284772e-05,0.00019230781323756574,1.9999995893531803
D0002,..\..\KnotPlot\knots\final\knot_10.1_final.txt,PASS,4.072737797712916e-16,6.97107552692593e-05,0.0001417575535934859,2.000001352837217
D0003,..\..\KnotPlot\knots\final\knot_3.1_final.txt,PASS,5.704428089113217e-16,7.120541414328673e-05,0.00014494324549548508,2.000001658162681
D0004,..\..\KnotPlot\knots\final\knot_4.1_final.txt,PASS,1.875865391473059e-16,9.620323823867468e-05,0.00018110509716473804,1.9999973460592817
D0005,..\..\KnotPlot\knots\final\knot_5.1_final.txt,PASS,3.183865939570334e-16,0.00010330840570370133,0.00020381830099007749,1.9999991594155018
D0006,..\..\KnotPlot\knots\final\knot_5.2_final.txt,PASS,6.249567338574293e-16,6.750740529703204e-05,0.00013480602603280372,2.0000007962295605
D0007,..\..\KnotPlot\knots\final\knot_6.1_final.txt,PASS,2.445405638143431e-16,8.878156182207171e-05,0.00016788542858819095,1.9999873921182587
D0008,..\..\KnotPlot\knots\final\knot_6.2_final.txt,PASS,2.9080358249007663e-16,0.00010333254509652398,0.00019378450360240672,1.9999985041411046
D0009,..\..\KnotPlot\knots\final\knot_6.3_final.txt,PASS,3.372303957703685e-16,8.664407683575886e-05,0.0001747853931760094,1.9999989812718795
D0010,..\..\KnotPlot\knots\final\knot_7.1_final.txt,PASS,3.6727109640115107e-16,8.801160859440281e-05,0.0001686552758048097,1.9999944156231881
D0011,..\..\KnotPlot\knots\final\knot_7.2_final.txt,PASS,3.5371346335158595e-16,0.00010794318656126514,0.0002062150943770015,1.9999995960500603
D0012,..\..\KnotPlot\knots\final\knot_7.3_final.txt,PASS,4.661835754633796e-16,7.762903752790838e-05,0.00015568478545559923,2.000000744109485
D0013,..\..\KnotPlot\knots\final\knot_7.4_final.txt,PASS,7.0510154232041885e-16,0.00011488257919705452,0.00021170314434938467,1.999999354002657
D0014,..\..\KnotPlot\knots\final\knot_8.17_final.txt,PASS,3.653137609299641e-16,9.769328344543218e-05,0.00018995211273475267,1.999999435156799
D0015,..\..\KnotPlot\knots\final\knot_8.18_final.txt,PASS,2.988753299057687e-16,9.844828392148322e-05,0.00019150089301546848,1.9999999519917082
D0016,..\..\KnotPlot\knots\final\knot_8.1_final.txt,PASS,4.180295840085125e-16,9.905835320783224e-05,0.00018794058648706634,1.9999943207571347
D0017,..\..\KnotPlot\knots\final\knot_9.1_final.txt,PASS,2.1846274879380747e-16,0.00010637883999245289,0.0002044842160595682,1.999998051722276
D0018,..\..\KnotPlot\knots\final\knot_9.2_final.txt,PASS,2.4997050001922243e-16,9.119743378166345e-05,0.0001753929706427453,1.9999896379449875
D0019,..\..\KnotPlot\knots\final\knot_9.35_final.txt,PASS,2.4232291733811566e-16,9.351409737552721e-05,0.0001838100411193073,1.9999998693559498
D0020,..\..\KnotPlot\knots\final\link_0.2.1_final.txt,PASS,2.3960810610403357e-16,9.20877121072712e-05,0.000180485499113295,1.9999995521996692
D0021,..\..\KnotPlot\knots\final\link_0.3.1_final.txt,PASS,4.718482772243668e-16,7.828036718967044e-05,0.0001577034768023355,1.9999846753382604
D0022,..\..\KnotPlot\knots\final\link_2.2.1_final.txt,PASS,2.556649873961646e-16,8.065026629993749e-05,0.00016281682462845852,2.000000298940664
D0023,..\..\KnotPlot\knots\final\link_4.2.1_final.txt,PASS,3.3857734998119036e-16,8.549445471672644e-05,0.00016403764662883618,1.999984783357495
D0024,..\..\KnotPlot\knots\final\link_5.2.1_final.txt,PASS,7.151169454112623e-16,8.719220861851374e-05,0.0001716250734672994,1.9999935969212104
D0025,..\..\KnotPlot\knots\final\link_6.2.1_final.txt,PASS,6.198859122344909e-16,0.00010357352440904244,0.0001985041062982716,1.9999947264262343
D0026,..\..\KnotPlot\knots\final\link_6.3.1_final.txt,PASS,3.861591274493235e-16,8.800057040045748e-05,0.00016987191919323966,1.999993193082681
D0027,..\..\KnotPlot\knots\final\link_6.3.2_final.txt,PASS,7.175573660118286e-16,8.592471523957099e-05,0.00016886474624556509,1.9999887795301898
D0028,..\..\KnotPlot\knots\final\link_6.3.3_final.txt,PASS,2.1154989361919545e-16,9.957586005529568e-05,0.00019434102961445797,1.999999891887229
D0029,..\..\KnotPlot\knots\final\link_7.2.5_final.txt,PASS,2.676282102317643e-16,8.731344591566713e-05,0.00016512871333989676,1.9999930669187278
