axis,case,value,q,cell_over_core,backend,n_nodes,image_shell,fd_eps_over_core,growth_numerical_floor,max_m,symmetry_order,c4_acceleration_used,self_jacobian_cached,global_spectral_abscissa_reference,global_gap_after_neutral_reference,global_unstable_count_reference,low_mode_projection_leakage,c4_symmetry_leakage_projected,c4_symmetry_audit_self,c4_symmetry_audit_interaction,c4_symmetry_leakage,relative_shape_residual,equilibrium_gate_ok,fourier_quality_gate_ok
resolution,N48,48,2.31,10.074424655013587,cpp,48,2,0.0001,2.220446049250313e-12,12,4,False,True,0.020625901313120466,0.001312537398751774,8,0.031616976057127065,9.072673730990803e-12,0.0,0.0,9.072673730990803e-12,0.07876192018334435,False,False
resolution,N48,48,2.32,10.175674306073333,cpp,48,2,0.0001,2.220446049250313e-12,12,4,False,True,0.019674557419670217,0.001518316443738195,8,0.02869529291463557,9.34202152179815e-12,0.0,0.0,9.34202152179815e-12,0.07158726119825086,False,False
resolution,N48,48,2.33,10.277941533043448,cpp,48,2,0.0001,2.220446049250313e-12,12,4,False,True,0.01880455195061625,0.0008264581142780043,8,0.026059084489879078,8.537688766844269e-12,0.0,0.0,8.537688766844269e-12,0.0650108627907916,False,False
resolution,N48,48,2.34,10.381236562731843,cpp,48,2,0.0001,2.220446049250313e-12,12,4,False,True,0.018006829755792014,0.004265908638741883,9,0.023676964676395015,8.09178592464289e-12,0.0,0.0,8.09178592464289e-12,0.05901125722604227,False,False
resolution,N48,48,2.35,10.485569724727576,cpp,48,2,0.0001,2.220446049250313e-12,12,4,False,True,0.017273851790927146,0.005322829136449282,9,0.021522176470203585,8.200346295759367e-12,0.0,0.0,8.200346295759367e-12,0.05355601882309314,False,False
resolution,N48,48,2.36,10.59095145243378,cpp,48,2,0.0001,2.220446049250313e-12,12,4,False,True,0.016599229695700754,0.004329957310396574,7,0.019571527230084623,7.73590722146417e-12,0.0,0.0,7.73590722146417e-12,0.0486071540614307,True,True
resolution,N48,48,2.37,10.697392284111054,cpp,48,2,0.0001,2.220446049250313e-12,12,4,False,True,0.015977467113055067,0.004238032151990606,7,0.01780465387878728,8.576869392775474e-12,0.0,0.0,8.576869392775474e-12,0.044124588200937266,True,True
resolution,N48,48,2.38,10.804902863931257,cpp,48,2,0.0001,2.220446049250313e-12,12,4,False,True,0.015403773791379695,0.004305405454175353,7,0.01620350719114779,7.785870050297692e-12,0.0,0.0,7.785870050297692e-12,0.040068363640585816,True,True
resolution,N48,48,2.39,10.913493943041976,cpp,48,2,0.0001,2.220446049250313e-12,12,4,False,True,0.014873929792165688,0.004414413281944555,7,0.014751980743460215,7.684028193579621e-12,0.0,0.0,7.684028193579621e-12,0.036399974197432364,True,True
resolution,N48,48,2.4,11.023176380641601,cpp,48,2,0.0001,2.220446049250313e-12,12,4,False,True,0.01438418459688258,0.0045353345549381694,7,0.01343563537815233,7.529634606860314e-12,0.0,0.0,7.529634606860314e-12,0.03308312563567643,True,True
