carrier_id,carrier_self_gap_core,combined_initial_gap_core,helix_turns,hole_clearance,max_abs_gauss_link,n_threads,status
TORUS_T2_3,11.3066601339996,11.3066601339996,1.0,0.6618174420968784,2.0022651645560865,1,PASS
TORUS_T2_3,11.3066601339996,4.85802601059427,1.0,0.6618174420968784,2.00226083784031,3,PASS
TORUS_T2_3,11.3066601339996,3.296827392023442,1.0,0.6618174420968784,2.002268835045105,5,PASS
TORUS_T2_7,14.047428040507166,14.047428040507166,1.0,0.6747152195687994,1.99794497260174,1,PASS
TORUS_T2_7,14.047428040507166,4.972909179360731,1.0,0.6747152195687994,1.9979516551746863,3,PASS
TORUS_T2_7,14.047428040507166,3.374791192111782,1.0,0.6747152195687994,1.9979516581374053,5,PASS
TORUS_T2_9,11.690382004904826,11.690382004904826,1.0,0.6720434371057341,1.9948292830797822,1,PASS
TORUS_T2_9,11.690382004904826,4.949111055525558,1.0,0.6720434371057341,1.994836584477813,3,PASS
TORUS_T2_9,11.690382004904826,3.358640939735513,1.0,0.6720434371057341,1.9948366571724037,5,PASS
TRIPLE_GEAR_T3_3,5.411047609387979,5.411047609387979,1.0,0.6675345113012162,1.0004467362165035,1,PASS
TRIPLE_GEAR_T3_3,5.411047609387979,4.908949119001713,1.0,0.6675345113012162,1.0004614861894559,3,PASS
TRIPLE_GEAR_T3_3,5.411047609387979,3.3313856226683605,1.0,0.6675345113012162,1.0004614861894559,5,PASS
