source,topology_class,canonical_id,classification,growth_verdict,final_kmax,final_growth,tail_ratio,last_relative_step,kmax_boundary_weight,high_k_fraction_within_kelvin,spectral_nyquist_fraction,g_inf,fit_p,threshold_crosses,reasons,g_k16,g_k24,g_k32,g_k48,g_k64
fremlin:10_1:knot.10_1,knot,10_1,SPECTRAL_UNRESOLVED_AT_K64,FAIL,64,0.3751464434366393,2.5708215423127005,0.07277885543938258,0.006121624726284453,0.16977441324818543,0.17777777777777778,0.18871710611014886,0.25,,growth_tail_not_contracting;growth_last_step_too_large;high_k_mode_tail_not_decayed,0.47873998633908366,0.4691996798704803,0.4130694071549524,0.40244917221211296,0.3751464434366393
fremlin:10_1:knot.10_1n,knot,10_1,SPECTRAL_UNRESOLVED_AT_K64,PASS,64,0.039725130649926714,0.5894237009695816,0.029797374492468734,0.020548355248684123,0.3435627605985493,0.17777777777777778,0.018003833851749654,0.53,,high_k_mode_tail_not_decayed,0.06523351762734676,0.061442922213591926,0.049367224071095145,0.04330081558902296,0.039725130649926714
fremlin:12a_1202:knot.12a_1202,knot,12a_1202,SPECTRAL_UNRESOLVED_AT_K64,FAIL,64,0.39104942828445843,0.35046577611890917,0.14499356932257368,0.0029632935507152873,0.10771751992266518,0.17777777777777778,0.3178731247459015,1.995,,growth_last_step_too_large;high_k_mode_tail_not_decayed,0.4095147767453347,0.5494074263177391,0.6095327875342049,0.44774908067297386,0.39104942828445843
fremlin:12a_1202:knot.12a_1202z6,knot,12a_1202,SPECTRAL_UNRESOLVED_AT_K64,PASS,64,0.09600220472127328,0.5194055212686413,0.33906284514447993,0.0014058924458806004,0.03866532626183185,0.17777777777777778,-0.04351617605699471,0.89,,growth_last_step_too_large;P2_verdict_changed_across_tail,0.37719061795783876,0.36730755938631027,0.2150245726879298,0.13668974613861087,0.09600220472127328
fremlin:15331:knot.15331,knot,15331,SPECTRAL_UNRESOLVED_AT_K64,PASS,64,0.10427459412258497,0.7938228809279453,0.27592786498009947,0.004836952646096761,0.10945771797309682,0.17777777777777778,0.12142991074523955,6.0,,growth_tail_not_quasi_monotone;growth_tail_not_contracting;growth_last_step_too_large;P2_verdict_changed_across_tail;high_k_mode_tail_not_decayed,0.028014139056289678,0.0634464599801179,0.09567468898402845,0.1373859379201969,0.10427459412258497
fremlin:1_1:knot.1_1,unknot,1_1,SPECTRAL_CONVERGED_K32,FAIL,32,0.310691772365006,0.0,2.144034293874086e-15,1.3320093538021978e-27,2.2340645139777288e-26,0.08888888888888889,0.31069177236500634,4.46,False,,0.31069177236500606,0.31069177236500667,0.310691772365006,,
fremlin:3_1:knot.3_1,knot,3_1,SPECTRAL_UNRESOLVED_AT_K64,PASS,64,0.03855772946535597,0.45095112917760766,0.10660096625849502,2.597444941707124e-28,0.00011212281428199845,0.17777777777777778,0.010076817991194881,1.29,,growth_last_step_too_large,0.15983910376168434,0.10746697388211918,0.07971681275127966,0.05134984541637537,0.03855772946535597
fremlin:3_1:knot.3_1p,knot,3_1,SPECTRAL_UNRESOLVED_AT_K64,PASS,64,0.031188941794815208,0.4458631481601536,0.08016027288148013,7.981240227787439e-28,0.00210216747914257,0.17777777777777778,0.01046918561737374,1.325,,growth_last_step_too_large,0.17177125543328972,0.09304137232034551,0.06238258091499539,0.04080817454059282,0.031188941794815208
fremlin:3_1:knot.3_1u,knot,3_1,SPECTRAL_UNRESOLVED_AT_K64,PASS,64,0.05150384656571695,0.4220692422707361,0.1261471208236678,9.069900208040791e-07,1.1829572474781324e-05,0.17777777777777778,0.02284256706298478,1.475,,growth_last_step_too_large,0.28180279916111134,0.14824650321866653,0.10250683542865201,0.06664150106455709,0.05150384656571695
fremlin:4_1:knot.4_1,knot,4_1,SPECTRAL_UNRESOLVED_AT_K64,PASS,64,0.049338387865272136,0.35448452246426326,0.10788651175731215,0.0016533697680332553,0.007712328799681697,0.17777777777777778,0.03230539758783661,1.965,,growth_last_step_too_large,0.20575733695401502,0.13367294940732252,0.098806480635727,0.06228476927614959,0.049338387865272136
