profile,a_core_over_rc,backend,classification,critical_count,first_x_star,first_r_star_m,first_K_hat,outside_declared_core,horizon_count
rankine,0.001,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE_WITH_EXTERNAL_CLOCK_DEGENERACY,1,0.005160007477825808,7.2702966132335e-18,-75115.46043335782,True,2
rankine,0.0015,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE_WITH_EXTERNAL_CLOCK_DEGENERACY,1,0.0051600074778678905,7.270296613292793e-18,-75115.46042968219,True,2
rankine,0.0018,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE_WITH_EXTERNAL_CLOCK_DEGENERACY,1,0.005160007477863722,7.27029661328692e-18,-75115.46043004627,True,2
rankine,0.00185,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE_WITH_EXTERNAL_CLOCK_DEGENERACY,1,0.005160007477886191,7.270296613318578e-18,-75115.46042808375,True,2
rankine,0.0019,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE_WITH_EXTERNAL_CLOCK_DEGENERACY,1,0.005160007477848596,7.270296613265609e-18,-75115.46043136746,True,2
rankine,0.00195,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE_WITH_EXTERNAL_CLOCK_DEGENERACY,1,0.0051600074778467495,7.270296613263006e-18,-75115.46043152874,True,2
rankine,0.002,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE_WITH_EXTERNAL_CLOCK_DEGENERACY,1,0.005160007477873735,7.270296613301027e-18,-75115.46042917173,True,2
rankine,0.0025,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE_WITH_EXTERNAL_CLOCK_DEGENERACY,1,0.005160007477843329,7.270296613258187e-18,-75115.4604318275,True,2
rankine,0.0035,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE_WITH_EXTERNAL_CLOCK_DEGENERACY,1,0.0051600074778931325,7.270296613328358e-18,-75115.46042747748,True,2
rankine,0.0045,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE,2,0.005160007477877964,7.270296613306987e-18,-75115.46042880231,True,0
rankine,0.006,cpp,NO_RADIAL_FERMAT_CRITICAL_RADIUS,0,,,,,0
rosenhead,0.001,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE_WITH_EXTERNAL_CLOCK_DEGENERACY,1,0.004847286406836113,6.829681952678567e-18,-74695.69497427857,True,2
rosenhead,0.0015,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE_WITH_EXTERNAL_CLOCK_DEGENERACY,1,0.004364276091416498,6.149134826450039e-18,-71723.2033889782,True,2
rosenhead,0.0018,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE_WITH_EXTERNAL_CLOCK_DEGENERACY,1,0.0038192721894925626,5.381240586105608e-18,-62351.37158869605,True,2
rosenhead,0.00185,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE,2,0.0019048488697039566,2.683875235771092e-18,251450.07665815466,True,0
rosenhead,0.0019,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE,2,0.0020887406546024746,2.94297327520116e-18,164279.3517268665,True,0
rosenhead,0.00195,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE,2,0.002342510752144729,3.300527772676187e-18,83082.70398582969,True,0
rosenhead,0.002,cpp,NO_RADIAL_FERMAT_CRITICAL_RADIUS,0,,,,,0
rosenhead,0.0025,cpp,NO_RADIAL_FERMAT_CRITICAL_RADIUS,0,,,,,0
rosenhead,0.0035,cpp,NO_RADIAL_FERMAT_CRITICAL_RADIUS,0,,,,,0
rosenhead,0.0045,cpp,NO_RADIAL_FERMAT_CRITICAL_RADIUS,0,,,,,0
rosenhead,0.006,cpp,NO_RADIAL_FERMAT_CRITICAL_RADIUS,0,,,,,0
lamb_oseen,0.001,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE_WITH_EXTERNAL_CLOCK_DEGENERACY,1,0.0051599421463986266,7.270204563201437e-18,-75093.69359301447,True,2
lamb_oseen,0.0015,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE_WITH_EXTERNAL_CLOCK_DEGENERACY,1,0.00509749152617568,7.182213502209309e-18,-67440.99715019902,True,2
lamb_oseen,0.0018,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE,2,0.003314844833061591,4.6705174879624115e-18,77319.89174242188,True,0
lamb_oseen,0.00185,cpp,RADIAL_FERMAT_CRITICAL_CANDIDATE,2,0.0037091120714886844,5.226028265914464e-18,31732.751496068362,True,0
lamb_oseen,0.0019,cpp,NO_RADIAL_FERMAT_CRITICAL_RADIUS,0,,,,,0
lamb_oseen,0.00195,cpp,NO_RADIAL_FERMAT_CRITICAL_RADIUS,0,,,,,0
lamb_oseen,0.002,cpp,NO_RADIAL_FERMAT_CRITICAL_RADIUS,0,,,,,0
lamb_oseen,0.0025,cpp,NO_RADIAL_FERMAT_CRITICAL_RADIUS,0,,,,,0
lamb_oseen,0.0035,cpp,NO_RADIAL_FERMAT_CRITICAL_RADIUS,0,,,,,0
lamb_oseen,0.0045,cpp,NO_RADIAL_FERMAT_CRITICAL_RADIUS,0,,,,,0
lamb_oseen,0.006,cpp,NO_RADIAL_FERMAT_CRITICAL_RADIUS,0,,,,,0
