axis,case,value,q,cell_over_core,backend,n_nodes,image_shell,fd_eps_over_core,max_m,symmetry_order,c4_acceleration_used,self_jacobian_cached,global_spectral_abscissa_reference,global_gap_after_neutral_reference,global_unstable_count_reference,low_mode_projection_leakage,c4_symmetry_leakage_projected,c4_symmetry_audit_self,c4_symmetry_audit_interaction,c4_symmetry_leakage,relative_shape_residual,equilibrium_gate_ok,fourier_quality_gate_ok
resolution,N32,32,2.31,10.074424655013587,cpp,32,2,0.0001,8,4,True,True,0.0221288719725472,0.007564957960308536,8,0.06538337871794452,9.066004331271696e-16,2.1228614644819394e-12,2.864759108287032e-11,2.864759108287032e-11,0.08227448020000219,False,False
resolution,N32,32,2.36,10.59095145243378,cpp,32,2,0.0001,8,4,True,True,0.017616245079288037,0.0023850404445274562,6,0.040628422926626606,9.009967213792395e-16,2.1228614644819394e-12,3.332461476769821e-11,3.332461476769821e-11,0.05046802423866556,False,False
resolution,N32,32,2.41,11.133961145065307,cpp,32,2,0.0001,8,4,True,True,0.014544422595750417,0.0049776607734967355,6,0.025479997755611702,8.946361611984122e-16,2.1228614644819394e-12,4.8021113028883365e-11,4.8021113028883365e-11,0.031130550232317002,True,True
resolution,N32,32,2.46,11.704811539980854,cpp,32,2,0.0001,8,4,True,True,0.012421159194292793,0.0037792369168249836,6,0.01613954603117969,8.896942263708457e-16,2.1228614644819394e-12,4.132309558525114e-11,4.132309558525114e-11,0.019483226225917714,True,True
resolution,N32,32,2.51,12.30493006051041,cpp,32,2,0.0001,8,4,True,True,0.010941328228357992,0.002624530766636705,6,0.010325719269321215,8.9077398157465e-16,2.1228614644819394e-12,4.9753295806093224e-11,4.9753295806093224e-11,0.01237838994292553,True,True
resolution,N32,32,2.56,12.935817315543076,cpp,32,2,0.0001,8,4,True,True,0.009903400807328563,0.001238379692037257,6,0.006668792752087255,8.8866813542252e-16,2.1228614644819394e-12,5.919390918347699e-11,5.919390918347699e-11,0.00797124155899591,True,True
resolution,N32,32,2.61,13.599050851830924,cpp,32,2,0.0001,8,4,True,True,0.009170816210305193,0.0015543089199927052,5,0.004344456343303998,8.86472680753913e-16,2.1228614644819394e-12,9.192186736327896e-11,9.192186736327896e-11,0.005193171938115075,True,True
resolution,N32,32,2.66,14.296289098677603,cpp,32,2,0.0001,8,4,True,True,0.008650096960058236,0.002318083998987827,5,0.00285253412631419,8.890472743455312e-16,2.1228614644819394e-12,7.68086826437741e-11,7.68086826437741e-11,0.0034169170766511657,True,True
resolution,N32,32,2.71,15.029275514875401,cpp,32,2,0.0001,8,4,True,True,0.008277035597152716,0.0012884890925251068,5,0.0018862266695755026,9.00303716406937e-16,2.1228614644819394e-12,9.378546963094208e-11,9.378546963094208e-11,0.002267202845555466,True,True
resolution,N32,32,2.76,15.799842948260395,cpp,32,2,0.0001,8,4,True,True,0.008007468637195866,0.0016610018045910778,4,0.0012551944818727351,8.984451502057834e-16,2.1228614644819394e-12,1.0670504018468126e-10,1.0670504018468126e-10,0.0015151872988038984,True,True
resolution,N32,32,2.81,16.6099182187867,cpp,32,2,0.0001,8,4,True,True,0.00781096068799002,0.0024475378582696095,4,0.0008400362614386564,8.767348305620508e-16,2.1228614644819394e-12,9.90558754074564e-11,9.90558754074564e-11,0.0010188721308501464,True,True
resolution,N32,32,2.86,17.46152693657999,cpp,32,2,0.0001,8,4,True,True,0.007666459155383349,0.0028927188231466904,4,0.00056506664723867,8.972081373757838e-16,2.1228614644819394e-12,1.183762595888009e-10,1.183762595888009e-10,0.0006887842346267058,True,True
