blind_id,source,topology_class,components,status,component_count,core_radius_norm,thickness_norm,core_clearance_radii,shape_velocity_ratio,normalized_growth,jacobian_convergence,nearest_self_distance,nearest_inter_distance,nearest_relevant_rate,TBK_block_diagonal_growth_penalty,ringdown_max_recurrence,ringdown_core_event,linking_drift_max,rpo_found,floquet_valid,floquet_rho_non
B01,knotplot:knot_0.1,unknot,1,FAIL,1,0.8961665689362821,0.9957406321514245,0.9127040177198127,0.00011373873071396716,0.3194632309621011,0.006843011886393315,0.5344484782590074,inf,0.0,-0.014555744902741963,0.0013694429963526504,False,0.0,False,False,nan
B02,knotplot:torus_6.9,torus_link,3,FAIL,3,0.025819029946330427,0.028687811051478253,1.1111825540157412,0.5145385304857687,0.3850356150677388,0.12712998517423693,0.07540871281066497,0.05737931127594469,1.4821905073969994,0.00753595861861401,3.8909510245194284e-16,True,0.0,False,False,nan
B03,fremlin:5_1:knot.5_1p,knot,1,FAIL,1,0.08375724459234855,0.0930636051026095,1.111111111111111,0.2760476268748574,0.35036042550460234,0.049912078624104225,0.186127210205219,inf,-0.238678554269469,-0.08242222622915084,0.0924261134417405,True,0.0,False,False,nan
B04,knotplot:torus_2.4,torus_link,2,FAIL,2,0.140002663880359,0.1555585154226211,1.111156582953388,0.3284647749412631,0.16305897315003037,0.027060649633046798,0.26662118501839754,0.31112976320334285,-0.2121972646407635,-0.010466632525681351,0.05058839254836981,True,3.417205583211569e-05,False,False,nan
B05,knotplot:knot_9.35,knot,1,FAIL,1,0.06936851094809025,0.07707612327565583,1.111170102588114,0.5383451697750408,0.08995977609421055,0.060106727913441384,0.15416043085314832,inf,-0.20314819554902058,-0.0218131423468966,0.04335924594337499,True,0.0,False,False,nan
B06,knotplot:knot_8.1,knot,1,FAIL,1,0.07675531947071523,0.0852836883007947,1.1111628454301983,0.47375506748455454,0.14296103872250512,0.06511831518643219,0.17057531836996767,inf,0.21806924230908498,0.002847213104931385,0.04785104129892289,True,0.0,False,False,nan
B07,fremlin:8_21:knot.8_21p,knot,1,FAIL,1,0.017171562471454977,0.019079513857172197,1.1111111111111112,0.8340914716858052,0.8725302255110008,0.19138448617827508,0.0025689500449962432,inf,2.347966224628471e-12,0.01889393936289814,0.09706394083507135,True,0.0,False,False,nan
B08,knotplot:torus_3.6,torus_link,3,FAIL,3,0.0667638899651719,0.07418209996130211,1.1111918228533366,0.3865044971273033,0.42885249438608886,0.11251594004758265,0.1785650045991398,0.1483749771823579,0.7076014750300299,0.024323461439612785,0.08866970731887391,True,7.595361051260241e-05,False,False,nan
B09,fremlin:8_6:knot.8_6,knot,1,FAIL,1,0.039705989557156575,0.04411776617461841,1.111111111111111,0.5283211585207377,0.21615840918874826,0.018082642185958047,0.10808653159271955,inf,3.8539816489777804e-13,-0.061499095804521925,0.08791954406147691,True,0.0,False,False,nan
B10,fremlin:8_13:knot.8_13p,knot,1,FAIL,1,0.03089314863651898,0.03432572070724331,1.1111111111111112,0.6962153379006244,0.976696588872634,0.1527724230514007,0.0003648461072611817,inf,5.279213650314669e-13,-0.0004762498317313332,3.5895276540058203e-16,True,0.0,False,False,nan
B11,fremlin:6_2:knot.6_2p,knot,1,FAIL,1,0.028417145703815684,0.03157460633757298,1.1111111111111112,0.7024472586960444,0.41585951466567145,0.06408210721945215,0.0057877618695076054,inf,1.4108827975945504e-13,0.029789581688108635,0.047750582077910705,True,0.0,False,False,nan
B12,fremlin:7_3:knot.7_3,knot,1,FAIL,1,0.06516122163037065,0.07240135736707849,1.111111111111111,0.3626833952114412,0.23520221820909148,0.016358313600097325,0.14480271473415698,inf,-8.089975406810709e-14,-0.020944151507763253,0.041460976084014056,True,0.0,False,False,nan
B13,knotplot:torus_6.15,torus_link,3,FAIL,3,0.01884434470411062,0.020938160782345134,1.1111348683469806,0.4963845113503979,0.5234610388578265,0.12717591251978272,0.04196839688163482,0.04187721694377415,-1.3052682466304368,-0.020218697652567418,1.9587786356065936e-16,True,0.0,False,False,nan
B14,fremlin:3_1:knot.3_1,knot,1,FAIL,1,0.16552590673518805,0.18391767415020893,1.111111111111111,0.3430106853233108,0.2574379295792015,0.009952455034138054,0.36783534830041786,inf,-0.24952932629433347,-0.03988779136020633,0.04912497833453957,False,0.0,False,False,nan
B15,fremlin:8_1:knot.8_1,knot,1,FAIL,1,0.062132048494782405,0.06903560943864712,1.1111111111111112,0.5916349750114027,0.47132722246615977,0.014602973597245657,0.13807121887729423,inf,-6.149251578526089e-14,-0.04534432120164205,0.019469409388361923,True,0.0,False,False,nan
B16,fremlin:8_18:knot.8_18,knot,1,FAIL,1,0.03915400817511781,0.04350445352790868,1.1111111111111112,0.6082290687047837,0.49378726168139725,0.06032017810685176,1.299873528301925e-14,inf,-0.11299709543129588,-0.05153101667485927,0.15814934518125967,True,0.0,False,False,nan
