mode,sigma_s^-1,omega_rad_s,abs_omega_rad_s,circularity,omega_times_C_s^-1
6,8.7638447916169e+19,-0.0,0.0,0.0,-0.0
9,-8.763844791616915e+19,-0.0,0.0,0.0,-0.0
10,-7.888303712795945e+19,-8.207833240858752e+17,8.207833240858752e+17,-0.015242317153316327,1.251063973987013e+16
11,-7.888303712795945e+19,8.207833240858752e+17,8.207833240858752e+17,0.015242317153316327,1.251063973987013e+16
7,7.888303712795882e+19,-8.207833240858911e+17,8.207833240858911e+17,-0.015242317153316597,1.2510639739870594e+16
8,7.888303712795882e+19,8.207833240858911e+17,8.207833240858911e+17,0.015242317153316597,1.2510639739870594e+16
46,-7.275957614183426e-11,-1.697477856373256e+18,1.697477856373256e+18,-0.10210073919138815,1.7331374389672243e+17
47,-7.275957614183426e-11,1.697477856373256e+18,1.697477856373256e+18,0.10210073919138815,1.7331374389672243e+17
36,-2.363541367144513e+19,-2.0723912219824174e+18,2.0723912219824174e+18,0.007970187824743121,-1.6517347285548782e+16
37,-2.363541367144513e+19,2.0723912219824174e+18,2.0723912219824174e+18,-0.007970187824743121,-1.6517347285548782e+16
32,2.363541367144516e+19,-2.0723912219824417e+18,2.0723912219824417e+18,0.00797018782474318,-1.6517347285549098e+16
33,2.363541367144516e+19,2.0723912219824417e+18,2.0723912219824417e+18,-0.00797018782474318,-1.6517347285549098e+16
34,-2.9136336567303045e+19,-4.506122796543333e+18,4.506122796543333e+18,-0.038205654869675365,1.7215937236511094e+17
35,-2.9136336567303045e+19,4.506122796543333e+18,4.506122796543333e+18,0.038205654869675365,1.7215937236511094e+17
30,2.9136336567303045e+19,-4.5061227965433436e+18,4.5061227965433436e+18,-0.03820565486967468,1.721593723651083e+17
31,2.9136336567303045e+19,4.5061227965433436e+18,4.5061227965433436e+18,0.03820565486967468,1.721593723651083e+17
20,-4.910055736367726e+19,-7.341558455633109e+18,7.341558455633109e+18,-0.007161089330114265,5.257355592304442e+16
21,-4.910055736367726e+19,7.341558455633109e+18,7.341558455633109e+18,0.007161089330114265,5.257355592304442e+16
18,4.910055736367735e+19,-7.341558455633132e+18,7.341558455633132e+18,-0.007161089330114834,5.257355592304875e+16
19,4.910055736367735e+19,7.341558455633132e+18,7.341558455633132e+18,0.007161089330114834,5.257355592304875e+16
44,1536.0,-8.73316870668963e+18,8.73316870668963e+18,0.28834116804945337,-2.518132065659822e+18
45,1536.0,8.73316870668963e+18,8.73316870668963e+18,-0.28834116804945337,-2.518132065659822e+18
42,24609.500991344452,-1.20297516549097e+19,1.20297516549097e+19,0.12149831719507147,-1.4615945823461548e+18
43,24609.500991344452,1.20297516549097e+19,1.20297516549097e+19,-0.12149831719507147,-1.4615945823461548e+18
40,5632.0,-1.3663535368863148e+19,1.3663535368863148e+19,-0.3236628593956724,4.4223789269401503e+18
41,5632.0,1.3663535368863148e+19,1.3663535368863148e+19,0.3236628593956724,4.4223789269401503e+18
38,7680.0,-1.8546472350868836e+19,1.8546472350868836e+19,0.37279363999835646,-6.914006936809269e+18
39,7680.0,1.8546472350868836e+19,1.8546472350868836e+19,-0.37279363999835646,-6.914006936809269e+18
28,-38912.0,-3.2702294853054173e+19,3.2702294853054173e+19,-0.2929143821585925,9.578972492050483e+18
29,-38912.0,3.2702294853054173e+19,3.2702294853054173e+19,0.2929143821585925,9.578972492050483e+18
26,-512.0,-3.4882254290108555e+19,3.4882254290108555e+19,-0.7314129210483209,2.551333150307862e+19
27,-512.0,3.4882254290108555e+19,3.4882254290108555e+19,0.7314129210483209,2.551333150307862e+19
24,8192.0,-4.0699060649863406e+19,4.0699060649863406e+19,-0.7557446508975412,3.0758097382688874e+19
25,8192.0,4.0699060649863406e+19,4.0699060649863406e+19,0.7557446508975412,3.0758097382688874e+19
22,23040.0,-4.3103422272809394e+19,4.3103422272809394e+19,-0.7994428331130355,3.445872201864226e+19
23,23040.0,4.3103422272809394e+19,4.3103422272809394e+19,0.7994428331130355,3.445872201864226e+19
16,-16384.0,-6.177726847855163e+19,6.177726847855163e+19,-0.835368046442488,5.1606756083480764e+19
17,-16384.0,6.177726847855163e+19,6.177726847855163e+19,0.835368046442488,5.1606756083480764e+19
14,-16384.0,-6.955346620912073e+19,6.955346620912073e+19,-0.7934269094172857,5.518559173356227e+19
15,-16384.0,6.955346620912073e+19,6.955346620912073e+19,0.7934269094172857,5.518559173356227e+19
12,45056.0,-7.115789222541757e+19,7.115789222541757e+19,-0.6951610665071458,4.9466196249821815e+19
13,45056.0,7.115789222541757e+19,7.115789222541757e+19,0.6951610665071458,4.9466196249821815e+19
4,20480.0,-1.3910483402629695e+20,1.3910483402629695e+20,-0.9368991183082704,1.303271963516559e+20
5,20480.0,1.3910483402629695e+20,1.3910483402629695e+20,0.9368991183082704,1.303271963516559e+20
2,16384.0,-1.4101369433839711e+20,1.4101369433839711e+20,-0.9265880675003244,1.3066160652809681e+20
3,16384.0,1.4101369433839711e+20,1.4101369433839711e+20,0.9265880675003244,1.3066160652809681e+20
0,-4096.0,-1.4314119692458287e+20,1.4314119692458287e+20,-0.9465194397642214,1.3548592552023627e+20
1,-4096.0,1.4314119692458287e+20,1.4314119692458287e+20,0.9465194397642214,1.3548592552023627e+20
