stage,family,candidate,file,n,sha256_geometry,length,rg,mean_turn,max_turn,min_nonlocal_point_distance
probe,mechforce,mechforce__off,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\mechforce__off_i00100.txt,300,d1065ec668a9ca04ee027ba818e6a9206d281f7badc359401cdba18d7a294315,428.33446267955725,24.573187904597592,0.6665147419875029,1.0980418539610626,3.5618655115527593
probe,mechforce,mechforce__on,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\mechforce__on_i00100.txt,300,b88150ba98895b57ab1647d84fda66b10477c3e668b54b55e1db0acea55b971f,321.498686910385,24.430057529801747,0.06281879173712956,0.15761539094884405,4.245776993906652
probe,elecforce,elecforce__off,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\elecforce__off_i00100.txt,300,81349d45e0b9c12c41c4b361cb24ce62af1567d047693aed79dd56059672b983,315.76255784508703,24.14355664654952,0.04887337350726656,0.06154823700599509,4.178593504589073
probe,elecforce,elecforce__on,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\elecforce__on_i00100.txt,300,b88150ba98895b57ab1647d84fda66b10477c3e668b54b55e1db0acea55b971f,321.498686910385,24.430057529801747,0.06281879173712956,0.15761539094884405,4.245776993906652
probe,bendforce,bendforce__off,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\bendforce__off_i00100.txt,300,b88150ba98895b57ab1647d84fda66b10477c3e668b54b55e1db0acea55b971f,321.498686910385,24.430057529801747,0.06281879173712956,0.15761539094884405,4.245776993906652
probe,bendforce,bendforce__on,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\bendforce__on_i00100.txt,300,d5a8c5a3760a4585677865439dc55c6fb774b6cacf0390d745557958b0115bf0,321.5019237797923,24.43013308787947,0.06287425105265075,0.15786294704453305,4.245713646088487
probe,charge,charge__15,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\charge__15_i00100.txt,300,b88150ba98895b57ab1647d84fda66b10477c3e668b54b55e1db0acea55b971f,321.498686910385,24.430057529801747,0.06281879173712956,0.15761539094884405,4.245776993906652
probe,charge,charge__30,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\charge__30_i00100.txt,300,35f719392315eab32bf5c4e409959b9785cceeb514b4d982b1731f0d971e4bfc,350.1562908257838,24.616970687020874,0.3365987748683323,0.5613126838241044,4.105925390676991
probe,charge,charge__3p75,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\charge__3p75_i00100.txt,300,1fee66ef234ff415320c75e60448b706d46bd87be4330adf5bae7ae8888db9c7,317.08461532811896,24.21794169159862,0.048983849418059895,0.06607130633233113,4.201952106906622
probe,charge,charge__60,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\charge__60_i00100.txt,300,266313ecbccb9f4987c4caae6166791daaa4213ef235004aea8c0f575efd40b6,388.6659609934628,24.765775958036464,0.5052879988786159,0.7591404523856261,3.9889339554577736
probe,charge,charge__7p5,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\charge__7p5_i00100.txt,300,64f8c8c4754bd0b5aad919cf399cbca89d14b343c9387ff00f9baeee916a07b2,318.3925388833343,24.290715277522313,0.049127110667461706,0.07703682074586635,4.223116193388005
probe,hooke,hooke__0p25,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\hooke__0p25_i00100.txt,300,ea8fb1a21e922b4215f68b41a7454aa4aef91bc2b946cc688391b8ed1396e26b,361.23332527921025,24.54084259116075,0.41186298449897873,0.6880278731439713,3.9990032606071986
probe,hooke,hooke__0p5,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\hooke__0p5_i00100.txt,300,d32d89e2dc0695525adbad535e1a9841741e9f5ea1ef5f100ea658ea92cb4d0d,335.43787802829905,24.51056830336865,0.2414341188705016,0.45437207755550385,4.156936350362007
probe,hooke,hooke__1,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\hooke__1_i00100.txt,300,b88150ba98895b57ab1647d84fda66b10477c3e668b54b55e1db0acea55b971f,321.498686910385,24.430057529801747,0.06281879173712956,0.15761539094884405,4.245776993906652
probe,hooke,hooke__2,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\hooke__2_i00100.txt,300,b43568e156fe6e29cc43742ad8b27d483b1b2f4f1c0c7acc661f8aef43102e21,317.6264931939785,24.24760809021084,0.049004630045712365,0.06232923373880849,4.214498340184867
probe,hooke,hooke__4,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\hooke__4_i00100.txt,300,b7951f11d9e7c64b34a5243cf090713b71271d74d667a349c8bc02c420dabb3e,311.5271187830507,23.895922931578802,0.04855377846666279,0.05914187177566293,4.112002471096655
probe,power,power__3,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\power__3_i00100.txt,300,d000b8c185bdb50378d2a4fb1d9bd7f4b16eb3da4c7179d17286a91c2a1b3453,439.9737084504534,26.150977110304527,0.5584364305315095,0.8209614190240415,4.373480349918358
probe,power,power__4,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\power__4_i00100.txt,300,5a3b0ef4371c2b72646228fa2ce1b15522e3c4546b0bc0997cae64b314a9980f,363.90622000189825,24.76118084732518,0.39387793682908795,0.6377728054317005,4.095764746802116
probe,power,power__5,C:\workspace\projects\SST-Workbench\KnotPlot\KnotPlot_3p1_Comprehensive_Dynamics_Parameter_Atlas_v0.3.1\out\probe\power__5_i00100.txt,300,b88150ba98895b57ab1647d84fda66b10477c3e668b54b55e1db0acea55b971f,321.498686910385,24.430057529801747,0.06281879173712956,0.15761539094884405,4.245776993906652
