low_group,high_group,low_dimension,high_dimension,low_members,high_members,low_omega_hat,high_omega_hat,frequency_rel_error,overlap,minimum_overlap,fingerprint_similarity,low_dominant_m,high_dominant_m,low_circularity_eigs,high_circularity_eigs,circularity_error,low_condition_number_max,high_condition_number_max,low_class,high_class,low_core_status,high_core_status,equilibrium_ready,score,numerically_trackable,physical_interpretation_allowed
13,17,2,2,22;23,30;31,-0.0,-0.0,0.0,0.9968623170454767,0.9968623170454766,0.9916126878861766,0,2,-1.17786249339e-16;1.17786249339e-16,-1.76371802022e-16;1.76371802022e-16,5.858555268241639e-17,1.2676758013536558,9.207678133069285,real_dominant,real_dominant,UNDERRESOLVED,UNDERRESOLVED,True,0.9960205621988302,True,False
17,25,2,2,30;31,46;47,-0.0,-0.0,0.0,0.9968623170454767,0.9968623170454766,0.9916126878861765,0,0,-1.13174148402e-16;1.13174148402e-16,-3.16504669638e-16;3.16504669638e-16,2.0333052123572364e-16,3.8595094243297887,2.839851341543327,real_dominant,real_dominant,UNDERRESOLVED,UNDERRESOLVED,True,0.9960205621988301,True,False
4,12,2,2,6;8,22;24,-0.044979746704983795,-0.027036157377888722,0.3989259753903173,0.9108322138462397,0.9108322138462394,0.9935791006094801,6,6,-0.994388304936;-0.994388304936,-0.969836302302;-0.969836302302,0.024552002633885905,1.3974221265743134,1.0371863932812615,oscillatory,oscillatory,UNDERRESOLVED,UNDERRESOLVED,True,0.8850552071515662,False,False
5,13,2,2,7;9,23;25,0.044979746704983795,0.027036157377888722,0.3989259753903173,0.9108322138462397,0.9108322138462394,0.9935791006094801,6,6,0.994388304936;0.994388304936,0.969836302302;0.969836302302,0.024552002633885905,1.3974221265743134,1.0371863932812615,oscillatory,oscillatory,UNDERRESOLVED,UNDERRESOLVED,True,0.8850552071515662,False,False
2,10,2,2,2;4,18;20,-0.05759187256485336,-0.05171349434874469,0.10206957951383017,0.8235449861321434,0.8235449861321431,0.9993546503554428,7,7,-0.997331851006;-0.997331851006,-0.9923274736;-0.9923274736,0.005004377405592231,3.1619957314465204,1.0097981814301908,oscillatory,oscillatory,UNDERRESOLVED,UNDERRESOLVED,True,0.8786552173410722,True,False
3,11,2,2,3;5,19;21,0.05759187256485336,0.05171349434874469,0.10206957951383017,0.8235449861321434,0.8235449861321431,0.9993546503554428,7,7,0.997331851006;0.997331851006,0.9923274736;0.9923274736,0.005004377405592231,3.1619957314465204,1.0097981814301908,oscillatory,oscillatory,UNDERRESOLVED,UNDERRESOLVED,True,0.8786552173410722,True,False
9,15,1,1,15,27,1.2362769979135368e-10,-0.0,1.0,0.9999999999999987,0.9999999999999987,1.0,0,0,3.61338520814e-08,0,3.6133852081386284e-08,28385364.194357,18801676.512390606,oscillatory,real_dominant,UNDERRESOLVED,UNDERRESOLVED,True,0.8499999999999992,False,False
8,14,1,1,14,26,-1.2362769979135368e-10,-0.0,1.0,0.9999999999999984,0.9999999999999984,1.0,0,0,-3.61338520814e-08,0,3.6133852081386284e-08,28385364.194357,18801676.343646094,oscillatory,real_dominant,UNDERRESOLVED,UNDERRESOLVED,True,0.8499999999999991,False,False
6,20,2,2,10;12,36;38,-0.027876464043697015,-0.004601715292985127,0.8349247133434201,0.8887682594027067,0.8887682594027052,0.9279005137826246,5,5,-0.981066569895;-0.981066569895,-0.550467027878;-0.550467027878,0.4305995420166133,2.0011873915359804,1.8193238462263774,oscillatory,oscillatory,UNDERRESOLVED,UNDERRESOLVED,True,0.7899973770857671,False,False
7,21,2,2,11;13,37;39,0.027876464043697015,0.004601715292985127,0.8349247133434201,0.8887682594027067,0.8887682594027052,0.9279005137826246,5,5,0.981066569895;0.981066569895,0.550467027878;0.550467027878,0.4305995420166133,2.0011873915359804,1.8193238462263774,oscillatory,oscillatory,UNDERRESOLVED,UNDERRESOLVED,True,0.7899973770857671,False,False
