geometry,N,eta_a_max,eta_a_mean,status,equilibrium_status
ring,16,7.803612880645144,7.8036128806451295,UNDERRESOLVED,relative_equilibrium_reference
ring,24,5.221047688802081,5.221047688802064,UNDERRESOLVED,relative_equilibrium_reference
