id,kind,crossings,family,ordinal,table,dataset,relpath,page_url,pd,gauss,dt,conway,braid
10_1,knot,10,,1,Rolfsen,Rolfsen,knots/10/rolfsen/0001-0050/10_1,https://katlas.org/wiki/10_1,"X<sub>1425</sub> X<sub>11,14,12,15</sub> X<sub>3,13,4,12</sub> X<sub>13,3,14,2</sub> X<sub>5,20,6,1</sub> X<sub>7,18,8,19</sub> X<sub>9,16,10,17</sub> X<sub>15,10,16,11</sub> X<sub>17,8,18,9</sub> X<sub>19,6,20,7</sub>","-1, 4, -3, 1, -5, 10, -6, 9, -7, 8, -2, 3, -4, 2, -8, 7, -9, 6, -10, 5",4 12 20 18 16 14 2 10 8 6,<nowiki>[82]</nowiki>,"<math>\textrm{BR}(6,\{-1,-1,-2,1,-2,-3,2,-3,-4,3,5,-4,5\})</math>"
10_123,knot,10,,123,Rolfsen,Rolfsen,knots/10/rolfsen/0101-0150/10_123,https://katlas.org/wiki/10_123,"X<sub>8291</sub> X<sub>10,3,11,4</sub> X<sub>12,6,13,5</sub> X<sub>4,18,5,17</sub> X<sub>18,11,19,12</sub> X<sub>2,15,3,16</sub> X<sub>16,10,17,9</sub> X<sub>20,14,1,13</sub> X<sub>14,7,15,8</sub> X<sub>6,19,7,20</sub>","1, -6, 2, -4, 3, -10, 9, -1, 7, -2, 5, -3, 8, -9, 6, -7, 4, -5, 10, -8",8 10 12 14 16 18 20 2 4 6,<nowiki>[10*]</nowiki>,"<math>\textrm{BR}(3,\{-1,2,-1,2,-1,2,-1,2,-1,2\})</math>"
3_1,knot,3,,1,Rolfsen,Rolfsen,knots/03/3_1,https://katlas.org/wiki/3_1,X<sub>1425</sub> X<sub>3641</sub> X<sub>5263</sub>,"-1, 3, -2, 1, -3, 2",4 6 2,<nowiki>[3]</nowiki>,"<math>\textrm{BR}(2,\{-1,-1,-1\})</math>"
4_1,knot,4,,1,Rolfsen,Rolfsen,knots/04/4_1,https://katlas.org/wiki/4_1,X<sub>4251</sub> X<sub>8615</sub> X<sub>6374</sub> X<sub>2738</sub>,"1, -4, 3, -1, 2, -3, 4, -2",4 6 8 2,<nowiki>[22]</nowiki>,"<math>\textrm{BR}(3,\{-1,2,-1,2\})</math>"
5_1,knot,5,,1,Rolfsen,Rolfsen,knots/05/5_1,https://katlas.org/wiki/5_1,"X<sub>1627</sub> X<sub>3849</sub> X<sub>5,10,6,1</sub> X<sub>7283</sub> X<sub>9,4,10,5</sub>","-1, 4, -2, 5, -3, 1, -4, 2, -5, 3",6 8 10 2 4,<nowiki>[5]</nowiki>,"<math>\textrm{BR}(2,\{-1,-1,-1,-1,-1\})</math>"
5_2,knot,5,,2,Rolfsen,Rolfsen,knots/05/5_2,https://katlas.org/wiki/5_2,"X<sub>1425</sub> X<sub>3849</sub> X<sub>5,10,6,1</sub> X<sub>9,6,10,7</sub> X<sub>7283</sub>","-1, 5, -2, 1, -3, 4, -5, 2, -4, 3",4 8 10 2 6,<nowiki>[32]</nowiki>,"<math>\textrm{BR}(3,\{-1,-1,-1,-2,1,-2\})</math>"
6_1,knot,6,,1,Rolfsen,Rolfsen,knots/06/6_1,https://katlas.org/wiki/6_1,"X<sub>1425</sub> X<sub>7,10,8,11</sub> X<sub>3948</sub> X<sub>9,3,10,2</sub> X<sub>5,12,6,1</sub> X<sub>11,6,12,7</sub>","-1, 4, -3, 1, -5, 6, -2, 3, -4, 2, -6, 5",4 8 12 10 2 6,<nowiki>[42]</nowiki>,"<math>\textrm{BR}(4,\{-1,-1,-2,1,3,-2,3\})</math>"
6_2,knot,6,,2,Rolfsen,Rolfsen,knots/06/6_2,https://katlas.org/wiki/6_2,"X<sub>1425</sub> X<sub>5,10,6,11</sub> X<sub>3948</sub> X<sub>9,3,10,2</sub> X<sub>7,12,8,1</sub> X<sub>11,6,12,7</sub>","-1, 4, -3, 1, -2, 6, -5, 3, -4, 2, -6, 5",4 8 10 12 2 6,<nowiki>[312]</nowiki>,"<math>\textrm{BR}(3,\{-1,-1,-1,2,-1,2\})</math>"
6_3,knot,6,,3,Rolfsen,Rolfsen,knots/06/6_3,https://katlas.org/wiki/6_3,"X<sub>4251</sub> X<sub>8493</sub> X<sub>12,9,1,10</sub> X<sub>10,5,11,6</sub> X<sub>6,11,7,12</sub> X<sub>2837</sub>","1, -6, 2, -1, 4, -5, 6, -2, 3, -4, 5, -3",4 8 10 2 12 6,<nowiki>[2112]</nowiki>,"<math>\textrm{BR}(3,\{-1,-1,2,-1,2,2\})</math>"
7_1,knot,7,,1,Rolfsen,Rolfsen,knots/07/7_1,https://katlas.org/wiki/7_1,"X<sub>1829</sub> X<sub>3,10,4,11</sub> X<sub>5,12,6,13</sub> X<sub>7,14,8,1</sub> X<sub>9,2,10,3</sub> X<sub>11,4,12,5</sub> X<sub>13,6,14,7</sub>","-1, 5, -2, 6, -3, 7, -4, 1, -5, 2, -6, 3, -7, 4",8 10 12 14 2 4 6,<nowiki>[7]</nowiki>,"<math>\textrm{BR}(2,\{-1,-1,-1,-1,-1,-1,-1\})</math>"
7_2,knot,7,,2,Rolfsen,Rolfsen,knots/07/7_2,https://katlas.org/wiki/7_2,"X<sub>1425</sub> X<sub>3,10,4,11</sub> X<sub>5,14,6,1</sub> X<sub>7,12,8,13</sub> X<sub>11,8,12,9</sub> X<sub>13,6,14,7</sub> X<sub>9,2,10,3</sub>","-1, 7, -2, 1, -3, 6, -4, 5, -7, 2, -5, 4, -6, 3",4 10 14 12 2 8 6,<nowiki>[52]</nowiki>,"<math>\textrm{BR}(4,\{-1,-1,-1,-2,1,-2,-3,2,-3\})</math>"
7_3,knot,7,,3,Rolfsen,Rolfsen,knots/07/7_3,https://katlas.org/wiki/7_3,"X<sub>6271</sub> X<sub>10,4,11,3</sub> X<sub>14,8,1,7</sub> X<sub>8,14,9,13</sub> X<sub>12,6,13,5</sub> X<sub>2,10,3,9</sub> X<sub>4,12,5,11</sub>","1, -6, 2, -7, 5, -1, 3, -4, 6, -2, 7, -5, 4, -3",6 10 12 14 2 4 8,<nowiki>[43]</nowiki>,"<math>\textrm{BR}(3,\{1,1,1,1,1,2,-1,2\})</math>"
7_4,knot,7,,4,Rolfsen,Rolfsen,knots/07/7_4,https://katlas.org/wiki/7_4,"X<sub>6271</sub> X<sub>12,6,13,5</sub> X<sub>14,8,1,7</sub> X<sub>8,14,9,13</sub> X<sub>2,12,3,11</sub> X<sub>10,4,11,3</sub> X<sub>4,10,5,9</sub>","1, -5, 6, -7, 2, -1, 3, -4, 7, -6, 5, -2, 4, -3",6 10 12 14 4 2 8,<nowiki>[313]</nowiki>,"<math>\textrm{BR}(4,\{1,1,2,-1,2,2,3,-2,3\})</math>"
8_1,knot,8,,1,Rolfsen,Rolfsen,knots/08/8_1,https://katlas.org/wiki/8_1,"X<sub>1425</sub> X<sub>9,12,10,13</sub> X<sub>3,11,4,10</sub> X<sub>11,3,12,2</sub> X<sub>5,16,6,1</sub> X<sub>7,14,8,15</sub> X<sub>13,8,14,9</sub> X<sub>15,6,16,7</sub>","-1, 4, -3, 1, -5, 8, -6, 7, -2, 3, -4, 2, -7, 6, -8, 5",4 10 16 14 12 2 8 6,<nowiki>[62]</nowiki>,"<math>\textrm{BR}(5,\{-1,-1,-2,1,-2,-3,2,4,-3,4\})</math>"
