source,component_i,component_j,gauss_linking,nearest_integer,integer_residual
link_0.2.1_final.txt,0,1,-1.449471534521134e-18,0,1.449471534521134e-18
link_0.3.1_final.txt,0,1,1.689068671956807e-14,0,1.689068671956807e-14
link_0.3.1_final.txt,0,2,5.189393190360176e-14,0,5.189393190360176e-14
link_0.3.1_final.txt,1,2,-1.9947697242736537e-13,0,1.9947697242736537e-13
link_2.2.1_final.txt,0,1,1.0000671019954794,1,6.710199547943496e-05
link_4.2.1_final.txt,0,1,-2.000400941854655,-2,0.00040094185465511245
link_5.2.1_final.txt,0,1,1.0721024180768175e-07,0,1.0721024180768175e-07
link_6.2.1_final.txt,0,1,3.0012603462774075,3,0.0012603462774074536
link_6.3.1_final.txt,0,1,-1.000249857019853,-1,0.0002498570198530281
link_6.3.1_final.txt,0,2,-1.0002618228554687,-1,0.00026182285546871853
link_6.3.1_final.txt,1,2,1.0002360081972184,1,0.00023600819721836253
link_6.3.2_final.txt,0,1,-7.853107650470249e-05,0,7.853107650470249e-05
link_6.3.2_final.txt,0,2,8.157113594336194e-05,0,8.157113594336194e-05
link_6.3.2_final.txt,1,2,-8.922690729895366e-05,0,8.922690729895366e-05
link_6.3.3_final.txt,0,1,1.0001242120233516,1,0.00012421202335155535
link_6.3.3_final.txt,0,2,-1.0001094392427037,-1,0.00010943924270367944
link_6.3.3_final.txt,1,2,1.000123934105584,1,0.00012393410558408924
link_7.2.5_final.txt,0,1,2.001012053968064,2,0.0010120539680640306
link_7.2.6_final.txt,0,1,0.00027771714324001444,0,0.00027771714324001444
link_7.2.8_final.txt,0,1,1.1682115850050916e-05,0,1.1682115850050916e-05
link_8.2.1_final.txt,0,1,-4.002743691421776,-4,0.0027436914217764397
link_9.2.20_final.txt,0,1,3.002074367010189,3,0.0020743670101888156
link_9.2.40_final.txt,0,1,-3.0020689823096163,-3,0.002068982309616274
torus_2.4_final.txt,0,1,-2.000419552002367,-2,0.0004195520023668742
torus_2.6_final.txt,0,1,-3.0013322567285585,-3,0.001332256728558523
torus_2.8_final.txt,0,1,-4.003057939488358,-4,0.0030579394883583078
torus_3.3_final.txt,0,1,-1.0000883873195696,-1,8.83873195696161e-05
torus_3.3_final.txt,0,2,-1.0000883859503291,-1,8.838595032911734e-05
torus_3.3_final.txt,1,2,-1.0000883876867586,-1,8.838768675856201e-05
torus_3.6_final.txt,0,1,-2.0004643636283763,-2,0.0004643636283763186
torus_3.6_final.txt,0,2,-2.00046439666147,-2,0.00046439666146991243
torus_3.6_final.txt,1,2,-2.000464334412737,-2,0.00046433441273707743
torus_3.9_final.txt,0,1,-3.0012794579168505,-3,0.0012794579168504683
torus_3.9_final.txt,0,2,-3.00120666170317,-3,0.0012066617031698534
torus_3.9_final.txt,1,2,-3.001261163508573,-3,0.00126116350857286
torus_6.15_final.txt,0,1,-10.013459033359055,-10,0.013459033359055184
torus_6.15_final.txt,0,2,-10.0127892895985,-10,0.012789289598499565
torus_6.15_final.txt,1,2,-10.013318323661148,-10,0.013318323661147602
torus_6.21_final.txt,0,1,-14.03167410339672,-14,0.03167410339671939
torus_6.21_final.txt,0,2,-14.027355659430935,-14,0.027355659430934764
torus_6.21_final.txt,1,2,-14.03167407094556,-14,0.03167407094555941
torus_6.9_final.txt,0,1,-6.003519468673045,-6,0.0035194686730450897
torus_6.9_final.txt,0,2,-6.003271943245395,-6,0.00327194324539537
torus_6.9_final.txt,1,2,-6.0034991670957485,-6,0.00349916709574849
