carrier_id,family,best_beta_total,best_beta_parameter,best_n_threads,best_helix_turns,best_gamma_core,best_log_ratio_active_over_null,best_ratio_active_over_null,discovery_only
TORUS_T2_3,torus,-3.0,-3.0,3,1.0,1.0,-0.41160499615044266,0.6625859483682018,True
TORUS_T2_7,torus,2.5,2.5,1,1.0,1.0,-0.1521153100646253,0.85888923645747,True
TORUS_T2_9,torus,3.0,3.0,1,1.0,1.0,-0.3331334446485056,0.7166745513907301,True
TRIPLE_GEAR_T3_3,triple_gear,-3.0,-3.0,3,1.0,1.0,-0.08661140104580646,0.917033384616128,True
TWIST_4_1,twist,0.25,0.25,1,0.0,1.0,-0.020653185617687142,0.9795586306869486,True
TWIST_5_2,twist,-1.0,-1.0,1,0.0,1.0,-0.130562404030701,0.8776017253548847,True
TWIST_7_2,twist,1.0,1.0,1,1.0,1.0,-0.06790251634230585,0.9343515531447295,True
