eigen_index,lambda_real,lambda_imag,frequency,growth_abs,growth_ratio,k2,k
0,-0.2009830177862265,0.0,0.0,0.2009830177862265,200983017786226.47,0.27661334477928157,0.5259404384331762
1,-0.17621637441735077,0.0,0.0,0.17621637441735077,176216374417350.75,0.231262667427467,0.48089777232533215
2,0.20092263058302326,0.0,0.0,0.20092263058302326,200922630583023.25,0.27653224773865476,0.5258633356097902
3,0.1763138011327008,0.0,0.0,0.1763138011327008,176313801132700.78,0.2313505536125083,0.48098914084676414
8,-0.07578249308240902,0.009652525012963282,0.009652525012963282,0.07578249308240902,7.851053789618115,0.1405668300943118,0.3749224321033776
14,0.07575849506098573,0.009678558551779433,0.009678558551779433,0.07575849506098573,7.827456398149009,0.14055990409743938,0.3749131954165382
36,0.03881246736651338,0.009910822585017789,0.009910822585017789,0.03881246736651338,3.9161701295295375,0.17217088988593743,0.41493480197006544
34,-0.038794480604458156,0.009957742037385786,0.009957742037385786,0.038794480604458156,3.895911388225006,0.17214095288332193,0.41489872605651845
46,-0.01571602426477022,0.013063505991015315,0.013063505991015315,0.01571602426477022,1.2030479624366712,0.16751126502063537,0.4092814007753533
48,0.015718329379409972,0.013064085759398315,0.013064085759398315,0.015718329379409972,1.203171019303987,0.1674862475522163,0.40925083695970166
12,-0.07683844265519697,0.013072596792082064,0.013072596792082064,0.07683844265519697,5.877825490780625,0.11177810364278432,0.3343323251538569
18,0.07683082988537945,0.013075615716344016,0.013075615716344016,0.07683082988537945,5.8758861955038855,0.1117777630731672,0.33433181582548677
10,-0.07789383209347253,0.013304821480323078,0.013304821480323078,0.07789383209347253,5.854556726572558,0.0849021601235689,0.2913797524255399
16,0.07788512324326582,0.013336520055067759,0.013336520055067759,0.07788512324326582,5.839988461882916,0.08489914162891544,0.29137457272197836
50,-2.1558264149072054e-06,0.03141379838489246,0.03141379838489246,2.1558264149072054e-06,6.862673493008686e-05,0.11073151533457426,0.3327634525223199
40,-0.0285167377399053,0.036218231527285566,0.036218231527285566,0.0285167377399053,0.7873586461122978,0.10423559119424933,0.3228553719457821
44,0.028527371863855636,0.036220595452259856,0.036220595452259856,0.028527371863855636,0.7876008527097743,0.10422195399102506,0.3228342515766025
42,0.034707322467056184,0.03922411256635582,0.03922411256635582,0.034707322467056184,0.8848465955307838,0.15079639143888468,0.38832511049233565
38,-0.03470939236816187,0.039224416701059805,0.039224416701059805,0.03470939236816187,0.8848925054180361,0.15081340777467614,0.3883470197834356
30,-0.03653390423229787,0.051462662542264496,0.051462662542264496,0.03653390423229787,0.7099108834933257,0.18315147175848984,0.42796199803077123
32,0.03653297099718576,0.05146517694483714,0.05146517694483714,0.03653297099718576,0.7098580664814106,0.18312054006850523,0.42792585814426454
52,-5.493534218342167e-06,0.0559910557267063,0.0559910557267063,5.493534218342167e-06,9.811449609302315e-05,0.2479934021606923,0.4979893594854134
60,-1.5707471126519962e-05,0.06513880860185726,0.06513880860185726,1.5707471126519962e-05,0.00024113844670582606,0.12334775507985908,0.351208990602261
62,8.58367482764466e-06,0.06788872326367891,0.06788872326367891,8.58367482764466e-06,0.00012643741721737469,0.1673840046473283,0.4091259031732509
64,7.90434189471001e-06,0.07282386585531117,0.07282386585531117,7.90434189471001e-06,0.0001085405423328475,0.1567127569883238,0.3958696211991061
58,-2.8284338646770296e-05,0.07906156487796467,0.07906156487796467,2.8284338646770296e-05,0.0003577508071137794,0.1664277716715372,0.40795560012277954
56,-1.4638521375360397e-07,0.08183028927284126,0.08183028927284126,1.4638521375360397e-07,1.7888878929111631e-06,0.11950372022141058,0.34569310120598384
54,1.8762508656053768e-05,0.08572418538736482,0.08572418538736482,1.8762508656053768e-05,0.00021887065559469566,0.12935158745893438,0.359654817094022
28,1.2114054658502252e-05,0.09022632666238092,0.09022632666238092,1.2114054658502252e-05,0.00013426297076054078,0.1488492952600791,0.38580992115299356
22,-5.036394403894889e-06,0.10344765653177508,0.10344765653177508,5.036394403894889e-06,4.868543737719091e-05,0.1617795209305703,0.4022182503698338
26,1.121474564543673e-06,0.10460205640728243,0.10460205640728243,1.121474564543673e-06,1.072134337566996e-05,0.2002958943563131,0.44754429317813127
24,7.921209686855696e-06,0.10528309503946327,0.10528309503946327,7.921209686855696e-06,7.523724187521831e-05,0.1340922336011249,0.36618606418202876
20,6.156005892474117e-06,0.1069905210202125,0.1069905210202125,6.156005892474117e-06,5.753786254869376e-05,0.1352122599714858,0.367712197202494
6,9.523031933116738e-06,0.11737156648267476,0.11737156648267476,9.523031933116738e-06,8.113576582896195e-05,0.10932426170712875,0.3306421958963023
4,-4.013099675685e-06,0.1193813542825408,0.1193813542825408,4.013099675685e-06,3.361579955096811e-05,0.19141603695253895,0.43751118494564106
