axis,case,value,q,cell_over_core,backend,n_nodes,image_shell,fd_eps_over_core,max_m,symmetry_order,c4_acceleration_used,self_jacobian_cached,global_spectral_abscissa_reference,global_gap_after_neutral_reference,global_unstable_count_reference,low_mode_projection_leakage,c4_symmetry_leakage_projected,c4_symmetry_audit_self,c4_symmetry_audit_interaction,c4_symmetry_leakage,relative_shape_residual,equilibrium_gate_ok,fourier_quality_gate_ok
resolution,N32,32,2.31,10.074424655013587,cpp,32,2,0.0001,12,4,True,True,0.0221288719725472,0.007564957960308536,8,0.028192608764045075,2.082951194545723e-15,2.1228614644819394e-12,2.864759108287032e-11,2.864759108287032e-11,0.08227448020000219,False,False
resolution,N32,32,2.335,10.329459929369532,cpp,32,2,0.0001,12,4,True,True,0.019649948387631642,0.004966637554003628,8,0.022143557707687635,2.0745114677892796e-15,2.1228614644819394e-12,3.4880653435577144e-11,3.4880653435577144e-11,0.06447720163804659,False,False
resolution,N32,32,2.36,10.59095145243378,cpp,32,2,0.0001,12,4,True,True,0.017616245079288037,0.0023850404445274562,6,0.01744433343569373,2.0749440661657004e-15,2.1228614644819394e-12,3.332461476769821e-11,3.332461476769821e-11,0.05046802423866556,False,False
resolution,N32,32,2.385,10.859062664920515,cpp,32,2,0.0001,12,4,True,True,0.0159369348684878,0.005638973839605988,6,0.01377673145570795,2.0677061193590885e-15,2.1228614644819394e-12,3.182433403270669e-11,3.182433403270669e-11,0.03957403910904266,True,True
resolution,N32,32,2.41,11.133961145065307,cpp,32,2,0.0001,12,4,True,True,0.014544422595750417,0.0049776607734967355,6,0.010906814062441464,2.079693929791052e-15,2.1228614644819394e-12,4.8021113028883365e-11,4.8021113028883365e-11,0.031130550232317002,True,True
resolution,N32,32,2.435,11.41581871336694,cpp,32,2,0.0001,12,4,True,True,0.013386357513286594,0.004364308762137006,6,0.008656306415375735,2.0717215775728318e-15,2.1228614644819394e-12,4.819081546130507e-11,4.819081546130507e-11,0.024580159248160222,True,True
resolution,N32,32,2.46,11.704811539980854,cpp,32,2,0.0001,12,4,True,True,0.012421159194292793,0.0037792369168249836,6,0.006887652751098557,2.0718948796302524e-15,2.1228614644819394e-12,4.132309558525114e-11,4.132309558525114e-11,0.019483226225917714,True,True
resolution,N32,32,2.485,12.001120254831195,cpp,32,2,0.0001,12,4,True,True,0.01161526998162897,0.0032059600034113444,6,0.00549437382817648,2.0875040610135614e-15,2.1228614644819394e-12,5.5453269712897804e-11,5.5453269712897804e-11,0.015501738885012866,True,True
resolution,N32,32,2.51,12.30493006051041,cpp,32,2,0.0001,12,4,True,True,0.010941328228357992,0.002624530766636705,6,0.004394006084733006,2.0922026191151997e-15,2.1228614644819394e-12,4.9753295806093224e-11,4.9753295806093224e-11,0.01237838994292553,True,True
resolution,N32,32,2.535,12.616430848036902,cpp,32,2,0.0001,12,4,True,True,0.010376875869013799,0.0020005465515076227,6,0.0035226697709608147,2.088833198635313e-15,2.1228614644819394e-12,7.756291505351666e-11,7.756291505351666e-11,0.009917767611465289,True,True
resolution,N32,32,2.56,12.935817315543076,cpp,32,2,0.0001,12,4,True,True,0.009903400807328563,0.001238379692037257,6,0.0028308426204535987,2.0822093332142896e-15,2.1228614644819394e-12,5.919390918347699e-11,5.919390918347699e-11,0.00797124155899591,True,True
resolution,N32,32,2.585,13.263289089968042,cpp,32,2,0.0001,12,4,True,True,0.00950560281062433,0.0007661822659485776,5,0.0022800778283018214,2.092626845217291e-15,2.1228614644819394e-12,6.857372224186489e-11,6.857372224186489e-11,0.006425367829789751,True,True
