coefficient_expr,coefficient,N_ratio,abs_log_error,rel_dev
2^5 pi^-2,3.242277876554809,1.0057484995382127,0.005732039963190224,0.005748499538212676
2^0 pi^1,3.141592653589793,0.9745161327336943,0.025814205288335793,-0.025483867266305745
2^-5 pi^4,3.0440340948125755,0.944253651279897,0.057360450539861996,-0.05574634872010302
2^-8 pi^6,3.7554265374035323,1.164926249052096,0.1526577794791024,0.16492624905209596
2^-3 pi^3,3.875784585037477,1.202261089070131,0.18420402473062839,0.20226108907013107
2^8 pi^-4,2.62809145719919,0.8152290273577354,0.20428619005577406,-0.18477097264226464
2^2 pi^0,4.0,1.2407924771789203,0.21575026998215463,0.24079247717892024
2^3 pi^-1,2.5464790894703255,0.7899130243770516,0.23583243530730028,-0.21008697562294842
2^7 pi^-3,4.128196407449535,1.280558761670107,0.24729651523368082,0.28055876167010707
2^-2 pi^2,2.4674011002723395,0.7653831808502274,0.26737868055882635,-0.23461681914977267
2^-7 pi^5,2.390778787385011,0.7416150834965657,0.2989249258103525,-0.25838491650343426
2^-6 pi^5,4.781557574770022,1.4832301669931314,0.3942222547495928,0.4832301669931315
2^-1 pi^2,4.934802200544679,1.5307663617004548,0.425768500001119,0.5307663617004547
2^6 pi^-3,2.0640982037247677,0.6402793808350535,0.4458506653262645,-0.35972061916494646
2^4 pi^-1,5.092958178940651,1.5798260487541032,0.45731474525264504,0.5798260487541032
2^1 pi^0,2.0,0.6203962385894601,0.4773969105777907,-0.37960376141053986
2^-4 pi^3,1.9378922925187385,0.6011305445350655,0.5089431558293169,-0.39886945546493446
2^-4 pi^4,6.088068189625151,1.888507302559794,0.6357867300200833,0.8885073025597939
2^1 pi^1,6.283185307179586,1.9490322654673886,0.6673329752716095,0.9490322654673885
2^4 pi^-2,1.6211389382774044,0.5028742497691063,0.6874151405967551,-0.49712575023089367
2^6 pi^-2,6.484555753109618,2.0114969990764253,0.6988792205231356,1.0114969990764253
2^-1 pi^1,1.5707963267948966,0.48725806636684715,0.7189613858482811,-0.5127419336331529
2^-6 pi^4,1.5220170474062877,0.4721268256399485,0.7505076310998073,-0.5278731743600515
2^-7 pi^6,7.5108530748070645,2.329852498104192,0.8458049600390477,1.329852498104192
2^-2 pi^3,7.751569170074954,2.404522178140262,0.8773512052905736,1.4045221781402621
