pair_id,candidate_a,candidate_b,valid,winner_anonymous,decision_basis,median_log_ratio_A_over_B,n_metrics_A_better,n_metrics_B_better,delta_far_profile_nu_blind,delta_far_profile_r2_blind,delta_far_profile_coeff_A_minus_B_blind,delta_far_profile_boundary_hit_blind,delta_source_monopole_A_minus_B_blind,delta_source_monopole_fraction_abs_blind,delta_pressure_ladder_n_blind,delta_pressure_ladder_nu_span_blind,delta_pressure_ladder_monopole_rel_span_blind,carrier_id,family,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,campaign_role,gamma_core,n_threads,helix_turns,winner_condition,log_ratio_active_over_null,analysis_mode,decision_mode,active_dynamic_status,null_dynamic_status,active_actual_tau_end,null_actual_tau_end,pressure_delta_active_minus_null,delta_source_monopole_active_minus_null,delta_source_monopole_fraction_abs,delta_far_profile_coeff_active_minus_null,active_pressure_center_minus_shell,null_pressure_center_minus_shell,active_far_profile_nu_best,active_far_profile_r2_best,active_far_profile_coeff_best,active_far_profile_nu_boundary_hit,delta_far_profile_nu_best,delta_far_profile_r2_best,delta_far_profile_coeff_best,delta_far_profile_nu_boundary_hit,active_r2_1_over_r,active_r2_1_over_r2,active_r2_advantage_1_over_r,delta_pressure_ladder_n,delta_pressure_ladder_nu_median,delta_pressure_ladder_nu_span,delta_pressure_ladder_monopole_rel_span,active_thread_density_log_growth,null_thread_density_log_growth,thread_density_growth_active_minus_null,active_restoring_fraction,null_restoring_fraction,active_max_real_growth,null_max_real_growth,active_gear_phase_lock_score,null_gear_phase_lock_score,active_best_rational_p,active_best_rational_q,active_thread_over_carrier_rate
PAIR_1FCC72D5FFCF,CAND_093E5F1D09F7D2C5,CAND_CE36003F3A22688D,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_7,torus,0.5,2.5,per_thread_beta,thread_focusing,1.0,5,1.0,unscored,nan,dynamics_only,none,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-1.4126463266199556e-05,4.801217958959046e-05,-6.213864285579001e-05,0.5,0.5,0.07373576526388861,0.03053976772900402,nan,nan,,,nan
PAIR_28FB4C6C2B4D,CAND_81EEB9BE7B9EE99F,CAND_E647D1412731DDD4,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_3,torus,1.0,3.0,per_thread_beta,thread_focusing,1.0,3,1.0,unscored,nan,dynamics_only,none,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-7.844688179612176e-05,5.241083661722216e-05,-0.0001308577184133439,0.5,0.5,0.00033554836566604363,0.05497412389936205,nan,nan,,,nan
PAIR_93DF0C8ACE11,CAND_98C1506EECA5EC60,CAND_1CE67C8599D7BD7B,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TRIPLE_GEAR_T3_3,triple_gear,1.0,1.0,per_thread_beta,thread_focusing,1.0,1,1.0,unscored,nan,dynamics_only,none,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-3.2926732565681017e-07,0.00013853338538022842,-0.00013886265270588523,0.5,0.5,7.393279767253791e-05,6.725102701621993e-05,nan,nan,,,nan
PAIR_46F1BB72C4B8,CAND_D35A4BE035A5FEF9,CAND_64BF0AA2AEDCD79E,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_7,torus,0.5,0.5,per_thread_beta,thread_focusing,1.0,1,1.0,unscored,nan,dynamics_only,none,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,1.1337129102386415e-05,4.5258417575189175e-05,-3.392128847280276e-05,0.5,0.5,0.04009630736435088,0.03053976772900402,nan,nan,,,nan
PAIR_844E0120166C,CAND_C2EB8DD8FFD1A0EC,CAND_B1DB836CF1AE3C1C,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_3,torus,1.0,5.0,per_thread_beta,thread_focusing,1.0,5,1.0,unscored,nan,dynamics_only,none,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-0.00023905205611133911,5.3813379580521516e-05,-0.00029286543569186064,0.5,0.5,0.02076193639219661,0.05497412389936205,nan,nan,,,nan
PAIR_15CEBF224343,CAND_D901F9353BF87397,CAND_6C9BDE75D508EB46,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_7,torus,1.0,3.0,per_thread_beta,thread_focusing,1.0,3,1.0,unscored,nan,dynamics_only,none,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-8.08941148865423e-05,4.801241290507948e-05,-0.00012890652779162177,0.5,0.5,0.0820970926079674,0.03053976772900402,nan,nan,,,nan
PAIR_EF90EDCB9B21,CAND_A4E0545F587B064C,CAND_85A1F3033AC57E6F,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_9,torus,0.5,1.5,per_thread_beta,thread_focusing,1.0,3,1.0,unscored,nan,dynamics_only,none,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,1.7111630922758268e-05,4.411783222821807e-05,-2.7006201305459805e-05,0.5,0.5,-8.79636400824696e-05,-0.00033617651651635084,nan,nan,,,nan
PAIR_A03B739C0D40,CAND_8AD8475F9DCBB491,CAND_6C6859594C5DAB32,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_9,torus,0.5,2.5,per_thread_beta,thread_focusing,1.0,5,1.0,unscored,nan,dynamics_only,none,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-1.7130023518152215e-05,4.405227216521195e-05,-6.118229568336417e-05,0.5,0.5,0.00047682746892374617,-0.00033617651651635084,nan,nan,,,nan
PAIR_4173D32A0A14,CAND_C2EB8DD8FFD1A0EC,CAND_975D1FA6AF2E7421,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TORUS_T2_3,torus,0.5,2.5,per_thread_beta,thread_focusing,1.0,5,1.0,unscored,nan,dynamics_only,none,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,-9.334161393477476e-06,5.3813379580521516e-05,-6.314754097399899e-05,0.5,0.5,0.014635044332093282,0.05497412389936205,nan,nan,,,nan
PAIR_148AA85BED73,CAND_E0A5B47A1CD74E73,CAND_782105660EA09813,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,nan,nan,nan,True,nan,nan,0,nan,nan,TRIPLE_GEAR_T3_3,triple_gear,1.0,3.0,per_thread_beta,thread_focusing,1.0,3,1.0,unscored,nan,dynamics_only,none,PASS_FULL_HORIZON,PASS_FULL_HORIZON,0.14,0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,nan,nan,nan,True,nan,nan,nan,0,nan,nan,nan,0.14813876015473426,0.14835961988014348,-0.0002208597254092226,0.5,0.5,9.681758749111383e-05,6.725102701621993e-05,nan,nan,,,nan
