mode,N_coarse,N_fine,omega_hat_coarse,omega_hat_fine,growth_hat_fine,quality_re_over_im,resolution_relative_change,straight_longwave_omega_hat,curvature_fractional_shift
2,192,256,6.988901006502313,7.193242282430515,-7.505973620425266e-11,1.0434757131368419e-11,0.028407395150210037,10.674066434609832,-0.3261010387656025
3,192,256,12.764736430755487,13.19555404222663,3.8760550324923315e-11,2.9373946861865016e-12,0.03264869440816952,20.367463504898645,-0.3521258040279328
4,192,256,18.56765952459986,19.311257372743235,3.7542413622304593e-11,1.9440688349632596e-12,0.038505926040472156,31.60591084948021,-0.3889985495209727
5,192,256,23.983139262413363,25.12206385391578,7.036105031943407e-11,2.800767115655065e-12,0.045335629991438454,43.80564691945757,-0.4265108354613279
6,192,256,28.732641648419108,30.345120846494172,4.706746103977366e-11,1.5510717943049962e-12,0.053138005488001114,56.51655551943655,-0.46307554365980047
7,192,256,32.62727541144759,34.78678734718187,-8.51079207109251e-11,2.446558800084763e-12,0.062078510274080394,69.37192836769741,-0.4985466287919983
