eigen_index,lambda_real,lambda_imag,frequency,growth_abs,growth_ratio,k2,k
9,0.18752546747598245,0.0,0.0,0.18752546747598245,187525467475982.44,2.4442313095821495,1.5634037576973356
8,0.19903902100019702,0.0,0.0,0.19903902100019702,199039021000197.0,1.5916021326856198,1.261587148272215
17,-0.18733237319895693,0.0,0.0,0.18733237319895693,187332373198956.9,2.444119471043372,1.563367989643952
16,-0.19904956377944658,0.0,0.0,0.19904956377944658,199049563779446.56,1.591693946115015,1.261623535812096
14,-0.18944202303158073,0.009701735096979936,0.009701735096979936,0.18944202303158073,19.526612625256316,1.6672426241953302,1.291217496859197
6,0.18944232595732635,0.009702118161113825,0.009702118161113825,0.18944232595732635,19.52587288790327,1.6672291170144597,1.291212266443616
26,-0.04966407762912636,0.022411690668201752,0.022411690668201752,0.04966407762912636,2.2159897869548484,2.483588676334192,1.5759405687823993
24,0.049663624183144184,0.02241184308922143,0.02241184308922143,0.049663624183144184,2.215954483771529,2.483590985602522,1.5759413014457493
18,-0.15712567925697843,0.024671514259063373,0.024671514259063373,0.15712567925697843,6.3687083657322106,2.1711888838244358,1.4734954644736562
10,0.1571300530913167,0.024686709592351978,0.024686709592351978,0.1571300530913167,6.364965428199313,2.1708849901557463,1.4733923408772513
20,0.10412720413806396,0.06679899468282208,0.06679899468282208,0.10412720413806396,1.5588139407259844,2.3766908332877863,1.5416519818972718
22,-0.10414890651346512,0.06682450410396581,0.06682450410396581,0.10414890651346512,1.5585436496682392,2.376710056239273,1.5416582164148034
12,-0.1848843639390131,0.06766178324591253,0.06766178324591253,0.1848843639390131,2.732478440112381,1.8503870959747482,1.3602893427410023
4,0.1848844025783048,0.06766202291275727,0.06766202291275727,0.1848844025783048,2.73246933241551,1.8503841081981869,1.360288244526941
30,1.4652677147525967e-05,0.07310575019271437,0.07310575019271437,1.4652677147525967e-05,0.00020043125347732544,1.378984803887079,1.174301836789451
32,-1.0596344563199023e-05,0.09416295949841015,0.09416295949841015,1.0596344563199023e-05,0.00011253198306047222,1.8028966962283046,1.342719887477766
34,-6.745251266854907e-05,0.09984674957324496,0.09984674957324496,6.745251266854907e-05,0.0006755604259212031,1.6065017713485314,1.267478509225514
36,-9.32102179850014e-08,0.11448023214568959,0.11448023214568959,9.32102179850014e-08,8.142036073649852e-07,1.1684801841049204,1.0809626191987032
42,1.834040027643563e-07,0.12400898881065422,0.12400898881065422,1.834040027643563e-07,1.4789573282013503e-06,2.219663071865192,1.4898533726059058
40,1.0719578456143408e-05,0.13181571960613406,0.13181571960613406,1.0719578456143408e-05,8.132245902213754e-05,1.2124571726372722,1.1011163302018876
38,9.734129688410142e-08,0.13242517089244968,0.13242517089244968,9.734129688410142e-08,7.35066424518025e-07,0.5703116209658646,0.7551897913543751
28,-1.576861569584087e-05,0.14879639327135585,0.14879639327135585,1.576861569584087e-05,0.00010597444836639342,3.164003188733915,1.7787645118828728
0,2.981867796847393e-07,0.20920749039720948,0.20920749039720948,2.981867796847393e-07,1.4253159823225748e-06,2.6728541044125724,1.634886572338452
2,-5.278410974489736e-06,0.217065986200394,0.217065986200394,5.278410974489736e-06,2.4317080104925973e-05,2.1037934555668882,1.4504459505844705
