q,cell_over_core,backend,n_nodes,ring_radius_over_core,image_shell,core_model,fd_eps_over_core,spectral_abscissa,gap_after_neutral,unstable_count,self_jacobian_norm,interaction_jacobian_norm,interaction_to_self_norm,neutral_effective_norm,neutral_gap_normalized,neutral_abscissa_normalized,neutral_positive_count,raw_rms,shape_rms,relative_shape_residual,equilibrium_gate_ok,interaction_decay_exponent
2.5,12.182493960703473,cpp,32,4.0,1,0,0.0001,0.011140974147159175,0.002656967232156298,6,0.5954337493135075,0.02292161557559031,0.038495660687721,0.002756759027577159,1.6892613456504206e-05,2.454055665107493e-13,0,0.039527540319989785,0.0005329762371018463,0.01348366816622563,True,
2.75,15.642631884188171,cpp,32,4.0,1,0,0.0001,0.008038023167839128,0.001488449274058874,4,0.5954337493135075,0.005184421152272286,0.008706965566277614,0.0005959536882536361,1.542830584056664e-05,-1.0922644823757068e-12,0,0.04401706753895954,7.212317816956721e-05,0.0016385275576509255,True,5.945688721640886
3.0,20.085536923187668,cpp,32,4.0,1,0,0.0001,0.007424927844597612,0.0035091056149016554,4,0.5954337493135075,0.001379324995924759,0.00231650456077611,0.00015562254246600504,1.4494270141914355e-05,-1.3085282040615764e-12,0,0.04523593413495268,1.0635720622227647e-05,0.00023511663516217056,True,5.29625580170754
3.25,25.790339917193062,cpp,32,4.0,1,0,0.0001,0.00727774543032086,0.003832017183480658,4,0.5954337493135075,0.00038808852531541945,0.0006517744850083788,4.353924523571224e-05,1.4138322052045782e-05,4.368482682296823e-12,0,0.045582120378907576,1.6697574107136043e-06,3.6631850313972204e-05,True,5.072464213880064
3.5,33.11545195869231,cpp,32,4.0,1,0,0.0001,0.007238143315904319,0.003911652251105348,6,0.5954337493135075,0.00011108430579902039,0.0001865603115830983,1.2452886717701622e-05,1.403674603792184e-05,-1.0880566954383564e-12,0,0.04568186253769322,2.7268050777921305e-07,5.969119747563219e-06,True,5.003776187585811
3.75,42.52108200006278,cpp,32,4.0,1,0,0.0001,0.007226985660410456,0.003933206560115543,4,0.5954337493135075,3.1927221019886496e-05,5.3620106446260895e-05,3.581296408375271e-06,1.402395999156837e-05,9.02459369208097e-12,0,0.04571066092464182,4.562374162143698e-08,9.980984894673008e-07,True,4.98732182122989
4.0,54.598150033144236,cpp,32,4.0,1,0,0.0001,0.00722379428226193,0.003939238808647798,4,0.5954337493135075,9.177643763942835e-06,1.541337516478366e-05,1.0302546711881393e-06,1.4034808639049696e-05,1.9551887835459356e-11,0,0.04571896432708368,7.747646740896942e-09,1.6946242888330862e-07,True,4.986753873329171
4.25,70.10541234668786,cpp,32,4.0,1,0,0.0001,0.007222877948089842,0.003940949282640205,4,0.5954337493135075,2.6360804705857954e-06,4.427159988201891e-06,2.961010055586534e-07,1.4048517410391318e-05,1.759562438870835e-10,0,0.04572135395612813,1.3276228722630003e-09,2.9037260653674414e-08,True,4.989909429527024
4.5,90.01713130052181,cpp,32,4.0,1,0,0.0001,0.0072226147582637405,0.003941436947963074,4,0.5954337493135075,7.565497800558495e-07,1.2705859903441774e-06,8.501688026807362e-08,1.4059795445988217e-05,3.3483091543567666e-10,0,0.045722040615896235,2.2875351582050173e-10,5.003134434489145e-09,True,4.993120354060637
4.75,115.58428452718766,cpp,32,4.0,1,0,0.0001,0.007222539206284183,0.003941576320878281,4,0.5954337493135075,2.1699656506185853e-07,3.644344401237586e-07,2.4391719599868625e-08,1.4067280692855177e-05,2.1821311404505941e-10,0,0.045722237716002645,3.9546895726113016e-11,8.649378880306141e-10,True,4.995547239881891
5.0,148.4131591025766,cpp,32,4.0,1,0,0.0001,0.007222517531281324,0.003941616199021919,4,0.5954337493135075,6.221415207269892e-08,1.0448543124138897e-07,6.9944880135306065e-09,1.4065078052505435e-05,8.701372886610475e-10,0,0.045722294252114666,6.850749997127858e-12,1.4983390726966876e-10,True,4.997196100229683
5.25,190.56626845863,cpp,32,4.0,1,0,0.0001,0.007222511315883109,0.003941627615851811,4,0.5954337493135075,1.7832402367304703e-08,2.99485919094512e-08,2.005047257786588e-09,1.405612487445617e-05,1.9211084843950633e-09,0,0.045722310461650116,1.1882241175741572e-12,2.598784063134316e-11,True,4.99826135592432
5.5,244.69193226422038,cpp,32,4.0,1,0,0.0001,0.007222509534166655,0.003941630885436151,4,0.5954337493135075,5.1104338020467435e-09,8.582707661328751e-09,5.746482420321402e-10,1.4072427609349307e-05,6.351263826054882e-09,0,0.045722315107808775,2.0623307365168e-13,4.510556238576337e-12,True,4.9989314671511265
5.75,314.1906602856942,cpp,32,4.0,1,0,0.0001,0.0072225090235222295,0.003941631821953635,4,0.5954337493135075,1.4644029591194265e-09,2.459388573133079e-09,1.6467322986254e-10,1.4120456558713014e-05,1.067169404021054e-09,0,0.04572231643931384,3.584314262575518e-14,7.839310301202465e-13,True,4.999346681658531
