source,topology_class,canonical_id,classification,g_R0_N360_K8_LINEAR,g_R1_N540_K8_SPATIAL,g_R2_N720_K8_SPATIAL,g_R3_N720_K12_SPECTRAL,g_R4_N720_K16_SPECTRAL,g_R5_N720_K16_ROBUST_FULL,spatial_converged,spatial_tail_ratio,spatial_last_relative_step,spectral_converged,spectral_tail_ratio,spectral_last_relative_step,g_inf,fit_p,fit_tail_supported,kmax_boundary_weight,kmax_basis_present,epsilon_J_drift_max,R4_R5_repeatability_rel,cpu_fp64_confirmation_required,cpu_fp64_reasons
fremlin:10_1:knot.10_1,knot,10_1,UNRESOLVED,0.8280899238707443,0.793253820624159,0.7946397126259092,0.48921619924885057,0.47873998633908366,0.47873998633908366,False,0.03978320973331183,0.0017440507688326976,True,0.03430061030315493,0.021882886762558378,0.7892132595601751,4.0,False,0.08749546897970475,True,0.2623683205719717,0.0,True,resolution_or_threshold_unresolved;large_epsilon_J_drift
fremlin:10_1:knot.10_1n,knot,10_1,UNRESOLVED,0.10760907281300011,0.10097674366995717,0.09874622845747254,0.07807310256473914,0.06523351762734676,0.06523351762734676,True,0.33630948711650616,0.018587626770705246,False,0.6210761257882865,0.10699654114493645,0.09607396632021888,2.1100000000000003,True,0.059130451851235916,True,0.26423797500124047,0.0,True,resolution_or_threshold_unresolved;large_epsilon_J_drift
fremlin:12a_1202:knot.12a_1202,knot,12a_1202,UNRESOLVED,0.06923167073247191,0.10467016158755356,0.07271320408780878,0.083841760960171,0.4095147767453347,0.4095147767453347,False,0.9017584194097352,0.26630797916453985,False,29.264622495120896,0.79526560280312,0.08966907894325798,4.0,False,0.11384299559949478,True,0.6464085139455211,0.0,True,resolution_or_threshold_unresolved;large_epsilon_J_drift
fremlin:12a_1202:knot.12a_1202z6,knot,12a_1202,UNRESOLVED,0.34201805070396657,0.3420513734612939,0.3469560864127874,0.24873963127346732,0.37719061795783876,0.37719061795783876,False,147.188088408074,0.014136408449276192,False,1.3078357033163501,0.34054661110030393,0.3697022486060024,0.25,False,0.02515957764770095,True,0.31472171495113027,0.0,True,resolution_or_threshold_unresolved;large_epsilon_J_drift
fremlin:15331:knot.15331,knot,15331,CONVERGED_PASS,0.04069542228297703,0.026077080983259032,0.0209214499180285,0.025065768976146544,0.028014139056289678,0.028014139056289678,True,0.3526823570147449,0.04296359221025445,True,0.7114244918879393,0.02456975066785945,0.014207800100093189,1.98,True,0.039757073480655825,True,0.8346259572330156,0.0,True,all_converged_passes_require_reference_audit;large_epsilon_J_drift
fremlin:1_1:knot.1_1,unknot,1_1,UNRESOLVED,0.31994343302740536,0.32002573514885374,0.3199511978387967,0.3109075885579356,0.31069177236500606,0.31069177236500606,False,0.9056547844124069,0.0002329646226065261,True,0.023863944828562,0.0006946311815299583,0.31999069610181713,4.0,False,2.5741072713837447e-27,True,0.022404643360328304,0.0,True,resolution_or_threshold_unresolved
fremlin:3_1:knot.3_1,knot,3_1,UNRESOLVED,0.2574379295791965,0.2544686047347268,0.25344088154299815,0.19035867501030407,0.15983910376168434,0.15983910376168434,True,0.3461134249567861,0.0040550805595043985,False,0.48380633662207306,0.19093932917769335,0.2521446872204992,2.0300000000000002,True,2.209297553388345e-27,True,0.045001635553522934,0.0,True,resolution_or_threshold_unresolved
fremlin:3_1:knot.3_1p,knot,3_1,UNRESOLVED,0.2618356592786343,0.2603021653375805,0.25977019667694207,0.22661110375818988,0.17177125543328972,0.17177125543328972,True,0.34689974730051304,0.0020478433147586928,False,1.6538404249860235,0.31926091584163885,0.25909741255189905,2.0250000000000004,True,2.406014571159192e-26,True,0.034607410430089934,0.0,True,resolution_or_threshold_unresolved
fremlin:3_1:knot.3_1u,knot,3_1,UNRESOLVED,0.7362352793503504,0.7341899079266366,0.7334660098910982,0.4641566621097159,0.28180279916111134,0.28180279916111134,True,0.35392008861844554,0.0009869551223592316,False,0.6771167226495021,0.6470974152543809,0.7325169784683065,1.97,True,0.00233629007318089,True,0.03802068243575518,0.0,True,resolution_or_threshold_unresolved
fremlin:4_1:knot.4_1,knot,4_1,UNRESOLVED,0.326382696444481,0.3165640959168569,0.3131179826271688,0.24121225724589754,0.20575733695401502,0.20575733695401502,True,0.35097805231944146,0.011005798072579691,False,0.49307506605193363,0.1723142455902138,0.30865415842555133,1.99,True,0.009300633817488722,True,0.15019680177859412,0.0,True,resolution_or_threshold_unresolved
fremlin:4_1:knot.4_1d,knot,4_1,UNRESOLVED,0.5959986746508875,0.5967593893727798,0.5970101494431598,0.6489982697140748,0.4863043468099869,0.4863043468099869,True,0.3296374621962899,0.000420026477964953,False,3.1294442279558177,0.3345516526251761,0.597300461712966,2.165,True,0.07592971114660194,True,0.21740084442753796,0.0,True,resolution_or_threshold_unresolved
fremlin:4_1:knot.4_1p,knot,4_1,UNRESOLVED,0.86265428692265,0.8036001279735442,0.7904638390097815,0.9115660728211271,0.8675521806027812,0.8675521806027812,True,0.22244477268881058,0.016618456551053158,False,0.36344409870185596,0.050733423536282046,0.7819504377817754,3.245,True,0.02633274424734742,True,0.20221782832140386,0.0,True,resolution_or_threshold_unresolved
