pair_key,topology_key,variant_key,representation,resolutions_json,last_length_relative_change,last_reach_relative_change,last_writhe_absolute_change,convergence_status
8_19/knot.8_19u,8_19,8_19u,fseries,"[128, 256, 512, 1024]",9.102921252074224e-05,1.2904342077396608e-05,0.0006852993742167968,PASS_DIAGNOSTIC_THRESHOLDS
8_2/knot.8_2,8_2,8_2,fseries,"[128, 256, 512, 1024]",0.00017165591679108144,0.000121775151255519,0.006774368633203132,PASS_DIAGNOSTIC_THRESHOLDS
8_2/knot.8_2d,8_2,8_2d,fseries,"[128, 256, 512, 1024]",0.0002536040715928818,2.995003005008448e-05,0.00934022321337924,PASS_DIAGNOSTIC_THRESHOLDS
8_20/knot.8_20r,8_20,8_20r,fseries,"[128, 256, 512, 1024]",0.0001760921520882284,0.02137701119795008,0.004923179324054283,NOT_CONVERGED_AT_REQUESTED_LEVELS
8_21/knot.8_21d,8_21,8_21d,fseries,"[128, 256, 512, 1024]",0.00012197839054897907,0.0003634293026865639,0.00023923092949029723,PASS_DIAGNOSTIC_THRESHOLDS
8_21/knot.8_21p,8_21,8_21p,fseries,"[128, 256, 512, 1024]",0.0001692637573987711,0.014103286904629827,0.001964992059991566,PASS_DIAGNOSTIC_THRESHOLDS
8_21/knot.8_21r,8_21,8_21r,fseries,"[128, 256, 512, 1024]",9.031152126302959e-05,0.0006632873730581309,0.000444789380137145,PASS_DIAGNOSTIC_THRESHOLDS
8_3/knot.8_3,8_3,8_3,fseries,"[128, 256, 512, 1024]",0.0002512191999068638,0.00020806935233334998,0.02990006020240843,PASS_DIAGNOSTIC_THRESHOLDS
8_3/knot.8_3d,8_3,8_3d,fseries,"[128, 256, 512, 1024]",0.0003354375467090644,0.0004628409234897529,0.016054300955640977,PASS_DIAGNOSTIC_THRESHOLDS
8_3/knot.8_3z,8_3,8_3z,fseries,"[128, 256, 512, 1024]",0.00018582709883779912,1.4286720204446992e-05,1.396210391575255e-14,PASS_DIAGNOSTIC_THRESHOLDS
8_4/knot.8_4,8_4,8_4,fseries,"[128, 256, 512, 1024]",0.00021216585723348632,0.010845783011667387,0.004924251755478837,PASS_DIAGNOSTIC_THRESHOLDS
8_4/knot.8_4d,8_4,8_4d,fseries,"[128, 256, 512, 1024]",0.0003071685406003322,6.846618802815173e-05,0.018123927023372843,PASS_DIAGNOSTIC_THRESHOLDS
8_5/knot.8_5,8_5,8_5,fseries,"[128, 256, 512, 1024]",0.00022559745132425102,0.031017496982408514,0.011816239623090752,NOT_CONVERGED_AT_REQUESTED_LEVELS
8_6/knot.8_6,8_6,8_6,fseries,"[128, 256, 512, 1024]",0.00025439706903081097,0.022606562439197314,0.01280166729571297,NOT_CONVERGED_AT_REQUESTED_LEVELS
8_6/knot.8_6p,8_6,8_6p,fseries,"[128, 256, 512, 1024]",0.0002079051290431992,0.000601755165836174,0.003159488284821599,PASS_DIAGNOSTIC_THRESHOLDS
8_7/knot.8_7d,8_7,8_7d,fseries,"[128, 256, 512, 1024]",0.00031721190968452906,9.993804990969133e-05,0.010247854356634889,PASS_DIAGNOSTIC_THRESHOLDS
8_7/knot.8_7s,8_7,8_7s,fseries,"[128, 256, 512, 1024]",0.0001501647151751657,0.013618957848867325,0.0003337316560032555,PASS_DIAGNOSTIC_THRESHOLDS
8_8/knot.8_8d,8_8,8_8d,fseries,"[128, 256, 512, 1024]",0.0002927676693180911,0.00020563993898545254,0.0030852326727519586,PASS_DIAGNOSTIC_THRESHOLDS
8_9/knot.8_9d,8_9,8_9d,fseries,"[128, 256, 512, 1024]",0.0003264516351706387,0.0024930901546597367,0.005111200151454387,PASS_DIAGNOSTIC_THRESHOLDS
9_2/knot.9_2,9_2,9_2,fseries,"[128, 256, 512, 1024]",0.00019889877734758447,0.00040944871633424694,0.027128839147956718,PASS_DIAGNOSTIC_THRESHOLDS
9_2/knot.9_2n,9_2,9_2n,fseries,"[128, 256, 512, 1024]",0.00019943061072065719,0.00035648023663376445,0.025058427402038674,PASS_DIAGNOSTIC_THRESHOLDS
