knot_id,epsilon_over_rc,centerline_points,resolution_mode,resolution_plan_classification,ray_count,local_minimum_count,rays_with_local_minimum_count,candidate_surface_fraction_all_rays,fully_clock_valid_ray_count,invalid_clock_probe_count,clock_boundary_bracket_count,mean_minimum_rho_over_rc,min_minimum_rho_over_rc,max_minimum_rho_over_rc,backend
3_1,0.00195,32768,adaptive,TARGET_MET_BY_PLAN,128,128,128,1.0,128,0,0,0.0032504502825871466,0.0029518134045282383,0.0034804621766474655,cpp
4_1,0.00195,32768,adaptive,TARGET_MET_BY_PLAN,128,128,128,1.0,128,0,0,0.003247655598942925,0.0029536227961171405,0.0034798653107346303,cpp
5_2,0.00195,32768,adaptive,TARGET_MET_BY_PLAN,128,128,128,1.0,128,0,0,0.0032527164180644373,0.0029625951931210306,0.0034757197465629165,cpp
0_1,0.001975,32768,adaptive,TARGET_MET_BY_PLAN,128,88,88,0.6875,128,0,0,0.0031541984645069338,0.0028588990294485805,0.00332918885300874,cpp
3_1,0.001975,32768,adaptive,TARGET_MET_BY_PLAN,128,85,85,0.6640625,128,0,0,0.003168247612592986,0.002864914075195681,0.0033529333108549427,cpp
4_1,0.001975,32768,adaptive,TARGET_MET_BY_PLAN,128,79,79,0.6171875,128,0,0,0.0031966991760332742,0.0028662382357734165,0.003352201981239243,cpp
5_2,0.001975,32768,adaptive,TARGET_MET_BY_PLAN,128,90,90,0.703125,128,0,0,0.003146296041521531,0.0028330467489950575,0.003347126783126572,cpp
0_1,0.002,32768,adaptive,TARGET_MET_BY_PLAN,128,40,40,0.3125,128,0,0,0.003082232871587892,0.003023739735660503,0.003138602627438038,cpp
3_1,0.002,32768,adaptive,TARGET_MET_BY_PLAN,128,37,37,0.2890625,128,0,0,0.0030759315070022163,0.002856671299592616,0.003174162824699637,cpp
4_1,0.002,32768,adaptive,TARGET_MET_BY_PLAN,128,42,42,0.328125,128,0,0,0.003083220697522534,0.0028842991941235028,0.003173066173681115,cpp
5_2,0.002,32768,adaptive,TARGET_MET_BY_PLAN,128,36,36,0.28125,128,0,0,0.003053082693287602,0.002893439880198908,0.0031654386975820447,cpp
0_1,0.002025,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
3_1,0.002025,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
4_1,0.002025,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
5_2,0.002025,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
0_1,0.00205,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
3_1,0.00205,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
4_1,0.00205,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
5_2,0.00205,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
0_1,0.002075,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
3_1,0.002075,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
4_1,0.002075,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
5_2,0.002075,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
0_1,0.0021,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
3_1,0.0021,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
4_1,0.0021,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
5_2,0.0021,32768,adaptive,TARGET_MET_BY_PLAN,128,0,0,0.0,128,0,0,,,,cpp
