1 0.971961 
2 0.971566 
3 0.969412 
4 0.968057 
5 0.966926 
6 0.965637 
7 0.9643 
8 0.962947 
9 0.96182 
10 0.960625 
11 0.95837 
12 0.957537 
13 0.95694 
14 0.95624 
15 0.955486 
16 0.955162 
17 0.954751 
18 0.954211 
19 0.953774 
20 0.953349 
21 0.953005 
22 0.952624 
23 0.952104 
24 0.951369 
25 0.950482 
26 0.950189 
27 0.949808 
28 0.964371 
29 0.998953 
30 0.998465 
31 0.996879 
32 0.996191 
33 0.994771 
34 0.991894 
35 0.989838 
36 0.988058 
37 0.984627 
38 0.982184 
39 0.979552 
40 0.975109 
41 0.968207 
42 0.964429 
43 0.961158 
44 0.95702 
45 0.952972 
46 0.951769 
47 0.949769 
48 0.94801 
49 0.947374 
50 0.946663 
51 0.945802 
