blind_id,source,topology_class,components,status,component_count,core_radius_norm,thickness_norm,core_clearance_radii,shape_velocity_ratio,normalized_growth,jacobian_convergence,nearest_self_distance,nearest_inter_distance,nearest_relevant_rate,TBK_block_diagonal_growth_penalty,ringdown_max_recurrence,ringdown_core_event,linking_drift_max,rpo_found,floquet_valid,floquet_rho_non,analysis_scope,jacobian_reference_eps,jacobian_convergence_eps_count,jacobian_robustness_eps_count,jacobian_robustness_relative_drift_max,dominant_kmax_boundary_weight,dominant_kelvin_k,kmax_basis_present,reduced_mode_count
B01,knotplot:link_0.2.1,unlink,2,LINEAR_FAIL,2,0.15008882219670028,0.16676535799633363,1.598638074812598,0.10166562499663354,0.24320186896043539,0.005532106721812952,0.26440142843436454,0.9461978320522932,-3.5294743527236415e-13,5.827876813960057e-10,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,2.142430234202433e-10,4,True,62
B02,fremlin:8_13:knot.8_13d,knot,1,LINEAR_FAIL,1,0.005357438990470144,0.005952709989411271,1.1111111111111112,0.9257423971479157,0.7105696665386126,0.4740130630654008,2.29791386172203e-14,inf,-0.34792512729980335,0.09516749267489877,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.3223003697482874,8,True,31
B03,fremlin:15331:knot.15331,knot,1,LINEAR_FAIL,1,0.014210729075549463,0.015789698972832736,1.1111111111111112,0.5121066315047056,0.026077080983259032,0.4626652010014958,7.473417450352271e-17,inf,1.1875002624559747e-13,-0.0006830867148842179,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.09233591512959805,6,True,31
B04,fremlin:6_3:knot.6_3d,knot,1,LINEAR_FAIL,1,0.032787801839956394,0.03643089093328488,1.111111111111111,0.5341419918303457,0.5530987743352739,0.1045795461657202,2.6590654947532074e-14,inf,-0.6657171987721039,0.008357823200074256,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.056765265725364764,4,True,31
B05,fremlin:8_10:knot.8_10s,knot,1,LINEAR_FAIL,1,0.0553646654215568,0.061516294912840885,1.1111111111111112,0.3380132505920874,0.4003164361526276,0.07690883191240347,0.12303258982568177,inf,-1.0380567055966197e-13,-0.01710047049158893,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.12069615095214462,2,True,31
B06,fremlin:5_1:knot.5_1,knot,1,LINEAR_FAIL,1,0.10755109771789399,0.11950121968654888,1.1111111111111112,0.33491211054948683,0.35056711811273206,0.0068003340137662155,0.23900243937309776,inf,0.004534165642823436,6.807103312882764e-13,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.010043188181622453,7,True,31
B07,knotplot:link_7.2.5,link,2,LINEAR_FAIL,2,0.07796969893873607,0.08663299882081785,1.1111287893022648,0.5477637572296472,0.07479749123924274,0.15565136092632856,0.17326880726921762,0.17326875436811975,0.8827324917955612,-0.011277384251856672,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.03999637073192596,3,True,62
B08,fremlin:8_18:knot.8_18z,knot,1,LINEAR_FAIL,1,0.067770897760353,0.07530099751150333,1.1111111111111112,0.2311392972381851,0.24331944765724167,0.014713770857244561,0.15060199502300667,inf,0.17333334073685425,-0.09464619414238425,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.30660313968093483,4,True,31
B09,knotplot:link_0.3.1,unlink,3,LINEAR_FAIL,3,0.16037850575151938,0.17819833972391041,1.6176066359074244,0.252335619162438,0.1766530344022448,0.017459481788920917,0.18326779800741955,1.4208848485569519,3.7579080416905164e-08,0.00022885634353598085,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,1.1927235398358904e-08,3,True,93
B10,knotplot:knot_0.1,unknot,1,LINEAR_FAIL,1,0.8961574441968584,0.9957304935520649,0.6094424131856477,0.00011323751746150301,0.31897162990567807,0.03433415322766934,0.5288385991005274,inf,0.0,-0.014629323629002827,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,2.0538613548269384e-08,2,True,31
