blind_id,source,status,core_clearance_radii,shape_velocity_ratio,normalized_growth,cross_jacobian_fraction,cross_growth_improvement,nearest_pair_cross_rate,direct_cross_restoring_tilt,direct_total_restoring_tilt,control_growth_delta,jacobian_convergence,matched_control_growth_delta,matched_control_count,contact_cross_positive_fraction,contact_cross_median_rate,lobe_pair_positive_fraction,dominant_cross_real_contribution,dominant_cross_real_normalized,c3_sector_peak,c3_block_leakage,counterfactual_growth_difference,TBK_min_family_participation,TBK_jacobian_convergence,torsion_decouple_growth_penalty,kelvin_decouple_growth_penalty,breathing_decouple_growth_penalty,TBK_block_diagonal_growth_penalty,phase_lock_strength,phase_frequency_spread,rpo_best_recurrence,floquet_spectral_radius_excluding_neutral
B01,knotplot_final,FAIL,1.111111111111111,0.3221766268001854,0.797829308934088,0.8162246190355619,-0.5350206526167632,0.025642575940144196,"[0.015732297790010622, 0.004063182525354046, -0.006063001660231919]","[0.015388000644417274, 0.0026691124296625104, -0.006195549849948856]",-0.06150241860280725,0.005651185598981305,-0.06150241860280725,6,0.5833333333333334,0.016942243015108268,0.6666666666666666,0.12425184762146846,0.3811221353838781,0.7698218736656651,0.7788399833822847,0.28020416988551183,0.06427550069631764,0.021828639551983362,-0.11583615709587745,-0.12235713575248836,-0.02691696924272454,-0.12235713575248836,nan,nan,nan,nan
B02,fremlin_fseries,FAIL,1.1111111111111112,0.34295965515589116,0.888025369334153,0.9811847000237784,-0.43194053116675724,0.11699390245726345,"[-0.04691172063705274, 0.004606588362839763, -0.002750885081115683]","[-0.05071496768857609, 0.0041045079668145705, -0.0030466107280482887]",-0.04907691613251419,0.004759173561202305,-0.04907691613251419,6,0.5833333333333334,0.07019651744322518,0.3333333333333333,0.049910435234489535,0.17032356048066155,0.8700241194316245,0.8596646651863977,0.17763459644054858,0.07840437569163296,0.014964900171863242,-0.09013686985534894,-0.15784675971553735,-0.0007407520218235613,-0.15784675971553735,nan,nan,nan,nan
