link_id,n,total_length_D,max_curvature_Dinv,max_length_relative_error,linking_backend,max_linking_integer_error
L2a1,96,12.566370614359172,1.0000000000000002,4.8889152023384294e-08,cpp,0.0007143805818614624
L2a1,192,12.566370614359172,1.0000000000000002,4.8889152023384294e-08,cpp,0.00017851385208111914
L2a1,256,12.566370614359172,1.0000000000000002,4.8889152023384294e-08,cpp,0.000100407376395939
L4a1,96,20.01015713436184,2.836690020296917,5.3883252376694215e-05,cpp,0.004073011976727603
L4a1,192,20.01035344411664,4.3076311572699755,6.96221731520949e-05,cpp,0.0010166003833362858
L4a1,256,19.93418974863456,4.964881302620721,0.004311036693519608,cpp,0.0005717007622951797
L5a1,96,25.051563981163874,2.7696660736998484,0.00014934937133166473,cpp,2.344753376904467e-06
L5a1,192,25.050935653974264,2.7696660736998484,0.00010996128333375324,cpp,5.657989505599646e-07
L5a1,256,24.951956221086192,5.017497766823974,0.006195054926743659,cpp,3.100981703818174e-07
L6a1,96,29.305130141330615,4.467063853234427,0.00013627506775750386,cpp,0.008346692645816223
L6a1,192,29.305929327824703,4.467063853234427,0.00016308253172890396,cpp,0.002080209317124382
L6a1,256,29.09107361037325,5.034640654930548,0.010861449997004485,cpp,0.0011696204924609432
L6a2,96,28.34773290051529,3.4539601123544332,0.00012932070030805876,cpp,0.009714342118911645
L6a2,192,28.347447851696913,5.665165226627,0.00012687907727601034,cpp,0.0024210519504070938
L6a2,256,28.12426296923788,5.665165226626972,0.007824025683724993,cpp,0.0013612845950006225
L6a3,96,27.183442904331173,2.9274296386641225,0.00020139915768612382,cpp,0.010494390267533404
L6a3,192,27.183779739569225,3.412481442019521,0.0002020183187999824,cpp,0.002615179910613996
L6a3,256,27.017607707922544,3.7233462061058016,0.0065466543597567425,cpp,0.0014703431668534606
L6a4,96,29.005100474626424,2.6044198347805927,8.355893927110115e-05,cpp,1.4008572266720108e-08
L6a4,192,29.00521936247975,2.6044198347805927,8.999512290561426e-05,cpp,2.4250176943427224e-09
L6a4,256,29.146559142784568,0.5675861366058571,0.00495312436709361,cpp,1.3528435444872965e-09
L6a5,96,28.909055118644044,4.454905275338282,7.914925752791417e-05,cpp,0.001954806124821129
L6a5,192,28.909069708303736,5.2803913441473815,7.704751703474277e-05,cpp,0.0004879861965803034
L6a5,256,28.766016464875467,5.56088710567644,0.005756118827611058,cpp,0.0002744343360001622
L6n1,96,25.174140844291887,5.682136591034004,6.101534860152448e-05,cpp,0.0010422325325945003
L6n1,192,25.17417790460304,5.682136591034004,4.505639317618964e-05,cpp,0.0002603815983459601
L6n1,256,25.09304667312113,6.014308457831944,0.004439325570392487,cpp,0.00014645164094595486
L7a1,96,33.2685183708568,2.9741766450411657,0.0001585733023803701,cpp,0.0010836762893886363
L7a1,192,33.26796816505053,4.208239319686034,0.00012035911495668198,cpp,0.00026878674534847204
L7a1,256,33.02491570817567,4.208239319686034,0.01052142767016131,cpp,0.00015085497617120918
L7a2,96,33.061660801466594,2.609576913112973,0.0003964318165473011,cpp,0.010542262965608007
L7a2,192,33.06074916692502,3.6794681088250183,0.0003776559911061995,cpp,0.0026258605540472324
L7a2,256,32.88606092739764,4.453682050941168,0.006997812884399664,cpp,0.0014764950731378512
L7a3,96,32.59685065634907,4.092322484715793,0.000624766349724389,cpp,1.0921313226662197e-05
L7a3,192,32.59735702015489,4.092322484715793,0.0006262620990755238,cpp,3.4182535449164685e-06
L7a3,256,32.644497062803964,4.092322484715905,0.002409288784384354,cpp,1.7814818671469405e-06
L7a4,96,33.03845823955406,3.032226614245466,0.0002600963060964527,cpp,0.00027178563677126986
L7a4,192,33.03868156284432,3.032226614245466,0.00029024906323309944,cpp,6.701068718343687e-05
L7a4,256,32.796009170899,3.5164463050732446,0.010272650572885617,cpp,3.76941949802881e-05
L7a5,96,32.52490477116974,4.0152982328098945,0.00020838620371430396,cpp,0.003597300747129939
L7a5,192,32.52491460478071,4.0152982328098945,0.00020926015538955136,cpp,0.000895840566320194
L7a5,256,32.43031504308421,4.693160579069373,0.0037594064169534495,cpp,0.0005036292507585305
L7a6,96,32.12552111260096,2.991186881716959,0.00022632632878782634,cpp,0.003972926613908134
L7a6,192,32.12378584870572,3.626451455615766,0.00015452309798055384,cpp,0.0009880963044728297
L7a6,256,31.87237345040822,4.575676426391792,0.009301347198063852,cpp,0.0005552862596949204
L7a7,96,32.97715151798876,5.913130044082121,0.00018799592848571073,cpp,0.0025516742088775857
L7a7,192,32.97608446625457,5.913130044082121,0.00013575577297488868,cpp,0.0006364720829576953
L7a7,256,32.909602450636115,5.913130044082121,0.004210126430046479,cpp,0.0003578765784877369
L7n1,96,27.76654163397928,3.6882651889941624,0.00016481884316732736,cpp,0.003688509085681524
L7n1,192,27.766958135005545,3.6882651889941624,0.0001810424082287154,cpp,0.0009201800819007566
L7n1,256,27.699044491392375,4.732503316572137,0.0032584999920591824,cpp,0.0005173993298637214
L7n2,96,28.919573488747154,3.0357507449701098,0.00021401012902724117,cpp,0.00012576430185476799
L7n2,192,28.91957260109111,3.0357507449701098,0.00021344947334138315,cpp,3.1561845050193387e-05
L7n2,256,28.758978304153807,4.1769295640768815,0.007617500954396828,cpp,1.7807631001994285e-05
