pair_id,candidate_a,candidate_b,valid,winner_anonymous,median_log_ratio_A_over_B,n_metrics_A_better,n_metrics_B_better,comparison,topology,source_a,source_b,variant_a,variant_b,source_sha256_a,source_sha256_b,winner_source,log_ratio_fseries_over_reference
PAIR_77E0B3399F6E,CAND_838141CB7D5366D5,CAND_3FC09A99B9DE0991,True,TIE,0.0,3,3,fseries_vs_ideal,3_1,ideal,fseries,canonical,canonical,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,f29c73b439fe4d645e67e8577ce0700cb006d393526e8674d251fe5b95583c4d,tie,-0.0
PAIR_A057E9E60271,CAND_8D807F51BE5666BD,CAND_8E45242D47857C71,True,A,-0.22693059360620096,5,1,fseries_vs_ideal,5_1,ideal,fseries,canonical,canonical,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,fe0e3bafc612fd517b5e54083f53e58caa8fc8ad424ea3baae0c0eae02da3638,ideal,0.22693059360620096
PAIR_6F1D612AE906,CAND_FFF85737DC8CDFDD,CAND_FBEB6096D473897E,True,B,0.4410077540528957,0,6,fseries_vs_ideal,7_1,ideal,fseries,canonical,canonical,d915d04d3965cac14083c1703763cf1b2498b0becda3935e07c8d50337a378e3,fecaf3a5cc5cf6b119aed022bf5ca681155db23d179a5393708944e61f907572,fseries,-0.4410077540528957
