setting,t,charge,hooke,power,role,early_E_per_100,late_E_median,late_drift_per_1000,late_span,late_classification,direct_equilibrium,E_i00000,E_i00010,E_i00025,E_i00050,E_i00100,E_i00250,E_i00500,E_i01000,E_i02000,E_i04000,E_i06000,E_i08000,E_i10000,E_i12500,E_i15000,E_i20000,E_i25000,E_i30000,E_i40000,E_i50000,E_i60000
Q01,1.215,42.05861390426932,1.432984180219293,6.215,local_qhp_refinement,-0.0007987599554472031,0.0032217931543874756,2.0444713565757032e-05,0.0006135783688331342,LATE_EXPAND,False,0.0,-0.0005588366943831691,-0.0008306880724799348,-0.0010156334867024164,-0.0009970555150556337,-0.00042608900007012895,0.00035938696077042476,0.0012710243004900867,0.001957460661612398,0.0022256575458196037,0.002297901002893621,0.0023556279201886188,0.002410927544624686,0.002478013886603847,0.0025431635059802726,0.0026684449266179966,0.002788011060658624,0.0029027146098361545,0.003119925029349324,0.003323661279425627,0.0035162929786692887
Q02,1.22,42.16996622486302,1.43476600812143,6.22,local_qhp_refinement,-0.0008343018756231356,0.0029523442013475454,2.0380094669047983e-05,0.0006116374955734694,LATE_EXPAND,False,0.0,-0.0005649180408844878,-0.0008434957925041453,-0.0010371805161446535,-0.0010336484058540707,-0.0005048597507367192,0.00022593147697774763,0.0010721760220124832,0.0017092226305103209,0.0019611975701260276,0.0020320744322230855,0.002089450553729555,0.002144484490370968,0.0022112732433712257,0.0022761408051943377,0.0024009165124485587,0.0025200265022281565,0.0026343189884394658,0.0028507957112553495,0.0030538926914397413,0.003245956484012935
Q03,1.225,42.28131854545672,1.436547836023567,6.225,local_qhp_refinement,-0.0008698592768112447,0.0026828100390617893,2.0315820412043478e-05,0.0006097072062137832,LATE_EXPAND,False,0.0,-0.0005710014687297371,-0.000856304120274598,-0.0010587243412833458,-0.00107025864322019,-0.0005837367813404937,9.231062724746053e-05,0.0008731369614719542,0.001460828997675967,0.0016966253173094081,0.0017661407262741236,0.0018231680204093825,0.001877940767298969,0.0019444310969217726,0.0020090244318221595,0.002133293677043513,0.002251951362841842,0.002365831869563295,0.0025815798277802893,0.0027840402503432893,0.0029755390757770783
Q04,1.23,42.39267086605042,1.4383296639257042,6.23,local_qhp_refinement,-0.0009054363636585403,0.0024131928087035015,2.0251762894668543e-05,0.0006077829992556794,LATE_EXPAND,False,0.0,-0.0005770875266232767,-0.0008691088502406075,-0.001080261309657382,-0.001106890672977534,-0.0006627182829359035,-4.1468483220619134e-05,0.0006739097806737204,0.001212278394523647,0.0014319389361514556,0.001500104395952273,0.0015567861224496937,0.0016112992443418905,0.0016774907176877463,0.001741808376789833,0.0018655779191202315,0.0019837875625409174,0.002097257463955171,0.002312279162853592,0.002514106454553411,0.0027050404632108505
Q05,1.235,42.50402318664412,1.440111491827841,6.235,local_qhp_refinement,-0.0009410268429770415,0.002143495119743294,2.0187999259191897e-05,0.000605867543231442,LATE_EXPAND,False,0.0,-0.0005831775360822244,-0.0008819128609519056,-0.0011017897899567308,-0.00114353957330382,-0.0007418051182518925,-0.00017540717870268008,0.00047449670981819514,0.0009635769390212157,0.0011671431006408106,0.0012339675836680053,0.0012903065405176495,0.0013445617360037243,0.0014104598550225278,0.0014745025927514477,0.0015977738717307677,0.0017155372608911867,0.0018285987807819537,0.0020428964716308617,0.002244093767855726,0.0024344663240133957
Q06,1.24,42.61537550723782,1.4418933197299781,6.24,local_qhp_refinement,-0.000976634304098155,0.0018737220099642182,2.0124583735209284e-05,0.0006039629071105113,LATE_EXPAND,False,0.0,-0.000589271295987015,-0.0008947142619764592,-0.00112331322833914,-0.0011802078217209577,-0.0008209926739965456,-0.00030950177719740735,0.0002749016630030354,0.0007147258491594921,0.000902243584469109,0.0009677351065225936,0.0010237329404228501,0.0010777308121861506,0.0011433360366800427,0.0012071073038653624,0.0013298835107200535,0.0014472006909690416,0.0015598589271836327,0.0017734371838695195,0.001974006836058917,0.002163821834294144
Q07,1.245,42.726727827831525,1.4436751476321152,6.245,local_qhp_refinement,-0.0010122573295776598,0.0016038745870540216,2.006134182564177e-05,0.0006020633362095462,LATE_EXPAND,False,0.0,-0.0005953657578668947,-0.0009075144311551653,-0.0011448313827899792,-0.0012168929886833824,-0.0009002794964584337,-0.00044375091176745984,7.512946974441714e-05,0.0004657297850225728,0.0006372424941389343,0.0007014078949280633,0.0007570682555863018,0.0008108110974951455,0.000876126320355719,0.0009396281027136966,0.0010619100064537257,0.0011787856282453602,0.0012910411277150535,0.0015039025000862516,0.0017038466740217917,0.0018931044639245997
Q08,1.25,42.83808014842522,1.4454569755342521,6.25,v0.2.0_R05_reproducibility_anchor,-0.001047897293849487,0.0013339570064234973,1.9998506622628246e-05,0.0006001760323369187,LATE_EXPAND,False,0.0,-0.0006014626453005323,-0.0009203121451599183,-0.0011663401318284805,-0.0012535978222041333,-0.000979665597416246,-0.0005781496901018368,-0.00012481625562804632,0.00021659264777557086,0.0003721419605364762,0.000434988788783619,0.0004903157887179987,0.000543807430876897,0.0006088334267685958,0.0006720636663846702,0.0007938576995454305,0.0009102939226827145,0.001022147429035003,0.0012342957237974628,0.001433618289049532,0.0016223234613719217
Q09,1.255,42.94943246901892,1.447238803436389,6.255,local_qhp_refinement,-0.001083551314298763,0.0010639724426420583,1.993584677372816e-05,0.0005982950054023717,LATE_EXPAND,False,0.0,-0.0006075654407705633,-0.0009331056503906754,-0.0011878446171975088,-0.001290319500542647,-0.00105915128843026,-0.0007126982313845898,-0.000324938216682058,-3.268453447746733e-05,0.0001069473801159071,0.0001684844444449496,0.000223477250305526,0.0002767192761458648,0.00034145850995803695,0.0004044220189858283,0.0005257306955753216,0.0006417275104437792,0.0007531815850726487,0.0009646226120592072,0.0011633222732249093,0.0013514765904750203
Q10,1.26,43.060784789612626,1.449020631338526,6.26,local_qhp_refinement,-0.001119222545205288,0.0007939230185149693,1.9873476857226175e-05,0.0005964209065340564,LATE_EXPAND,False,0.0,-0.000613669775637038,-0.00094589673058465,-0.001209338482488831,-0.0013270609971580694,-0.001138732505667428,-0.0008473935334980531,-0.0005252285567612924,-0.00028209684995061934,-0.00015834414947712983,-9.810517184222212e-05,-4.3440288230112145e-05,9.5514087965487e-06,7.40047081879136e-05,0.00013670566106288584,0.0002575272342027479,0.00037308971761484955,0.00048414691946896404,0.0006948805354547449,0.0008929655015751936,0.0010805678260030205
