setting,t,charge,hooke,power,role,early_E_per_100,late_E_median,late_drift_per_1000,late_span,late_classification,direct_equilibrium,E_i00000,E_i00010,E_i00025,E_i00050,E_i00100,E_i00250,E_i00500,E_i01000,E_i02000,E_i04000,E_i06000,E_i08000,E_i10000,E_i12500,E_i15000,E_i20000,E_i25000,E_i30000,E_i40000,E_i50000,E_i60000
Q11,1.265,43.17213711020632,1.4508024592406632,6.265,local_qhp_refinement,-0.0011549091134027756,0.0005238117237529316,1.9811390682514806e-05,0.0005945567797795981,LATE_EXPAND,False,0.0,-0.0006197740712868827,-0.000958685561088024,-0.0012308264048725426,-0.001363818806818351,-0.0012184099969866913,-0.0009822321905733622,-0.000725683294236279,-0.000531641646018044,-0.00042372264849621644,-0.00036477507250237684,-0.0003104380533029416,-0.00025769323504493125,-0.00019352149515688977,-0.00013108515583054592,-1.074496209951814e-05,0.00010438487641012406,0.0002150454873645069,0.0004250773592965884,0.0006225460882092748,0.000809602267144105
Q12,1.27,43.28348943080003,1.4525842871428,6.27,local_qhp_refinement,-0.00119061049016215,0.0002536421092750041,1.9749548260514225e-05,0.0005926988126810917,LATE_NEAR_ZERO,True,0.0,-0.0006258822419608623,-0.0009714683150046088,-0.001252308360927823,-0.0014005933475124133,-0.0012981785127991752,-0.0011172135012270656,-0.0009263042309087255,-0.0007813166099852609,-0.000689187028143079,-0.0006315249501995801,-0.0005775104987711388,-0.0005250118018720884,-0.00046112286085386867,-0.0003989464729602932,-0.00027908426937178765,-0.00016438685930947328,-5.411714291114755e-05,0.00015521291527093029,0.0003520713032790779,0.0005385816697699441
Q13,1.275,43.39484175139373,1.4543661150449372,6.275,local_qhp_refinement,-0.001226325386233761,-1.6582527532449376e-05,1.968789861152176e-05,0.0005908467066570444,LATE_NEAR_ZERO,True,0.0,-0.0006319918413988934,-0.0009842506334065693,-0.001273778627271016,-0.0014373845207276137,-0.0013780397959011759,-0.0012523363854928804,-0.0011270841132081655,-0.0010311149340634373,-0.000954735375829463,-0.000898347273420308,-0.0008446563421706244,-0.0007924015251401517,-0.0007287900983262707,-0.0006668745626933759,-0.0005474885261015916,-0.0004332188383843194,-0.0003233417108594594,-0.0001147073981229707,8.154234305807195e-05,0.000267504995797585
Q14,1.28,43.50619407198743,1.4561479429470743,6.28,local_qhp_refinement,-0.0012620602784045006,-0.00028686272062455886,1.9626615802050826e-05,0.0005890068111388258,LATE_NEAR_ZERO,True,0.0,-0.0006381029361238744,-0.0009970270312202323,-0.0012952423735755336,-0.0014741968024716279,-0.0014579931589137618,-0.0013875942240618722,-0.0013280242359911543,-0.0012810386509475857,-0.001220365277184332,-0.001165243418517814,-0.0011118713840357342,-0.0010598590323282475,-0.0009965259822299344,-0.0009348718274432843,-0.000815956978764576,-0.0007021125941022999,-0.0005926239470368522,-0.0003846832940188616,-0.00018904214723025614,-3.617135898026369e-06
Q15,1.285,43.61754639258113,1.4579297708492112,6.285,local_qhp_refinement,-0.001297805963582308,-0.0005571924668062445,1.956557827076489e-05,0.0005871739280663979,LATE_CONTRACT,False,0.0,-0.0006442173680086261,-0.00100980209406204,-0.0013166988529458301,-0.0015110226897338541,-0.0015380348830819623,-0.0015229870321660788,-0.0015291155933494505,-0.0015310828148822342,-0.0014860716310728939,-0.0014322087575053821,-0.0013791533107502252,-0.0013273808381004115,-0.0012643239280548113,-0.0012029256462235405,-0.0010844827165241155,-0.0009710624378789778,-0.0008619609306648179,-0.0006547104882448918,-0.00045967444536759716,-0.00027478700259842004
Q16,1.29,43.72889871317483,1.4597115987513483,6.29,local_qhp_refinement,-0.0013335671823596425,-0.0008275678240821649,1.950485618053999e-05,0.0005853498997651085,LATE_CONTRACT,False,0.0,-0.0006503305612418075,-0.0010225699909726105,-0.0013381472865485744,-0.0015478640722954573,-0.001618166277699895,-0.0016585144072398528,-0.0017303625872598927,-0.0017812435206878696,-0.0017518530018869605,-0.0016992395570561425,-0.0016464999735956165,-0.0015949653904861472,-0.001532182618965594,-0.0014710400842272708,-0.0013530635709596006,-0.0012400666010822792,-0.0011313504336372682,-0.0009247857834615014,-0.0007303498647028284,-0.0005460005338721596
Q17,1.295,43.84025103376853,1.4614934266534851,6.295,local_qhp_refinement,-0.0013693418794552621,-0.0010979882460411816,1.944421529497754e-05,0.0005835285674645196,LATE_CONTRACT,False,0.0,-0.0006564477875089514,-0.0010353348014880415,-0.0013595846334621964,-0.0015847225326164338,-0.001698382661269704,-0.001794172772611291,-0.0019317571642120668,-0.002031516444200576,-0.002017703287970185,-0.001966335569060007,-0.001913907677960014,-0.0018626092074255918,-0.0018000991738666428,-0.0017392081830218675,-0.0016216979413616883,-0.0015091195579458594,-0.0014007852416029754,-0.0011949061595932786,-0.0010010703324890846,-0.0008172566741384557
Q18,1.3,43.951603354362234,1.4632752545556222,6.3,local_qhp_refinement,-0.001405133281177674,-0.0013684506336017477,1.938404806197725e-05,0.0005817213096800944,LATE_CONTRACT,False,0.0,-0.0006625674487619193,-0.0010480947162909704,-0.0013810166570156213,-0.001621599119206285,-0.0017786840261321268,-0.0019299581526967535,-0.002133297629123232,-0.002281902552728976,-0.0022836245759378926,-0.002233491605538429,-0.0021813734415769837,-0.0021303095239724734,-0.0020680690458022566,-0.0020074329633017474,-0.0018903844945096782,-0.0017782221273595633,-0.0016702711556015326,-0.0014650710721804683,-0.001271830195023027,-0.0010885498459214382
Q19,1.31,44.17430799554964,1.4668389103598962,6.3100000000000005,local_qhp_refinement,-0.0014767560722034518,-0.0019094912504740436,1.9264333909972982e-05,0.0005781262068523252,LATE_CONTRACT,False,0.0,-0.0006748071138870104,-0.0010736015403509103,-0.0014238472775736644,-0.0016953973548775036,-0.0019395403011698842,-0.002201905872345089,-0.002536807359325155,-0.0027829931863515567,-0.0028156617667519646,-0.0027679749747671067,-0.0027164670537003777,-0.0026658703286427943,-0.0026041642406480214,-0.0025440272479147485,-0.0024278960706698993,-0.002316560268673662,-0.002209366726688755,-0.0020055186356942034,-0.0018134638652538837,-0.00163124051983643
Q20,1.32,44.39701263673704,1.4704025661641702,6.32,local_qhp_refinement,-0.0015484369911957757,-0.0024506683654154926,1.9145680085675977e-05,0.0005745622949380746,LATE_CONTRACT,False,0.0,-0.0006870510323112589,-0.0010990853108712173,-0.0014666463981019562,-0.0017692583883464064,-0.002100718326233153,-0.0024743454896891115,-0.0029408709534129995,-0.003284492629542224,-0.003347937839209836,-0.0033026695889464275,-0.003251762726715013,-0.0032016230313430816,-0.0031404474705731267,-0.003080802959418538,-0.002965578130503854,-0.002855061811729398,-0.002748618012861248,-0.002546108927292179,-0.0023552278035388063,-0.0021740557179231734
