mode,sigma_s^-1,omega_rad_s,abs_omega_rad_s,circularity,omega_times_C_s^-1
58,7.606952148511718e+18,-0.0,0.0,0.0,-0.0
61,-7.606952148511732e+18,-0.0,0.0,0.0,-0.0
23,-8.876111648767741e+19,-0.0,0.0,0.0,-0.0
18,8.876111648767748e+19,-0.0,0.0,0.0,-0.0
30,5.615173482348549e+19,-8.576103254972241e+17,8.576103254972241e+17,-0.013548986368501149,1.1619750609647722e+16
31,5.615173482348549e+19,8.576103254972241e+17,8.576103254972241e+17,0.013548986368501149,1.1619750609647722e+16
36,-5.615173482348555e+19,-8.576103254972311e+17,8.576103254972311e+17,-0.01354898636850112,1.1619750609647792e+16
37,-5.615173482348555e+19,8.576103254972311e+17,8.576103254972311e+17,0.01354898636850112,1.1619750609647792e+16
40,2.6958141440579117e+19,-1.647638766335461e+18,1.647638766335461e+18,0.014531548913265836,-2.3942743324396732e+16
41,2.6958141440579117e+19,1.647638766335461e+18,1.647638766335461e+18,-0.014531548913265836,-2.3942743324396732e+16
50,-2.6958141440579133e+19,-1.647638766335472e+18,1.647638766335472e+18,0.014531548913265524,-2.394274332439638e+16
51,-2.6958141440579133e+19,1.647638766335472e+18,1.647638766335472e+18,-0.014531548913265524,-2.394274332439638e+16
24,-7.99496217319608e+19,-3.3251808456078607e+18,3.3251808456078607e+18,0.01858507004934186,-6.179871894235189e+16
25,-7.99496217319608e+19,3.3251808456078607e+18,3.3251808456078607e+18,-0.01858507004934186,-6.179871894235189e+16
21,7.994962173196111e+19,-3.325180845607872e+18,3.325180845607872e+18,0.018585070049341346,-6.179871894235039e+16
22,7.994962173196111e+19,3.325180845607872e+18,3.325180845607872e+18,-0.018585070049341346,-6.179871894235039e+16
42,2.609305995680246e+19,-6.961746875865462e+18,6.961746875865462e+18,0.058259872720248934,-4.0559048689851245e+17
43,2.609305995680246e+19,6.961746875865462e+18,6.961746875865462e+18,-0.058259872720248934,-4.0559048689851245e+17
48,-2.6093059956802437e+19,-6.961746875865478e+18,6.961746875865478e+18,0.058259872720249725,-4.055904868985189e+17
49,-2.6093059956802437e+19,6.961746875865478e+18,6.961746875865478e+18,-0.058259872720249725,-4.055904868985189e+17
59,-6912.0,-7.189855991631319e+18,7.189855991631319e+18,-0.7050603338344447,5.06928226568116e+18
60,-6912.0,7.189855991631319e+18,7.189855991631319e+18,0.7050603338344447,5.06928226568116e+18
46,-2.8255648347755147e+19,-1.5397252165755232e+19,1.5397252165755232e+19,-0.05121126326446528,7.885127342098495e+17
47,-2.8255648347755147e+19,1.5397252165755232e+19,1.5397252165755232e+19,0.05121126326446528,7.885127342098495e+17
38,2.8255648347755143e+19,-1.5397252165755296e+19,1.5397252165755296e+19,-0.05121126326446537,7.885127342098541e+17
39,2.8255648347755143e+19,1.5397252165755296e+19,1.5397252165755296e+19,0.05121126326446537,7.885127342098541e+17
62,-1840.789105951786,-2.006941004457341e+19,2.006941004457341e+19,-0.6308239130195955,1.2660263776312572e+19
63,-1840.789105951786,2.006941004457341e+19,2.006941004457341e+19,0.6308239130195955,1.2660263776312572e+19
54,-8.549284116575166e+18,-2.5460216884118127e+19,2.5460216884118127e+19,0.06416471340111243,-1.6336475194996035e+18
55,-8.549284116575166e+18,2.5460216884118127e+19,2.5460216884118127e+19,-0.06416471340111243,-1.6336475194996035e+18
52,8.549284116575146e+18,-2.5460216884118176e+19,2.5460216884118176e+19,0.06416471340111563,-1.633647519499688e+18
53,8.549284116575146e+18,2.5460216884118176e+19,2.5460216884118176e+19,-0.06416471340111563,-1.633647519499688e+18
56,9984.0,-2.7156150625615655e+19,2.7156150625615655e+19,-0.7854443487394887,2.1329645042408145e+19
57,9984.0,2.7156150625615655e+19,2.7156150625615655e+19,0.7854443487394887,2.1329645042408145e+19
44,4032.0,-3.5982640034259497e+19,3.5982640034259497e+19,0.487160432205354,-1.752931847097953e+19
45,4032.0,3.5982640034259497e+19,3.5982640034259497e+19,-0.487160432205354,-1.752931847097953e+19
34,-10240.0,-6.180882543267124e+19,6.180882543267124e+19,-0.9114234822961103,5.63340149124776e+19
35,-10240.0,6.180882543267124e+19,6.180882543267124e+19,0.9114234822961103,5.63340149124776e+19
32,36864.0,-6.632620989319973e+19,6.632620989319973e+19,-0.5417563053922931,3.5932642422413648e+19
33,36864.0,6.632620989319973e+19,6.632620989319973e+19,0.5417563053922931,3.5932642422413648e+19
28,-3072.0,-7.813675768567405e+19,7.813675768567405e+19,-0.9289241865454465,7.258312407246343e+19
