a,b,raw_indexed_normalized_rms,shape_arclength_phase_normalized_rms,best_phase_shift,orientation_reversed,family,category
mechforce__off,mechforce__on,0.10894949498323458,0.09527374003395406,0,False,mechforce,core_force
elecforce__off,elecforce__on,0.11001192602070684,0.11361508613066834,0,False,elecforce,core_force
bendforce__off,bendforce__on,9.298997472642308e-06,9.282959281165352e-06,0,False,bendforce,core_force
charge__15,charge__30,0.04039141025986755,0.0417298032068064,0,False,charge,core_force
charge__15,charge__3p75,0.07332853905799633,0.07494854407452069,0,False,charge,core_force
charge__15,charge__60,0.07350679276731575,0.07532752453759015,0,False,charge,core_force
charge__15,charge__7p5,0.04443599238119263,0.045044013166296915,0,False,charge,core_force
charge__30,charge__3p75,0.11086241356699758,0.11105259595534508,0,False,charge,core_force
charge__30,charge__60,0.03862184996906012,0.038979447056816975,0,False,charge,core_force
charge__30,charge__7p5,0.08247342226443839,0.08249659794171679,0,False,charge,core_force
charge__3p75,charge__60,0.1414024478322577,0.14139352885643888,0,False,charge,core_force
charge__3p75,charge__7p5,0.028982519224892377,0.03002560423056205,0,False,charge,core_force
charge__60,charge__7p5,0.11374924115232092,0.1140049700252918,0,False,charge,core_force
hooke__0p25,hooke__0p5,0.014576730997035933,0.014596327808919715,0,False,hooke,core_force
hooke__0p25,hooke__1,0.031001341132338416,0.031129220318793626,0,False,hooke,core_force
hooke__0p25,hooke__2,0.06665635133746692,0.06632636442654383,0,False,hooke,core_force
hooke__0p25,hooke__4,0.13497759871015025,0.13495588585658264,0,False,hooke,core_force
hooke__0p5,hooke__1,0.0208643015942079,0.022435382920198286,0,False,hooke,core_force
hooke__0p5,hooke__2,0.06513138221280808,0.06490031202588557,0,False,hooke,core_force
hooke__0p5,hooke__4,0.13583524854281373,0.13562707352731887,0,False,hooke,core_force
hooke__1,hooke__2,0.0521308978435135,0.052626746985878284,0,False,hooke,core_force
hooke__1,hooke__4,0.12451655778861442,0.12544138670425156,0,False,hooke,core_force
hooke__2,hooke__4,0.0727497724958503,0.07312828427984637,0,False,hooke,core_force
power__3,power__4,0.22685612977130384,0.227744107208295,0,False,power,core_force
power__3,power__5,0.2993955529612476,0.2991229611997348,0,False,power,core_force
power__3,power__6,0.3500734514715126,0.3504588928605396,0,False,power,core_force
power__3,power__7,0.37685312954045486,0.3780722277965835,0,False,power,core_force
power__4,power__5,0.07843050112266922,0.0789982566007409,0,False,power,core_force
power__4,power__6,0.12906278330397725,0.1291421310261893,0,False,power,core_force
power__4,power__7,0.15631824393850002,0.15674361543093443,0,False,power,core_force
power__5,power__6,0.05220190296642032,0.052981682772867904,0,False,power,core_force
power__5,power__7,0.07988504092655217,0.08167364420076839,0,False,power,core_force
power__6,power__7,0.027781143175728662,0.028823024856626724,0,False,power,core_force
tinc__15,tinc__30,0.010291099967928177,0.010142115705493943,0,False,tinc,numerical
tinc__15,tinc__3p75,0.01846162243284614,0.018523915040348508,0,False,tinc,numerical
tinc__15,tinc__60,0.015503009732478566,0.015466335986032814,0,False,tinc,numerical
tinc__15,tinc__7p5,0.010644242124265419,0.01063448090464714,0,False,tinc,numerical
tinc__30,tinc__3p75,0.028639493611055337,0.02856281457936235,0,False,tinc,numerical
tinc__30,tinc__60,0.010344581843304846,0.00981383019384091,0,False,tinc,numerical
tinc__30,tinc__7p5,0.02088838234652767,0.02072775060033994,0,False,tinc,numerical
tinc__3p75,tinc__60,0.03177806482691385,0.03172579847163999,0,False,tinc,numerical
tinc__3p75,tinc__7p5,0.007881214252344835,0.007941541263392747,0,False,tinc,numerical
tinc__60,tinc__7p5,0.024526885345927004,0.024487647011570527,0,False,tinc,numerical
bencon__0p25,bencon__0p5,2.291031079005214e-06,2.2876321172090734e-06,0,False,bencon,core_force
bencon__0p25,bencon__1,7.0304154889762715e-06,7.018289838103677e-06,0,False,bencon,core_force
bencon__0p25,bencon__2,1.6720969632394493e-05,1.6691827544357117e-05,0,False,bencon,core_force
bencon__0p25,bencon__4,3.783431524087839e-05,3.776733022958096e-05,0,False,bencon,core_force
bencon__0p5,bencon__1,4.742522087600926e-06,4.733765503415252e-06,0,False,bencon,core_force
bencon__0p5,bencon__2,1.4431180350894391e-05,1.4405417959169983e-05,0,False,bencon,core_force
bencon__0p5,bencon__4,3.554481820178716e-05,3.5481207496125406e-05,0,False,bencon,core_force
bencon__1,bencon__2,9.698276985271292e-06,9.681174303546156e-06,0,False,bencon,core_force
bencon__1,bencon__4,3.080745562975591e-05,3.075255627738551e-05,0,False,bencon,core_force
bencon__2,bencon__4,2.113154210634138e-05,2.1093594738888173e-05,0,False,bencon,core_force
bangle__10,bangle__20,4.936925562163551e-16,1.7644377034475494e-16,0,False,bangle,core_force
bangle__10,bangle__30,4.936925562163551e-16,1.7644377034475494e-16,0,False,bangle,core_force
bangle__10,bangle__45,4.936925562163551e-16,1.7644377034475494e-16,0,False,bangle,core_force
bangle__10,bangle__60,4.936925562163551e-16,1.7644377034475494e-16,0,False,bangle,core_force
bangle__20,bangle__30,4.936925562163551e-16,1.7644377034475494e-16,0,False,bangle,core_force
bangle__20,bangle__45,4.936925562163551e-16,1.7644377034475494e-16,0,False,bangle,core_force
bangle__20,bangle__60,4.936925562163551e-16,1.7644377034475494e-16,0,False,bangle,core_force
bangle__30,bangle__45,4.936925562163551e-16,1.7644377034475494e-16,0,False,bangle,core_force
bangle__30,bangle__60,4.936925562163551e-16,1.7644377034475494e-16,0,False,bangle,core_force
bangle__45,bangle__60,4.936925562163551e-16,1.7644377034475494e-16,0,False,bangle,core_force
close__0p03,close__0p06,3.45118006623091e-16,5.322897078519917e-16,0,False,close,numerical
close__0p03,close__0p12,3.45118006623091e-16,5.322897078519917e-16,0,False,close,numerical
close__0p03,close__0p24,3.45118006623091e-16,5.322897078519917e-16,0,False,close,numerical
close__0p03,close__0p48,3.45118006623091e-16,5.322897078519917e-16,0,False,close,numerical
close__0p06,close__0p12,3.45118006623091e-16,5.322897078519917e-16,0,False,close,numerical
close__0p06,close__0p24,3.45118006623091e-16,5.322897078519917e-16,0,False,close,numerical
close__0p06,close__0p48,3.45118006623091e-16,5.322897078519917e-16,0,False,close,numerical
close__0p12,close__0p24,3.45118006623091e-16,5.322897078519917e-16,0,False,close,numerical
close__0p12,close__0p48,3.45118006623091e-16,5.322897078519917e-16,0,False,close,numerical
close__0p24,close__0p48,3.45118006623091e-16,5.322897078519917e-16,0,False,close,numerical
max-dr__0p025,max-dr__0p05,3.45118006623091e-16,5.322897078519917e-16,0,False,max-dr,numerical
max-dr__0p025,max-dr__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,max-dr,numerical
max-dr__0p025,max-dr__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,max-dr,numerical
max-dr__0p025,max-dr__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,max-dr,numerical
max-dr__0p05,max-dr__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,max-dr,numerical
max-dr__0p05,max-dr__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,max-dr,numerical
max-dr__0p05,max-dr__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,max-dr,numerical
max-dr__0p1,max-dr__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,max-dr,numerical
max-dr__0p1,max-dr__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,max-dr,numerical
max-dr__0p2,max-dr__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,max-dr,numerical
dstep__1,dstep__2,3.45118006623091e-16,5.322897078519917e-16,0,False,dstep,numerical
dstep__1,dstep__4,3.45118006623091e-16,5.322897078519917e-16,0,False,dstep,numerical
dstep__1,dstep__8,3.45118006623091e-16,5.322897078519917e-16,0,False,dstep,numerical
dstep__2,dstep__4,3.45118006623091e-16,5.322897078519917e-16,0,False,dstep,numerical
dstep__2,dstep__8,3.45118006623091e-16,5.322897078519917e-16,0,False,dstep,numerical
dstep__4,dstep__8,3.45118006623091e-16,5.322897078519917e-16,0,False,dstep,numerical
thermalforce__off,thermalforce__on,0.003432806688327868,0.0034338392774515758,0,False,thermalforce,secondary_force
thfstrength__0p0025,thfstrength__0p005,0.0017685871558492843,0.0017439692595688878,0,False,thfstrength,secondary_force
thfstrength__0p0025,thfstrength__0p01,0.0035164591497530984,0.003643127320462146,0,False,thfstrength,secondary_force
thfstrength__0p0025,thfstrength__0p02,0.007073957823284398,0.007358827789405161,0,False,thfstrength,secondary_force
thfstrength__0p0025,thfstrength__0p04,0.011113696547157664,0.011233141041067308,0,False,thfstrength,secondary_force
thfstrength__0p005,thfstrength__0p01,0.004016164788526043,0.004128742271064203,0,False,thfstrength,secondary_force
thfstrength__0p005,thfstrength__0p02,0.0072271275332093056,0.007515195282542412,0,False,thfstrength,secondary_force
thfstrength__0p005,thfstrength__0p04,0.010970278954697188,0.011106248809600613,0,False,thfstrength,secondary_force
thfstrength__0p01,thfstrength__0p02,0.007841694007738058,0.007976294763035973,0,False,thfstrength,secondary_force
thfstrength__0p01,thfstrength__0p04,0.01138282429821636,0.011703297565503422,0,False,thfstrength,secondary_force
thfstrength__0p02,thfstrength__0p04,0.012856568677248393,0.01327186051891933,0,False,thfstrength,secondary_force
amechforce__off,amechforce__on,0.012015330808181204,0.012590358983467121,0,False,amechforce,secondary_force
aelecforce__off,aelecforce__on,3.45118006623091e-16,5.322897078519917e-16,0,False,aelecforce,secondary_force
amfpower__1,amfpower__1p5,0.014091936532070196,0.013923986776408253,0,False,amfpower,secondary_force
amfpower__1,amfpower__2,0.020574467253625623,0.02032939212049516,0,False,amfpower,secondary_force
amfpower__1,amfpower__3,0.024246336340981306,0.024666817634627167,0,False,amfpower,secondary_force
amfpower__1,amfpower__4,0.025561382277105575,0.026010399916287643,0,False,amfpower,secondary_force
amfpower__1p5,amfpower__2,0.007385579167951918,0.008095875603178829,0,False,amfpower,secondary_force
amfpower__1p5,amfpower__3,0.013695186979493254,0.015405363715152531,0,False,amfpower,secondary_force
amfpower__1p5,amfpower__4,0.016107867636749162,0.01766499649469482,0,False,amfpower,secondary_force
amfpower__2,amfpower__3,0.007769149413617493,0.008563013490859028,0,False,amfpower,secondary_force
amfpower__2,amfpower__4,0.010683420515674565,0.011340787448447149,0,False,amfpower,secondary_force
amfpower__3,amfpower__4,0.003096062213642531,0.003099347277731559,0,False,amfpower,secondary_force
aelmag__0p025,aelmag__0p05,3.45118006623091e-16,5.322897078519917e-16,0,False,aelmag,secondary_force
aelmag__0p025,aelmag__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,aelmag,secondary_force
aelmag__0p025,aelmag__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,aelmag,secondary_force
aelmag__0p025,aelmag__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,aelmag,secondary_force
aelmag__0p05,aelmag__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,aelmag,secondary_force
aelmag__0p05,aelmag__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,aelmag,secondary_force
aelmag__0p05,aelmag__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,aelmag,secondary_force
aelmag__0p1,aelmag__0p2,3.45118006623091e-16,5.322897078519917e-16,0,False,aelmag,secondary_force
aelmag__0p1,aelmag__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,aelmag,secondary_force
aelmag__0p2,aelmag__0p4,3.45118006623091e-16,5.322897078519917e-16,0,False,aelmag,secondary_force
extforce__off,extforce__on,3.45118006623091e-16,5.322897078519917e-16,0,False,extforce,secondary_force
velforce__off,velforce__on,3.45118006623091e-16,5.322897078519917e-16,0,False,velforce,secondary_force
velmag__0p025,velmag__0p05,3.45118006623091e-16,5.322897078519917e-16,0,False,velmag,secondary_force
velmag__0p025,velmag__0p1,3.45118006623091e-16,5.322897078519917e-16,0,False,velmag,secondary_force
