mode,n_points,q_core,omega_core,omega2_core,growth_core,max_growth_core,frequency_source,linearization_eps_rel_error,gram_condition,track_omega_core,track_growth_core,phase_r2,n_steps,dt_core,t_final_core,omega_rad_s,frequency_hz,linear_eigenvalues,linear_eigenvalues_half_eps,linear_matrix,blind_id
2,192,0.15662356643876352,0.18228281653882583,0.033227025205327235,-8.153151250021168e-05,4.009272231162743e-05,projected_linear_operator,8.055116242900134e-06,1.0000000000000002,0.7914050450101544,0.06575318364816671,0.6740672216761943,16,0.003125,0.05,1.4151418286952543e+20,2.252268172129539e+19,"[[-8.153151250021168e-05, 0.18228281653882583], [-8.153151250021168e-05, -0.18228281653882583], [4.009272231162743e-05, 0.13865171774262017], [4.009272231162743e-05, -0.13865171774262017]]","[[-8.153014039970902e-05, 0.18228134822954953], [-8.153014039970902e-05, -0.18228134822954953], [4.00204507439942e-05, 0.13865081060673343], [4.00204507439942e-05, -0.13865081060673343]]","[[0.0240925097595792, -0.01634089408039034, -0.16278126535122386, 0.014773255933162019], [0.021692495623159162, -0.017381083738396082, 0.016300613509277556, -0.16517210711838043], [0.1545921719088312, 0.01460069399155857, -0.024176048220495055, -0.02063783414678567], [0.016388256341321364, 0.169173504318864, 0.01715656667000517, 0.01738174461893474]]",B02CE9C98EAE4064A
3,192,0.23493534965814528,0.04750172740051897,0.0022564141060332147,0.00011289504776801004,0.007247906406620885,projected_linear_operator,2.1597674645907336e-05,1.0000000000000004,0.6855345249072873,0.1758880597928592,0.5215351352173363,16,0.003125,0.05,3.6877684170211303e+19,5.86926572547087e+18,"[[-0.006904554362958525, 0.0], [0.007247906406620885, 0.0], [0.00011289504776801004, 0.04750172740051897], [0.00011289504776801004, -0.04750172740051897]]","[[-0.006900110530651878, 0.0], [0.007243523010927004, 0.0], [0.00011286749259372102, 0.0475027533495306], [0.00011286749259372102, -0.0475027533495306]]","[[-0.03076540089382913, -0.0022154397683481985, 0.04682354007313158, 0.017207545528787196], [0.00011213883203970554, 0.01771484059748349, 0.01445121660064864, 0.047237208243350697], [-0.03369713949947691, 0.01768039806950415, 0.0313363760210435, -0.005461774768611863], [0.014631931428665505, -0.05130217568422006, -0.00178886677335657, -0.017716673585499523]]",B02CE9C98EAE4064A
4,192,0.31324713287752703,0.16301556430926165,0.02657407420706702,1.883913550590477e-06,0.00037930846859411844,projected_linear_operator,8.314547107357221e-06,1.0000000000000002,1.685865862831922,4.089323102064906,0.6559186570253646,16,0.003125,0.05,1.2655616594187356e+20,2.014203938840735e+19,"[[1.883913550590477e-06, 0.16301556430926165], [1.883913550590477e-06, -0.16301556430926165], [0.00037930846859411844, 0.08322764805808348], [0.00037930846859411844, -0.08322764805808348]]","[[1.912263740209974e-06, 0.16301420890867296], [1.912263740209974e-06, -0.16301420890867296], [0.0003791442789725895, 0.08322527639124219], [0.0003791442789725895, -0.08322527639124219]]","[[0.012795337982420558, -0.042566995297375676, -0.1205054708185201, 0.021206069284162483], [0.031114752190342966, -0.01069311358747895, 0.020786419366383934, -0.1332049404305696], [0.11642254033989252, 0.021371760480383143, -0.012031294522180418, -0.04924176770692131], [0.021356021723306556, 0.1356645200332231, 0.025207336912876042, 0.010691454891528262]]",B02CE9C98EAE4064A
5,192,0.3915589160969088,0.13253895892719914,0.01756657563350578,-0.000256564813415381,0.026224441883078802,projected_linear_operator,2.0887940591556846e-06,1.0000000000000002,0.02810394952719001,-0.3153175738316658,0.03130386295186116,16,0.003125,0.05,1.028958342157565e+20,1.6376380639001821e+19,"[[-0.000256564813415381, 0.13253895892719914], [-0.000256564813415381, -0.13253895892719914], [-0.02631347269487171, 0.0], [0.026224441883078802, 0.0]]","[[-0.0002565479257475023, 0.13253868208060912], [-0.0002565479257475023, -0.13253868208060912], [-0.026310991701164507, 0.0], [0.026221778685163604, 0.0]]","[[-0.025466791469546845, 0.03634284019901534, 0.09142925142984727, -0.022077593846393274], [-0.06215966337111527, 0.014300580885029368, -0.025858785623301923, 0.08020886160395453], [-0.08240273917151386, -0.022644392075955963, 0.024863554497210096, 0.04437229937894103], [-0.02615596421347089, -0.08347144146859836, -0.05384229201968529, -0.014299504351316262]]",B02CE9C98EAE4064A
6,192,0.46987069931629055,0.13173197360825561,0.017353312870726154,-4.943995064948803e-05,0.3413891364137078,projected_linear_operator,1.6120669878630967e-05,1.0000000000000002,24.009383216019504,-12.162304163590045,0.3682167568669228,16,0.003125,0.05,1.0226933595241814e+20,1.6276670343553036e+19,"[[0.3413891364137078, 0.0], [-4.943995064948803e-05, 0.13173197360825561], [-4.943995064948803e-05, -0.13173197360825561], [-0.3416138749274573, 0.0]]","[[0.34138872880321436, 0.0], [-4.944523724305719e-05, 0.13172985000059662], [-4.944523724305719e-05, -0.13172985000059662], [-0.3416143687278645, 0.0]]","[[0.1716253729742151, -0.06597166065755379, -0.07097806225087047, 0.1725769551113283], [0.10374424245245922, -0.1674584596742057, 0.17008264227518277, -0.024663419522216238], [0.028276835243917987, 0.1731700287936403, -0.17194907248037214, -0.10759184034707557], [0.17052374517739596, 0.0631518765749772, 0.06279447778757681, 0.16745854076531447]]",B02CE9C98EAE4064A
2,192,0.22422241657044698,0.012760356774916517,0.00016282670502315786,0.00047585604624015806,0.055308248067038004,projected_linear_operator,0.00019798591722591753,1.0000000000000002,1.6730985377951144,-2.7335419496646103,0.35670694014068305,16,0.003125,0.05,9.90642725635797e+18,1.5766568662296538e+18,"[[0.055308248067038004, 0.0], [-0.05591757000202286, 0.0], [0.00047585604624015806, 0.012760356774916517], [0.00047585604624015806, -0.012760356774916517]]","[[0.05530906138709675, 0.0], [-0.05591693628568812, 0.0], [0.00047516916864811604, 0.012757830403976305], [0.00047516916864811604, -0.012757830403976305]]","[[0.019480072895139526, -0.007284307408644882, 0.04073100791230933, 0.010588854058017218], [-0.04085415209375221, -0.019512447474462777, 0.0037590969638126325, 0.01580378651878861], [0.028721355815508855, 0.021534885902307063, -0.02149813978426307, 0.019281144150343082], [0.010062989745537914, -0.017030878827361665, 0.035998275682101254, 0.02187290452108183]]",B07DC4CD9D4B3F508
3,192,0.3363336248556704,0.0,0.0,0.09101088510246785,0.09101088510246785,projected_linear_operator,0.0,1.0000000000000002,-0.8671507010912273,3.5825488341796965,0.28189825407067726,16,0.003125,0.05,0.0,0.0,"[[0.09101088510246785, 0.0], [-0.08867505600493555, 0.0], [-0.011466037230090147, 0.0], [0.006166872802143972, 0.0]]","[[0.09101099938412836, 0.0], [-0.08867592847356238, 0.0], [-0.011464867140422422, 0.0], [0.006166390885463025, 0.0]]","[[0.02343941555539238, -0.04184095985707548, 0.037292611191587395, 0.03697694040970979], [-0.003353870613782102, -0.024932863857573692, 0.038280538068622014, -0.030574118633978256], [0.01875771295158417, 0.02824846842612306, -0.04160990094249176, 0.018337093585752962], [0.03608259065843679, -0.06022348975586641, 0.043863033600269184, 0.04014001391425925]]",B07DC4CD9D4B3F508
4,192,0.44844483314089395,0.05345678582863721,0.002857627951128788,0.0013444344033347972,0.0013444344033347972,projected_linear_operator,2.395256688573361e-06,1.0000000000000009,0.1687692106660773,-0.02989363989289187,0.20956446958043495,16,0.003125,0.05,4.150085844081477e+19,6.60506676341268e+18,"[[0.0005674480706604188, 0.037388352677150634], [0.0005674480706604188, -0.037388352677150634], [0.0013444344033347972, 0.05345678582863721], [0.0013444344033347972, -0.05345678582863721]]","[[0.0005673502812623917, 0.0373840009824921], [0.0005673502812623917, -0.0373840009824921], [0.001344600408561901, 0.0534566577859134], [0.001344600408561901, -0.0534566577859134]]","[[0.0017525362076861771, 0.011578722173756746, 0.025562005202735934, -0.006760981540145098], [0.005014089710129914, 0.015175021473435852, -0.007102671973641322, 0.04228136935673163], [-0.06507251669345096, -0.008357150456136535, -0.0023465141302478824, -0.0037965239768130593], [-0.007321922645996472, -0.07011997542984778, -0.008048961487117536, -0.010757278602883733]]",B07DC4CD9D4B3F508
5,192,0.5605560414261174,0.06418242367615147,0.004119383508945008,0.000555392020314972,0.000555392020314972,projected_linear_operator,1.115395700654753e-05,1.0000000000000004,-0.10934467462405462,-1.6645545149973089,0.42295772390395947,16,0.003125,0.05,4.9827643732845535e+19,7.930315802704266e+18,"[[-0.0012487598006861375, 0.034133260886140805], [-0.0012487598006861375, -0.034133260886140805], [0.000555392020314972, 0.06418242367615147], [0.000555392020314972, -0.06418242367615147]]","[[-0.0012490923291632976, 0.03413026173288419], [-0.0012490923291632976, -0.03413026173288419], [0.0005556966317349869, 0.06418170778815721], [0.0005556966317349869, -0.06418170778815721]]","[[0.006095644880377532, 0.004883137135000445, 0.036874276620613544, 0.010367442444957263], [-0.011956812879804308, -0.00843622589950136, 0.01253347666085971, 0.04171303463725239], [-0.053846257642106383, 0.0058180884289966055, -0.0069200366130954954, 0.015008483502671399], [0.004527202673568562, -0.07981423246438311, -0.009217120114954545, 0.007873882071476974]]",B07DC4CD9D4B3F508
6,192,0.6726672497113408,0.05550527615945023,0.003080835681536834,0.004354975344492778,0.004354975344492778,projected_linear_operator,6.598878235119154e-06,1.0000000000000002,-0.10289739979290939,-0.3274477230948271,0.6419011629665714,16,0.003125,0.05,4.309119175245407e+19,6.858176171123778e+18,"[[-0.00426574072451352, 0.037622271990414964], [-0.00426574072451352, -0.037622271990414964], [0.004354975344492778, 0.05550527615945023], [0.004354975344492778, -0.05550527615945023]]","[[-0.004265613505020194, 0.03761821118842105], [-0.004265613505020194, -0.03761821118842105], [0.00435483214173656, 0.05550564243442602], [0.00435483214173656, -0.05550564243442602]]","[[-0.0010434955776115237, -0.002423204646338261, 0.02768145406400657, 0.002054699819707904], [0.0032128713136818326, 0.010472507957338865, 0.0016773393563044084, 0.0459825800898341], [-0.052438431706519434, -0.0037401074764728654, -0.008917112547284273, -0.009046175710448032], [-0.0037829339899798638, -0.06723673589849413, -0.001196022947532361, -0.00033343059248459026]]",B07DC4CD9D4B3F508
