pair_id,candidate_a,candidate_b,valid,winner_anonymous,decision_basis,median_log_ratio_A_over_B,n_metrics_A_better,n_metrics_B_better,delta_far_profile_nu_blind,delta_far_profile_r2_blind,delta_far_profile_coeff_A_minus_B_blind,delta_far_profile_boundary_hit_blind,delta_source_monopole_A_minus_B_blind,delta_source_monopole_fraction_abs_blind,delta_pressure_ladder_n_blind,delta_pressure_ladder_nu_span_blind,delta_pressure_ladder_monopole_rel_span_blind
PAIR_957B1C3305E3,CAND_2E590C6756123292,CAND_387E7EA3EB2D458F,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.05924731057724586,4,0,0.1,0.9964794744534218,-0.16209436896909754,True,1.1674340131252432,0.05407610189446406,0,nan,nan
PAIR_E013C193F47F,CAND_E52CED020BB3465F,CAND_7E878EC0B29CEA20,True,TIE,FULL_HORIZON_PRIMARY_METRICS,0.0047647717570187265,2,2,0.42499999999999993,0.9984913850734167,0.07566922117914343,False,-1.2298436678534035,0.03836986438419847,0,nan,nan
PAIR_FBBE11402160,CAND_0F779034B9E34B07,CAND_24691C49298E420C,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.06695616708870611,3,1,0.44999999999999996,0.9987061619115127,-0.08161079285916777,False,1.3353107597365028,0.05335042255289151,0,nan,nan
PAIR_97A6BFF38DA3,CAND_28C16B860A16874D,CAND_DA2AEEF7750E9965,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.15498577741587855,3,1,0.4,0.9984974615352822,-0.3465298772027849,False,5.487261661398944,0.20244261566777486,0,nan,nan
PAIR_54CA4AE08332,CAND_70A4919685820B58,CAND_28C16B860A16874D,True,B,CONTACT_GATE,inf,0,0,0.42499999999999993,0.9987034021492583,0.09122372394157652,False,-1.4599881043606127,0.07191278679740301,0,nan,nan
PAIR_8716560CEDF5,CAND_D1A633A2377759A0,CAND_7E878EC0B29CEA20,True,B,FULL_HORIZON_PRIMARY_METRICS,0.03357353633190074,2,2,0.35,0.9980038761047177,0.2813649326505113,False,-4.359455395419902,0.11591293968211977,0,nan,nan
PAIR_BEE8C1C79C0B,CAND_8229BDEBF100C857,CAND_841FC6E0EF2D2F97,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.06332280368132429,4,0,0.3,0.9977742065836358,-0.07120460056879133,False,1.0394642009195785,0.03895773940634106,0,nan,nan
PAIR_497E928965CA,CAND_8229BDEBF100C857,CAND_1FC3A320AAC2EA78,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.11819584789638027,4,0,0.35,0.9979977957448333,-0.2807767670298613,False,4.350920465663851,0.13601517146304068,0,nan,nan
PAIR_D19D30582AD0,CAND_28C16B860A16874D,CAND_0D69ED34C9DDB45B,True,A,CONTACT_GATE,-inf,0,0,0.42499999999999993,0.9986407676670029,-0.35693009631627953,False,5.722388832094617,0.20627112302535952,0,nan,nan
PAIR_4A41FBA41B40,CAND_8F36CC069ADC4915,CAND_935A70184B0610D6,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.0987988947220443,4,0,0.5,0.9989088607565778,-0.08620979669773737,False,1.4245156017217298,0.05409914501498901,0,nan,nan
PAIR_DA094C7044D2,CAND_2E590C6756123292,CAND_5611AA61DE36D664,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.14641301613901275,3,1,0.1,0.9968520629964988,-0.6800627251870782,True,4.86809811684609,0.17866379411700822,0,nan,nan
PAIR_67DFCB671B21,CAND_163692BF43E442CF,CAND_1673FE611BF594F5,True,TIE,FULL_HORIZON_PRIMARY_METRICS,-0.012950253913712823,3,1,0.42499999999999993,0.9985138869702972,0.07601187373936259,False,-1.2345024179449435,0.02766408825538214,0,nan,nan
