step,time_hat,recurrence_rms_over_D,shift,plus_rms_over_D,minus_rms_over_D,pair_min_distance_over_D,segment_max_over_min
40,0.2,0.644174690430347,0,0.5712344478827591,0.7096571490051701,0.15198051994955686,2.9365517707361053
50,0.25,0.7943010866209834,0,0.7001427609761446,0.8784238991894808,0.1446764244743227,3.2536775911932914
60,0.3,0.9213258116017533,0,0.8103318472665091,1.0203160292541258,0.21910529968055356,3.6436014527177476
70,0.35000000000000003,1.0140827554293066,0,0.8987901544792639,1.1175437029169513,0.17095631939106695,3.57719320234431
80,0.4,1.0923415367042475,0,0.9800357880575674,1.1941314499439233,0.2111405705748305,3.522579865601014
90,0.45,1.1766777483882886,0,1.060362418809978,1.282486876299215,0.16072216098644151,4.033785449614104
100,0.5,1.2442487262892177,0,1.1210858345810546,1.3562729582375301,0.13693042638396644,5.036473999619469
110,0.55,1.3209225360540966,0,1.191105287598698,1.4390764004616277,0.11621824336435292,6.074214757916463
120,0.6,1.3868293544963166,11,1.2749121844037743,1.4903658071239212,0.15238203000808817,7.685521848408328
130,0.65,1.4664530955622908,11,1.3515740567613541,1.572964377237484,0.12655671634147667,10.337138656292575
140,0.7000000000000001,1.5475042009831768,11,1.4290392282325903,1.6575238726164894,0.16916246678116317,12.639593519982888
150,0.75,1.5931579877427704,11,1.4736361975270993,1.704318369658398,0.21257403814648249,13.365842544540566
160,0.8,1.627979027332385,11,1.520876089053015,1.728458084135974,0.21229412613555318,12.593666732026596
170,0.85,1.648792579103793,11,1.5572491196974292,1.7355140785994954,0.20656977537026616,11.289337682545286
180,0.9,1.665899183495842,11,1.5773603540760874,1.7499641403563637,0.20060787335369532,10.183518252649547
190,0.9500000000000001,1.6754509571494347,22,1.591019633859695,1.7558269687810575,0.18568666112461246,9.801979869909239
200,1.0,1.686460036247691,22,1.6032689707882217,1.7657359697952582,0.14171893091626458,10.54545965887352
