pair_key,topology_key,variant_key,representation,samples,total_length,sampled_reach_proxy,length_over_diameter_proxy,writhe_sum_midpoint_proxy,edge_cv_max,native_backend
12a_1202/knot.12a_1202,12a_1202,12a_1202,short,128,85.23805622327745,0.499346343661029,85.34963488301774,-0.14356549507709454,0.007309786772006439,True
12a_1202/knot.12a_1202,12a_1202,12a_1202,short,256,85.6435308908835,0.49743146507213865,86.08575945076502,-0.29534170431284407,0.0023448375973913675,True
12a_1202/knot.12a_1202,12a_1202,12a_1202,short,512,85.74991724202214,0.49716402261724685,86.23906129671684,-0.34596580837571683,0.0012966813623526557,True
12a_1202/knot.12a_1202,12a_1202,12a_1202,short,1024,85.79270874281411,0.38867440524747116,110.36578120983991,-0.3598477308457547,0.0010547233576542448,True
12a_1202/knot.12a_1202z6,12a_1202,12a_1202z6,short,128,68.18069443612316,0.40502704418438046,84.168076447119,-1.2259130651896786e-07,0.021287818715006294,True
12a_1202/knot.12a_1202z6,12a_1202,12a_1202z6,short,256,68.69364060567985,0.29848648665414523,115.06993394524224,-2.6530088131753735e-07,0.006570668636606237,True
12a_1202/knot.12a_1202z6,12a_1202,12a_1202z6,short,512,68.83451983611599,0.25487814601802317,135.0341739994619,-1.069480710142271e-07,0.0021372315276750337,True
12a_1202/knot.12a_1202z6,12a_1202,12a_1202z6,short,1024,68.8776004076813,0.24209557711041427,142.2529094289645,-1.5404843526000102e-07,0.001088344644292887,True
15331/knot.15331,15331,15331,short,128,69.00461911380353,0.49824649627398715,69.24747050891222,-2.7984763875525438e-08,0.004140244033385387,True
15331/knot.15331,15331,15331,short,256,69.24298422138698,0.49824649627398715,69.48667450669845,3.661589557952511e-08,0.001212666323040423,True
15331/knot.15331,15331,15331,short,512,69.30110337231567,0.49824649627398715,69.54499819925155,3.724210926921979e-08,0.0006133680303933044,True
15331/knot.15331,15331,15331,short,1024,69.31961512877243,0.45908694076864,75.49726312483644,6.450148046547167e-08,0.0005717851967485121,True
3_1/knot.3_1,3_1,3_1,short,128,17.026798887192207,0.4962907688069636,17.15405560345504,3.3927559803329386,0.02614938473470291,True
3_1/knot.3_1,3_1,3_1,short,256,17.043076506161846,0.34012680778667986,25.054003559829503,3.4062694110852823,0.03697041623218091,True
3_1/knot.3_1,3_1,3_1,short,512,17.063387102072625,0.15232400046054423,56.01017256138987,3.40945595427678,0.03613212158185057,True
3_1/knot.3_1,3_1,3_1,short,1024,17.088881900563194,0.008356605282579137,1022.4775086713786,3.4092402215040574,0.011447300508049851,True
3_1/knot.3_1p,3_1,3_1p,short,128,19.303621928123817,0.4975176732236661,19.399935888755454,3.5983426230981523,0.0016886772082619005,True
3_1/knot.3_1p,3_1,3_1p,short,256,19.32395182470829,0.3771452091502842,25.618715757049575,3.5967813977573555,0.001491623885468642,True
3_1/knot.3_1p,3_1,3_1p,short,512,19.33316341078256,0.19054221468649907,50.73196887784578,3.5964448513822393,0.0011755622835403093,True
3_1/knot.3_1p,3_1,3_1p,short,1024,19.33782681910807,0.08463470948028577,114.24288532361827,3.596036686895009,0.0008748628998706089,True
3_1/knot.3_1u,3_1,3_1u,short,128,22.082413433753683,0.4983537946599543,22.155357970958516,3.8935992945124025,0.026319538731342403,True
3_1/knot.3_1u,3_1,3_1u,short,256,22.109027957631177,0.4304117118044448,25.68358080329874,3.8918310259219484,0.03740790441962649,True
3_1/knot.3_1u,3_1,3_1u,short,512,22.137958173462323,0.21745362730427784,50.902710724813964,3.891658251403972,0.035576109150524476,True
3_1/knot.3_1u,3_1,3_1u,short,1024,22.169474019906524,0.010839290212391578,1022.6441762100886,3.8912753974987355,0.012254144696453764,True
4_1/knot.4_1,4_1,4_1,short,128,22.770732884266337,0.4883848700881088,23.312283281992645,0.19294642962890476,0.0013072322000408573,True
4_1/knot.4_1,4_1,4_1,short,256,22.786603093999332,0.4497359681838221,25.333311882990962,0.195028225250743,0.001318892510164242,True
