pair_key,topology_key,variant_key,representation,resolutions_json,last_length_relative_change,last_reach_relative_change,last_writhe_absolute_change,convergence_status
12a_1202/knot.12a_1202,12a_1202,12a_1202,short,"[128, 256, 512, 1024]",0.0004987778264497572,0.2791272486818363,0.013881922470037888,NOT_CONVERGED_AT_REQUESTED_LEVELS
12a_1202/knot.12a_1202z6,12a_1202,12a_1202z6,short,"[128, 256, 512, 1024]",0.0006254656275817038,0.05279967961487814,4.710036424577392e-08,NOT_CONVERGED_AT_REQUESTED_LEVELS
15331/knot.15331,15331,15331,short,"[128, 256, 512, 1024]",0.000267049325394723,0.08529877900639717,2.7259371196251878e-08,NOT_CONVERGED_AT_REQUESTED_LEVELS
3_1/knot.3_1,3_1,3_1,short,"[128, 256, 512, 1024]",0.0014918938897769294,17.227975991410208,0.00021573277272279867,NOT_CONVERGED_AT_REQUESTED_LEVELS
3_1/knot.3_1p,3_1,3_1p,short,"[128, 256, 512, 1024]",0.00024115472587133032,1.251348363532608,0.0004081644872302448,NOT_CONVERGED_AT_REQUESTED_LEVELS
3_1/knot.3_1u,3_1,3_1u,short,"[128, 256, 512, 1024]",0.0014215874682413224,19.06161132725119,0.00038285390523640217,NOT_CONVERGED_AT_REQUESTED_LEVELS
4_1/knot.4_1,4_1,4_1,short,"[128, 256, 512, 1024]",0.00022898409800412923,1.2277690840462552,4.4174567941951404e-05,NOT_CONVERGED_AT_REQUESTED_LEVELS
4_1/knot.4_1d,4_1,4_1d,short,"[128, 256, 512, 1024]",0.0002458480711006231,1.0290259678085503,0.00012587068546508762,NOT_CONVERGED_AT_REQUESTED_LEVELS
4_1/knot.4_1i8,4_1,4_1i8,short,"[128, 256, 512, 1024]",0.0004092169025753526,0.5669629014417266,0.00043299527257456533,NOT_CONVERGED_AT_REQUESTED_LEVELS
4_1/knot.4_1p,4_1,4_1p,short,"[128, 256, 512, 1024]",0.0002884032962550467,0.9575594695117806,0.0001912654991840651,NOT_CONVERGED_AT_REQUESTED_LEVELS
4_1/knot.4_1z,4_1,4_1z,short,"[128, 256, 512, 1024]",0.0002118607335422103,0.9263386270381418,4.778796237215983e-06,NOT_CONVERGED_AT_REQUESTED_LEVELS
5_1/knot.5_1,5_1,5_1,short,"[128, 256, 512, 1024]",0.0017287465351180278,5.40306777348817,0.011466580699972084,NOT_CONVERGED_AT_REQUESTED_LEVELS
5_1/knot.5_1p,5_1,5_1p,short,"[128, 256, 512, 1024]",0.0005266248198578391,1.1336357930030494,0.0028120378021112558,NOT_CONVERGED_AT_REQUESTED_LEVELS
5_1/knot.5_1u,5_1,5_1u,short,"[128, 256, 512, 1024]",0.0014619964684838094,17.81872753870793,0.0006904940050747044,NOT_CONVERGED_AT_REQUESTED_LEVELS
5_2/knot.5_2,5_2,5_2,short,"[128, 256, 512, 1024]",0.0003803030519146327,0.9933123270553966,0.0031373400340299895,NOT_CONVERGED_AT_REQUESTED_LEVELS
5_2/knot.5_2d,5_2,5_2d,short,"[128, 256, 512, 1024]",0.0003251747063888996,1.0208970945700033,0.0029507219864299827,NOT_CONVERGED_AT_REQUESTED_LEVELS
5_2/knot.5_2r,5_2,5_2r,short,"[128, 256, 512, 1024]",0.0002998928782792431,0.9955368135888885,0.0004158690928584008,NOT_CONVERGED_AT_REQUESTED_LEVELS
6_1/knot.6_1,6_1,6_1,short,"[128, 256, 512, 1024]",0.00035825839504178105,0.9635368647829128,0.003261556638507912,NOT_CONVERGED_AT_REQUESTED_LEVELS
6_2/knot.6_2,6_2,6_2,short,"[128, 256, 512, 1024]",0.0003182420587977894,0.9416589465200815,0.0010133038158550711,NOT_CONVERGED_AT_REQUESTED_LEVELS
6_2/knot.6_2d,6_2,6_2d,short,"[128, 256, 512, 1024]",0.00026004173322733597,0.5165417865752294,0.0027892026593083763,NOT_CONVERGED_AT_REQUESTED_LEVELS
6_2/knot.6_2p,6_2,6_2p,short,"[128, 256, 512, 1024]",0.00042083148880324894,1.1323226978800502,0.002550397046789943,NOT_CONVERGED_AT_REQUESTED_LEVELS
6_3/knot.6_3d,6_3,6_3d,short,"[128, 256, 512, 1024]",0.0002905257508147708,0.677029991116207,0.001353339376040666,NOT_CONVERGED_AT_REQUESTED_LEVELS
6_3/knot.6_3z,6_3,6_3z,short,"[128, 256, 512, 1024]",0.00026709295651247705,1.0362160377463328,3.139539108503553e-10,NOT_CONVERGED_AT_REQUESTED_LEVELS
7_1/knot.7_1,7_1,7_1,short,"[128, 256, 512, 1024]",0.0017647107181128483,4.464158842692327,0.012258026012847978,NOT_CONVERGED_AT_REQUESTED_LEVELS
7_1/knot.7_1p,7_1,7_1p,short,"[128, 256, 512, 1024]",0.0003863392940672064,0.8175644376830314,0.013181366293583352,NOT_CONVERGED_AT_REQUESTED_LEVELS
7_2/knot.7_2,7_2,7_2,short,"[128, 256, 512, 1024]",0.0004103122456411436,1.1760264211273845,0.009393800550135722,NOT_CONVERGED_AT_REQUESTED_LEVELS
7_2/knot.7_2d,7_2,7_2d,short,"[128, 256, 512, 1024]",0.0003324389662619443,0.4962476606159064,0.007010280906238009,NOT_CONVERGED_AT_REQUESTED_LEVELS
7_2/knot.7_2r,7_2,7_2r,short,"[128, 256, 512, 1024]",0.0003355620352156298,1.0907489901104555,0.004047388321598788,NOT_CONVERGED_AT_REQUESTED_LEVELS
7_3/knot.7_3,7_3,7_3,short,"[128, 256, 512, 1024]",0.000399568179875041,1.2650245150422823,0.005775670196156213,NOT_CONVERGED_AT_REQUESTED_LEVELS
7_3/knot.7_3d,7_3,7_3d,short,"[128, 256, 512, 1024]",0.0005709213871020753,0.9657266095158741,0.004407578556130609,NOT_CONVERGED_AT_REQUESTED_LEVELS
7_4/knot.7_4,7_4,7_4,short,"[128, 256, 512, 1024]",0.00031066609251034473,0.9619286166055605,0.004514489597116977,NOT_CONVERGED_AT_REQUESTED_LEVELS
7_5/knot.7_5,7_5,7_5,short,"[128, 256, 512, 1024]",0.0002964080724397718,0.9952757482868716,0.006313171804605666,NOT_CONVERGED_AT_REQUESTED_LEVELS
7_5/knot.7_5d,7_5,7_5d,short,"[128, 256, 512, 1024]",0.0004072570034476125,0.5147945741211936,0.0001994002568039832,NOT_CONVERGED_AT_REQUESTED_LEVELS
7_6/knot.7_6d,7_6,7_6d,short,"[128, 256, 512, 1024]",0.0003540931345541855,0.3479220635484659,0.003011465241387512,NOT_CONVERGED_AT_REQUESTED_LEVELS
7_6/knot.7_6s,7_6,7_6s,short,"[128, 256, 512, 1024]",0.0005878784981405695,1.0833573789575621,0.004939855674698013,NOT_CONVERGED_AT_REQUESTED_LEVELS
7_7/knot.7_7d,7_7,7_7d,short,"[128, 256, 512, 1024]",0.00031008545022347524,0.8769716938107592,0.005710985540422042,NOT_CONVERGED_AT_REQUESTED_LEVELS
8_1/knot.8_1,8_1,8_1,short,"[128, 256, 512, 1024]",0.0005128537270300621,0.9903605106762321,0.014662401440172612,NOT_CONVERGED_AT_REQUESTED_LEVELS
8_1/knot.8_1d,8_1,8_1d,short,"[128, 256, 512, 1024]",0.0004612292314023415,0.8318548110808326,0.026110984180933716,NOT_CONVERGED_AT_REQUESTED_LEVELS
8_10/knot.8_10s,8_10,8_10s,short,"[128, 256, 512, 1024]",0.00041039723325911234,0.8949126336218711,0.0016102749061710497,NOT_CONVERGED_AT_REQUESTED_LEVELS
8_11/knot.8_11,8_11,8_11,short,"[128, 256, 512, 1024]",0.0005677482794911618,0.9962717515918533,0.012763187961826183,NOT_CONVERGED_AT_REQUESTED_LEVELS
8_11/knot.8_11d,8_11,8_11d,short,"[128, 256, 512, 1024]",0.00045538043764194245,0.19986274734902895,0.010079683463009914,NOT_CONVERGED_AT_REQUESTED_LEVELS
8_12/knot.8_12d,8_12,8_12d,short,"[128, 256, 512, 1024]",0.00044411856417318204,0.4542136673670831,0.01361860124588285,NOT_CONVERGED_AT_REQUESTED_LEVELS
8_12/knot.8_12z,8_12,8_12z,short,"[128, 256, 512, 1024]",0.00030964525256510104,0.3493688632265542,7.273851582425339e-09,NOT_CONVERGED_AT_REQUESTED_LEVELS
8_13/knot.8_13d,8_13,8_13d,short,"[128, 256, 512, 1024]",0.0003751661769332781,0.3645202994486643,0.0062264715404883875,NOT_CONVERGED_AT_REQUESTED_LEVELS
