geometry,N_low,N_high,energy_rel_error,low_core_eta_a,high_core_eta_a,low_core_status,high_core_status,matched_clusters,numerically_trackable_clusters,numerically_trackable_fraction,physical_clusters,physical_fraction,numerical_tracking_ready,physical_interpretation_ready
ring,48,64,0.026593301334288926,2.6161251692057377,1.9627069730967333,UNDERRESOLVED,DIAGNOSTIC,48,8,0.16666666666666666,0,0.0,False,False
ring,64,96,0.013458667380513498,1.9627069730967333,1.3087633128710705,DIAGNOSTIC,DIAGNOSTIC,62,10,0.16129032258064516,0,0.0,False,False
trefoil,48,64,0.0012207703939359387,2.2107596499573745,1.6700899073700708,UNDERRESOLVED,DIAGNOSTIC,84,2,0.023809523809523808,0,0.0,False,False
trefoil,64,96,0.003726786287548021,1.6700899073700708,1.1151301242690912,DIAGNOSTIC,DIAGNOSTIC,112,6,0.05357142857142857,0,0.0,False,False
