cluster_id,dimension,members,classification,omega_hat,sigma_hat,dominant_m,circularity_eigs,condition_number_median,condition_number_max,strict_true_degeneracy,core_eta_a_max,core_status
0,3,0;2;4,oscillatory,-1.5342810967635971,2.110404487814245e-17,24,-0.998768237513;-0.998768217624;-0.998768188282,1.0044361609804338,1.0044362824811146,False,1.6700899073700708,DIAGNOSTIC
1,3,1;3;5,oscillatory,1.5342810967635971,2.110404487814245e-17,24,0.998768188282;0.998768217624;0.998768237513,1.0044361609804338,1.0044362824811146,False,1.6700899073700708,DIAGNOSTIC
2,3,6;8;10,oscillatory,-1.3657329057755538,-8.44161795125698e-17,24,-0.996552671579;-0.996552027133;-0.996551812344,1.0070239332373592,1.00702398183208,False,1.6700899073700708,DIAGNOSTIC
3,3,7;9;11,oscillatory,1.3657329057755538,-8.44161795125698e-17,24,0.996551812344;0.996552027133;0.996552671579,1.0070239332373592,1.00702398183208,False,1.6700899073700708,DIAGNOSTIC
4,3,12;14;16,oscillatory,-1.2165193699244445,-6.243279943117141e-17,24,-0.994659240692;-0.994655072823;-0.99465290863,1.0080142986580416,1.008036783809444,False,1.6700899073700708,DIAGNOSTIC
5,3,13;15;17,oscillatory,1.2165193699244445,-6.243279943117141e-17,24,0.99465290863;0.994655072823;0.994659240692,1.0080142986580416,1.008036783809444,False,1.6700899073700708,DIAGNOSTIC
6,3,18;20;22,oscillatory,-1.0908160702061467,-4.0449419349773026e-17,24,-0.993791367872;-0.993679141525;-0.993675469407,1.0143968095086988,1.0144512299422963,False,1.6700899073700708,DIAGNOSTIC
7,3,19;21;23,oscillatory,1.0908160702061467,-4.0449419349773026e-17,24,0.993675469407;0.993679141525;0.993791367872,1.0143968095086988,1.0144512299422963,False,1.6700899073700708,DIAGNOSTIC
8,1,24,oscillatory,-0.997401886588808,-5.012210658558832e-17,24,-0.994418370299,1.0168275835347107,1.0168275835347107,True,1.6700899073700708,DIAGNOSTIC
9,1,25,oscillatory,0.997401886588808,-5.012210658558832e-17,24,0.994418370299,1.0168275835347107,1.0168275835347107,True,1.6700899073700708,DIAGNOSTIC
