pair_id,candidate_a,geometry_a,candidate_b,geometry_b,n_components
PAIR_42F58110D533,CAND_A2534BB7D0203515,geometry/CAND_A2534BB7D0203515.npz,CAND_E2BBD9FDECC1583A,geometry/CAND_E2BBD9FDECC1583A.npz,1
PAIR_2F284AB29303,CAND_432A35379F0CEB42,geometry/CAND_432A35379F0CEB42.npz,CAND_B3EC38709D42CB05,geometry/CAND_B3EC38709D42CB05.npz,1
PAIR_5A1CD043EA74,CAND_248C32DDB600B428,geometry/CAND_248C32DDB600B428.npz,CAND_2AA172367B3AA886,geometry/CAND_2AA172367B3AA886.npz,1
PAIR_E3297B4D7A99,CAND_0AF113E03671A6E2,geometry/CAND_0AF113E03671A6E2.npz,CAND_B7D9774987F8F8D9,geometry/CAND_B7D9774987F8F8D9.npz,1
PAIR_C615B15C4CEA,CAND_1E5E2B09B4B8C551,geometry/CAND_1E5E2B09B4B8C551.npz,CAND_C3986071925BB7B5,geometry/CAND_C3986071925BB7B5.npz,1
PAIR_6C71F11FFE9D,CAND_D6B0C3E27893DFA4,geometry/CAND_D6B0C3E27893DFA4.npz,CAND_7EC3A0C20817164B,geometry/CAND_7EC3A0C20817164B.npz,1
PAIR_3E9D017385B6,CAND_876DEFA9C0016C79,geometry/CAND_876DEFA9C0016C79.npz,CAND_3749715170080E8E,geometry/CAND_3749715170080E8E.npz,1
PAIR_56D2E1070B84,CAND_D1BC264E75ED07F7,geometry/CAND_D1BC264E75ED07F7.npz,CAND_7CAECDD540CA31A3,geometry/CAND_7CAECDD540CA31A3.npz,1
PAIR_7536D10E62B9,CAND_0673AF70FB9A87D6,geometry/CAND_0673AF70FB9A87D6.npz,CAND_6835C39D1CA72DEA,geometry/CAND_6835C39D1CA72DEA.npz,1
PAIR_93ADBD970BA2,CAND_89F55742FC41BA0B,geometry/CAND_89F55742FC41BA0B.npz,CAND_7727435FF99284A8,geometry/CAND_7727435FF99284A8.npz,1
PAIR_F74D934F8F48,CAND_9105D75F85D96750,geometry/CAND_9105D75F85D96750.npz,CAND_B0C72E6F79101B90,geometry/CAND_B0C72E6F79101B90.npz,1
PAIR_7BE3B2B9D29A,CAND_6DE0C4D86E4A5C19,geometry/CAND_6DE0C4D86E4A5C19.npz,CAND_A163482828DAB384,geometry/CAND_A163482828DAB384.npz,1
PAIR_8D455B1E2ED2,CAND_840F53698F7DE277,geometry/CAND_840F53698F7DE277.npz,CAND_9BF7FFC85759677A,geometry/CAND_9BF7FFC85759677A.npz,1
PAIR_F8C3CE5A39A2,CAND_6B41DAEC85796FF8,geometry/CAND_6B41DAEC85796FF8.npz,CAND_459B8D07E161024E,geometry/CAND_459B8D07E161024E.npz,1
