catalog_id,topology_key,samples,total_length,sampled_reach_proxy,length_over_diameter_proxy,writhe_sum_midpoint_proxy,edge_cv_max,native_backend
0:1:1,0_1,128,6.282554501865545,0.9999999999998734,3.14127725093317,0.0,1.5502211437419434e-14,True
0:1:1,0_1,256,6.283027602288602,0.9999999999994831,3.141513801145925,0.0,6.835721155619348e-15,True
0:1:1,0_1,512,6.283145880734183,0.9999999999981197,3.141572940372998,0.0,4.95211558085104e-14,True
0:1:2,0_2,128,12.56510900373109,0.5,12.56510900373109,0.0,1.456558549178826e-14,True
0:1:2,0_2,256,12.566055204577204,0.5,12.566055204577204,0.0,1.04602983157561e-14,True
0:1:2,0_2,512,12.566291761468364,0.5,12.566291761468364,0.0,4.9716186933286374e-14,True
2:2:1,2^2_1,128,18.847663505596636,0.49969895467956155,18.859018344037707,0.0,1.3185961141092205e-14,True
2:2:1,2^2_1,256,18.849082806865805,0.4999247103425835,18.851921516291014,0.0,2.1350678189055315e-14,True
2:2:1,2^2_1,512,18.84943764220255,0.49998117581413604,18.850147319555962,0.0,2.83550340749847e-14,True
3:1:1,3_1,128,16.359495715307823,0.5000049987168329,16.359332163969697,-3.38406822692542,0.00028058855233185583,True
3:1:1,3_1,256,16.36918170802069,0.49999044182818336,16.369494632905194,-3.4050829480727343,8.113621427604597e-05,True
3:1:1,3_1,512,16.371636956553104,0.48183241668713084,16.988932655379774,-3.414092967966902,2.1399474235475284e-05,True
4:1:1,4_1,128,21.019544923313376,0.49999536804147987,21.019739648437685,-0.00030525071913859987,0.00023700370192351205,True
4:1:1,4_1,256,21.0385777168863,0.4999956121639505,21.03876234616602,-0.0002825627135135027,6.419912699504053e-05,True
4:1:1,4_1,512,21.04334002110516,0.49999408714389076,21.043588876531256,-0.00029738240590384445,1.9040624827481842e-05,True
5:1:1,5_1,128,23.561716292926743,0.5000149949694758,23.561009699684213,-6.197985837941591,0.00046578346364859054,True
5:1:1,5_1,256,23.591106899460907,0.5000027924359545,23.590975146886507,-6.259893351047677,0.00013813047371948192,True
5:1:1,5_1,512,23.598584125329502,0.49999876066546617,23.598642618555,-6.2839198422977605,3.76988780275293e-05,True
5:1:2,5_2,128,24.695696710066414,0.4999977324804656,24.695808706523735,4.60012720559028,0.000513595386104719,True
5:1:2,5_2,256,24.726129416201353,0.4999993093557916,24.726163570164683,4.565401551579968,0.00019424469987884676,True
5:1:2,5_2,512,24.734155508364402,0.4330626009513826,28.55725183152119,4.552349973284848,4.8489982229362315e-05,True
6:1:1,6_1,128,28.296734350524474,0.5000126862443302,28.296016410168974,-1.202027326833361,0.000657627936764057,True
6:1:1,6_1,256,28.343055940900648,0.5000065226306208,28.342686203154837,-1.1480183183793697,0.00022463461507048356,True
6:1:1,6_1,512,28.354930543109667,0.4808473513485859,29.484336831205727,-1.1250680751066553,5.8204515628036606e-05,True
6:1:2,6_2,128,28.448172172797484,0.5000045847666362,28.447911318728114,-2.7139658423365725,0.0007333953546981649,True
6:1:2,6_2,256,28.496396572145077,0.49999860907592036,28.49647584501395,-2.7591348223243553,0.00023303887351159834,True
6:1:2,6_2,512,28.508780258024135,0.44227058732193164,32.23002057479396,-2.778113692719282,6.953930574327109e-05,True
6:1:3,6_3,128,28.855510305179372,0.5000000712606854,28.855506192653078,-0.004341184132189477,0.0006939299515864793,True
6:1:3,6_3,256,28.903114128721416,0.5000017562310141,28.903012607987133,-0.002321906732746878,0.00024266639196331637,True
6:1:3,6_3,512,28.91535972209534,0.4701546705119596,30.750901283835915,0.002111930307862424,6.821754736114332e-05,True
6:2:3,6^2_3,128,23.795082453177947,0.2137249944050355,55.66752386499845,0.0,0.00010353086936194514,True
6:2:3,6^2_3,256,23.79738605068545,0.21381913837192845,55.64840040018074,0.0,2.629513575895099e-05,True
6:2:3,6^2_3,512,23.797963658824457,0.21384173387129307,55.643870885250024,0.0,6.72837928456908e-06,True
7:1:1,7_1,128,30.619586141281744,0.49999969076479245,30.619605078601605,9.01120185191853,0.0006797829044450416,True
7:1:1,7_1,256,30.68364278807013,0.4999984468054815,30.68373810369779,9.11679117706574,0.00023050824820516143,True
7:1:1,7_1,512,30.700237075215245,0.49999545085472136,30.700516397433688,9.162620878279986,5.985301686996109e-05,True
7:1:2,7_2,128,31.84953577587666,0.4999975209740357,31.849693688311877,-5.868372047875501,0.0007686718525502721,True
7:1:2,7_2,256,31.914307219725064,0.49999597502601995,31.914564130305482,-5.752783721162303,0.00021555846108702677,True
7:1:2,7_2,512,31.930972980641656,0.49999713106753285,31.93115619730311,-5.70994439601967,6.048321938431786e-05,True
7:1:4,7_4,128,32.04472900880479,0.49999524939706175,32.04503347526516,-5.992274545233388,0.0006383393595922689,True
7:1:4,7_4,256,32.11240111520639,0.49999725731320904,32.112577264689364,-5.853176939957187,0.0002645848933469524,True
7:1:4,7_4,512,32.130182892113154,0.47648611886304865,33.715759620426624,-5.805298437379214,7.305572517876026e-05,True
8:1:1,8_1,128,35.37349857676713,0.4999997562288382,35.373515822853236,-2.464963075593577,0.0009839383893698586,True
8:1:1,8_1,256,35.46757146003638,0.49999845094687756,35.46768134268144,-2.313260339700646,0.00028071731387836106,True
8:1:1,8_1,512,35.49133762734254,0.499993505012417,35.49179866492579,-2.2586262640803554,8.32555774990794e-05,True
8:1:3,8_3,128,35.45992140400473,0.5000029428511744,35.45971269869041,0.004036118805268482,0.0009435678348663693,True
8:1:3,8_3,256,35.55320274180742,0.4999988399267461,35.55328523063799,0.0017187882356892842,0.0003271855818590525,True
8:1:3,8_3,512,35.57755065582734,0.4999954394058183,35.57787516832832,0.0019324346390969882,9.007795526647333e-05,True
8:1:9,8_9,128,36.0980384881303,0.5000088224707002,36.09740155159521,-0.018302241222605813,0.0011521965444010148,True
8:1:9,8_9,256,36.19271574617861,0.5000090883436255,36.19205789446129,-0.029189654937754442,0.0003207406956669393,True
8:1:9,8_9,512,36.217093498039986,0.4999986477587264,36.21719144680216,-0.031499780379827515,9.491133394679494e-05,True
8:1:12,8_12,128,36.79073394979248,0.4999974008763585,36.79092519811943,-0.02167601933794909,0.0014688482311278404,True
8:1:12,8_12,256,36.89121267251904,0.4999951003153706,36.89157418667703,-0.039750392341080465,0.0004189772343473519,True
8:1:12,8_12,512,36.91701330015585,0.49999628441196664,36.9172876390202,-0.04481013795442144,0.00011641222253091986,True
8:1:17,8_17,128,37.11217616175302,0.5000032255038008,37.111936752366915,0.004665695126747519,0.0008764085036211953,True
8:1:17,8_17,256,37.21384841075798,0.499993495835254,37.21433250705706,-0.006155243572479899,0.0003915582926158769,True
8:1:17,8_17,512,37.24086400769918,0.42383820867139965,43.93287726988755,-0.011710640052344345,0.00010079713955969467,True
8:1:19,8_19,128,30.435162146651756,0.5000101398010649,30.434544946189245,-8.642298880968909,0.0007409750065395129,True
8:1:19,8_19,256,30.481522187600543,0.49999629741291707,30.4817479102527,-8.67186017699138,0.00019995998525514124,True
8:1:19,8_19,512,30.49350728574322,0.499996888695976,30.493697036067807,-8.6901437257324,5.378039002771845e-05,True
9:1:1,9_1,128,37.59517211434455,0.49998670325851574,37.59617192750238,11.817301961713442,0.0008748457727623627,True
9:1:1,9_1,256,37.71377852439272,0.4999951758438164,37.71414240221928,11.963489022885488,0.0002844219869422644,True
9:1:1,9_1,512,37.74408025265474,0.49999337264820914,37.74458054588169,12.038063740611433,8.11792852093448e-05,True
9:1:2,9_2,128,38.864070062006085,0.5000167238471787,38.86277019194683,-7.155016316221482,0.001120255422503713,True
9:1:2,9_2,256,38.98534010347926,0.49998754210238683,38.98631147843269,-6.927692251212803,0.00032109041608471844,True
9:1:2,9_2,512,39.016308362490136,0.49999050970611725,39.017048929011686,-6.843245299551813,8.868175587014663e-05,True
10:1:1,10_1,128,42.38187177854553,0.4999815614456539,42.38343475707581,-3.77210185810301,0.0013531548729349377,True
10:1:1,10_1,256,42.540633804595096,0.4999939387345123,42.54114951099777,-3.5096055632462333,0.00037961539674297515,True
10:1:1,10_1,512,42.58101453323434,0.49999673361417196,42.58129270709642,-3.4065463527413757,0.00010468345640551699,True
10:1:2,10_2,128,42.58606836984549,0.4999950716843588,42.58648812915659,-8.302174661593035,0.0013417398784685113,True
10:1:2,10_2,256,42.75124307166317,0.5000000444737246,42.751239269049485,-8.439563449829127,0.00046108316361175223,True
10:1:2,10_2,512,42.79410039199623,0.4999958651273007,42.79445429123769,-8.508757754489077,0.00012280630295524668,True
10:1:124,10_124,128,35.4047241835553,0.4999899476403376,35.405435999908654,-11.029475609486871,0.0010804408267947793,True
10:1:124,10_124,256,35.47345747968869,0.49999131874515523,35.4740733986318,-11.052340926529961,0.00027288625715061543,True
10:1:124,10_124,512,35.490824068248145,0.499992858744239,35.49133097359171,-11.07677421760146,7.285776834306995e-05,True
