catalog_id,topology_key,resolutions_json,last_length_relative_change,last_reach_relative_change,last_writhe_absolute_change,convergence_status,thresholds
0:1:1,0_1,"[128, 256, 512]",1.8824717398898975e-05,1.3633538742422558e-12,0.0,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
0:1:2,0_2,"[128, 256, 512]",1.882471739875762e-05,0.0,0.0,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
2:2:1,2^2_1,"[128, 256, 512]",1.8824717398946094e-05,0.00011293519493124953,0.0,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
3:1:1,3_1,"[128, 256, 512]",0.00014996964194413483,0.03768535389523846,0.009010019894167609,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
4:1:1,4_1,"[128, 256, 512]",0.0002263093317924483,3.050076188790998e-06,1.4819692390341738e-05,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
5:1:1,5_1,"[128, 256, 512]",0.00031685061395564845,8.063560963498584e-06,0.02402649125008338,PASS_DIAGNOSTIC_THRESHOLDS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
5:1:2,5_2,"[128, 256, 512]",0.0003244942872755661,0.15456589476292276,0.013051578295120159,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
6:1:1,6_1,"[128, 256, 512]",0.0004187843871091697,0.03984460188519508,0.022950243272714443,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
6:1:2,6_2,"[128, 256, 512]",0.0004343814700936815,0.1305264772490243,0.01897887039492696,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
6:1:3,6_3,"[128, 256, 512]",0.00042349787419608596,0.0634835461414293,0.004433837040609302,NOT_CONVERGED_AT_REQUESTED_LEVELS,length<=1e-3; reach<=2e-2; |dWr|<=5e-2
