source,family,value,screen_growth,spectral_state,direct_rpo_pass,shooting_rpo_pass,best_scan_recurrence,best_scan_return_ratio,shooting_continuity_rms,shooting_closure_at_T,floquet_bounded,floquet_rho_non,classification
charge__60,charge,60.0,0.0016426145076706825,PENDING,False,False,0.10059662011195865,1.0,,,False,,NO_CERTIFIED_RPO
hooke__0p5,hooke,0.5,0.00249076911105104,PENDING,False,False,0.05096424983352845,1.0,,,False,,NO_CERTIFIED_RPO
