blind_id,monopole_1_over_r,v2_exponent_abs_error,monopole_plateau,pressure_poisson_monopole,pressure_phi_closure,tail_isotropy,beltrami_closure,overall
K_C7DC2950788C,FAIL,4.968241395875519,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_DD2C03CF417B,FAIL,4.9967478994486925,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_19B368E59AED,FAIL,5.018587452499268,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_1ABDAABA12B6,FAIL,4.995770266582134,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_CF92E1071C76,FAIL,5.050858415221835,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_A566B1DEB66D,FAIL,4.999270508135723,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_1CC11752EECA,FAIL,5.172813675732948,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_CC8D0845368D,FAIL,5.0266018811580535,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_457F54DE2A46,FAIL,5.0068459201008775,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_E74E631130C7,FAIL,4.99996228051266,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_6F91A8F13F8F,FAIL,4.998652329207296,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_8DCAD088F6D8,FAIL,5.026813486284973,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_4C76167C01D3,FAIL,5.038090578037695,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_0DDAE583D000,FAIL,5.108132435186896,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_A7D0AE82EEEB,FAIL,4.998711192799181,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_1FB86F8EC279,FAIL,4.996373772161694,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_1931167FB8EF,FAIL,5.034257630744354,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_407A28D944DF,FAIL,4.997274186813053,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_AC366EE8697E,FAIL,5.011078271460165,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_D51FC05BAC2B,FAIL,5.007243965696446,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_1CABF6170165,FAIL,5.00240900016159,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_E53BF3CE0FCA,FAIL,5.0120866194101374,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_27FC810CAF76,FAIL,5.015281851926863,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_C75E13C6350E,FAIL,6.354426385964771,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_6D8C79729892,FAIL,5.018145473896435,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_BF0B5AA47131,FAIL,5.001212631310946,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_E2CA4F9C0BB3,FAIL,5.064705600894823,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_6CA7D1A711CE,FAIL,5.045938234425422,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_CD95A81CD2CF,FAIL,5.108696289228563,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_87FA62BBE542,FAIL,5.128726021283095,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_E57EDBD0D445,FAIL,5.018064822736256,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_BD44E8868E58,FAIL,5.005190554349947,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_556812E2D5CC,FAIL,5.037608324138407,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_7E39AC7E0592,FAIL,5.042115202640632,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_5C903FE7DD28,FAIL,5.0192216445802105,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_4B4AB76061B2,FAIL,4.99784295382559,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_2CE36F5EEB80,FAIL,4.996040327062539,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_0A069D33C5E5,FAIL,5.001514024423896,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_7AFEDA9B5A86,FAIL,4.996315063629744,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_54C84D7AE5C6,FAIL,5.001044537031485,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_815FBFFA77C1,FAIL,4.997008093157723,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_8D07A81DC11B,FAIL,5.000700489200376,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_DA8C4925D735,FAIL,4.997263221188335,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_FCB121101D97,FAIL,4.9999317144875,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_DD20ED17B181,FAIL,5.000332987194487,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_E02CE8D3915C,FAIL,5.000786398132793,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_C4CB70901706,FAIL,5.000128977982591,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_D89AA47313CD,FAIL,5.000233017928193,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
K_D034F7BFAFEA,FAIL,5.000180647596378,FAIL,FAIL,PASS,FAIL,FAIL,FAIL
