blind_id,status,n_input,thickness_raw,length_raw,ropelength_estimate,extent_core,tail_v2_exponent,tail_v2_fit_r2,tail_velocity_exponent,tail_mu_amp_log_slope,tail_mu_amp_fit_r2,tail_mu_poisson_log_slope,tail_mu_poisson_fit_r2,tail_mu_phi_log_slope,tail_mu_phi_fit_r2,tail_mu_amp_norm_median,tail_mu_poisson_norm_median,tail_mu_phi_norm_median,tail_poisson_to_amp_ratio,tail_phi_to_amp_ratio,tail_poisson_to_phi_ratio,tail_poisson_positive_fraction,tail_anisotropy_median,tail_beltrami_misalignment_median,poisson_identity_rel_rms_max,divergence_rms_norm_max,mu_amp_phys_m3_s2,mu_poisson_phys_m3_s2,mu_phi_phys_m3_s2,mass_amp_kg,mass_poisson_kg,mass_phi_kg,thickness_limiter,thickness_local_raw,thickness_nonlocal_raw
K_C7DC2950788C,OK,300,0.28444463202861003,3.155004366942092,11.091804912756292,1.7656407883286684,5.968241395875519,0.9999983611841103,2.9841206979377595,-4.968241395875523,0.999997635075754,-4.968474310237536,0.9999976971529282,-4.95747401735612,0.9999957084639705,2.6155273588980846e-07,1.5693829598486938e-06,1.5617814688592678e-06,6.000254421004684,5.9711914828420785,1.004867192460017,1.0,0.4371516257374855,0.99999999999989,1.450366827964545e-16,4.189674755318673e-18,1.7407358542489474e-08,1.0444858005258612e-07,1.0394267106769144e-07,260.8117486850977,1564.93684809772,1557.3568923736038,curvature,0.28444463202861003,0.4965931350634694
K_DD2C03CF417B,OK,300,0.4034818135486006,46.22317837589344,114.56074802817778,5.528902008468177,5.9967478994486925,0.999999982737793,2.9983739497243462,-4.996747899448686,0.999999975137029,-4.996763102731901,0.9999999755002933,-4.995642696185496,0.9999999549712824,1.5693351958238428e-07,9.416048681171741e-07,9.411390607298833e-07,6.000023899437663,5.997055716550219,1.00049494002186,1.0,0.4504730456303114,0.9999749499001194,1.4344715517246002e-16,6.995655166399564e-19,1.0444540116973793e-08,6.26674903204782e-08,6.263648901523579e-08,156.48892193898678,938.9372716311555,938.4727838909818,curvature,0.4034818135486006,0.49998995665527357
K_19B368E59AED,OK,300,0.38992814609998827,43.87016295193733,112.508325933178,7.761534803787212,6.0185874524992675,0.9999994523968624,3.0092937262496338,-5.0185874524992675,0.9999992124248919,-5.025364309661424,0.9999985331936364,-5.024797223915613,0.9999985998124543,3.855260372471034e-09,2.320245203509808e-08,2.3196635472868235e-08,6.018387811307915,6.016879077352776,1.0002507502537017,1.0,0.45247952141959885,0.9995643716513851,1.5493340614940787e-16,1.527782427810592e-19,2.565826709858162e-10,1.544214019653865e-09,1.5438269046658486e-09,3.844338297436678,23.136718751837122,23.13091866811274,curvature,0.38992814609998827,0.4999848511891537
K_1ABDAABA12B6,OK,300,0.3341131294066209,16.374170934377258,49.00786438251468,4.77464233445885,5.995770266582134,0.9999999724712514,2.997885133291067,-4.99577026658213,0.999999960347414,-4.9958794372889095,0.9999999641175641,-4.99438127688893,0.9999999304507271,8.789537095024968e-08,5.273823145471615e-07,5.270328823244598e-07,6.0001147824459276,5.996139234940708,1.0006630178769123,1.0,0.4411877753851693,0.9989034033384674,1.4823607327522417e-16,7.201601928117803e-19,5.849781043776602e-09,3.5099357714835966e-08,3.5076101632401295e-08,87.64636057379205,525.8882237063957,525.5397814362749,curvature,0.3341131294066209,0.4999994754116922
K_CF92E1071C76,OK,300,0.28638838983727477,22.430956751039623,78.32355481933064,7.161203993490768,6.050858415221835,0.999996194940191,3.0254292076109177,-5.050858415221832,0.9999945390982743,-5.067798314757284,0.9999905085434011,-5.067132983464429,0.9999907050242329,9.579775366882016e-09,5.794194850826926e-08,5.7924883065596055e-08,6.048361917606003,6.04658051438728,1.0002946133297133,1.0,0.45541324828303403,0.9996870959627736,1.4591349612957506e-16,1.796231006889421e-19,6.375715551225543e-10,3.856263513752093e-09,3.855127741731632e-09,9.552635559123118,57.77779712856919,57.76078003283689,curvature,0.28638838983727477,0.49999141853984663
K_A566B1DEB66D,OK,300,0.3691939952423252,23.683189368220646,64.14836013970347,5.766198956184762,5.999270508135723,0.9999999993283384,2.9996352540678615,-4.999270508135727,0.9999999990327602,-5.0000757072514626,0.9999999998703022,-4.999057175307454,0.9999999984877853,5.2623840634240533e-08,3.158501663049516e-07,3.157071290065885e-07,6.002035626784691,5.999317518477902,1.0004530695864016,1.0,0.44145640377085055,0.9983855950115214,1.4440529526248203e-16,3.76303900127915e-19,3.5023226145452286e-09,2.102106510899417e-08,2.1011545416802517e-08,52.47475562299011,314.95535275600696,314.8127206868513,curvature,0.3691939952423252,0.5000001934762706
K_1CC11752EECA,OK,300,0.31519211847296197,25.98148130586643,82.43061860728346,7.456699619902611,6.172813675732948,0.9999622883351861,3.086406837866474,-5.172813675732952,0.9999462991170823,-5.224151227674472,0.9999158449111966,-5.223543331196823,0.9999163487455283,1.5534459869308065e-09,9.57253985574146e-09,9.569950453624966e-09,6.162132405166037,6.160465528983487,1.0002705763346469,1.0,0.6514913509443178,0.9949773863509067,1.6176486219706876e-16,1.9676065469334272e-19,1.033879121122573e-10,6.37090003529399e-10,6.369176686811354e-10,1.5490450251300858,9.54542054641534,9.542838480157252,curvature,0.31519211847296197,0.5000000431602567
K_CC8D0845368D,OK,300,0.3360754291472851,29.588078288942583,88.03999258147374,7.5199863134113745,6.0266018811580535,0.9999988284203197,3.0133009405790268,-5.026601881158054,0.9999983159009344,-5.036324666736181,0.9999968374861213,-5.035711930809491,0.9999969441839185,4.533187655759419e-09,2.731527816589407e-08,2.730794137645417e-08,6.025622639113557,6.0240041776694175,1.0002686687121067,1.0,0.4671320271936605,0.9980525117154371,1.477606219467198e-16,1.4972324304513366e-19,3.017013857482129e-10,1.8179387002163638e-09,1.8174504081558868e-09,4.520344991208261,27.237893115628065,27.230577111545585,curvature,0.3360754291472851,0.5000000717591818
K_457F54DE2A46,OK,300,0.3534756604897295,28.518110552399488,80.67913505809292,6.329655395660531,6.0068459201008775,0.9999999266332199,3.0034229600504387,-5.0068459201008775,0.9999998943999858,-5.00996067502695,0.9999997757231661,-5.00911699235926,0.999999813112924,3.195099361191895e-08,1.919770973153701e-07,1.919050224374327e-07,6.008485984728664,6.006230190157365,1.0003755757771315,1.0,0.4465896075671362,0.9996568843503837,1.4778926817349716e-16,3.1101113950050314e-19,2.1264637117991463e-09,1.2776827409379264e-08,1.2772030544082122e-08,31.860475432616852,191.43322010367027,191.36134941615038,curvature,0.3534756604897295,0.5000002682181812
K_E74E631130C7,OK,300,0.36890908591529875,28.92659875780472,78.41118547144227,5.89681890867433,5.99996228051266,0.9999999999910365,2.99998114025633,-4.999962280512664,0.9999999999870924,-5.000965928368538,0.9999999968705278,-4.999991064896638,0.9999999999331916,4.59793332844896e-08,2.759927507388341e-07,2.758732416468695e-07,6.0025392067165075,5.999940015222686,1.0004332029132337,1.0,0.44823060631157063,0.9999642003026411,1.5363381141224352e-16,3.4328426973445527e-19,3.0601046374255027e-09,1.8368398062801584e-08,1.8360444264857782e-08,45.84907237351487,275.21085451360574,275.09168399469286,curvature,0.36890908591529875,0.4999984816230581
