lambda_,solver_kind,bem_enabled,bem_panels,bem_n_eta,bem_n_phi,bem_self_term,bem_rhs_flux_before_projection,bem_rhs_flux_after_projection,bem_linear_residual,bem_sigma_l2,bem_predicted_neumann_error,raw_ring_circulation,ring_scale_to_plus_2pi,circulation_signed,circulation_magnitude_error,circulation_signed_error,bem_correction_circulation,neumann_boundary_error,neumann_boundary_error_direct_probe,offset_probe,offset_probe_min_error,offset_probe_max_error,offset_probe_last_error,divergence_error,curl_error,farfield_decay_error,chi_K,chi_cav,chi_E_hollow,residual_kinetic_to_2pi,residual_total_to_2pi,analytic_total_horn_falsifies_2pi,gate_circulation_pass,gate_circulation_orientation_pass,gate_bem_correction_no_circulation_pass,gate_neumann_pass,gate_neumann_first_acceptance_pass,gate_offset_probe_pass,gate_harmonic_pass,gate_farfield_pass,gate_kinetic_2pi_pass,gate_total_2pi_pass,mesh_cells,dof,n_ring,n_surface,n_volume,box_radius,source_eps,solver_residual,energy_refinement_error,audit_kind,volume_grid,delta_chi_K_from_previous,rel_delta_chi_K_from_previous
1.2,pybind11_bem_neumann_corrected,True,288,12,24,0.5,-9.298117831235686e-16,-7.008282842946301e-16,9.043298908667263e-16,0.6117023081517733,4.425780039649543e-16,-6.241055580248471,-1.0067504168789085,6.283185421354282,1.817146721982965e-08,1.817146721982965e-08,1.1417469577418293e-07,4.425780039649543e-16,0.2390943845818401,"[{'offset': 0.1, 'neumann_error_offset': 0.6117027706768922, 'samples': 512}, {'offset': 0.01, 'neumann_error_offset': 0.3561272505636458, 'samples': 512}, {'offset': 0.001, 'neumann_error_offset': 0.30049322091818814, 'samples': 512}, {'offset': 0.0001, 'neumann_error_offset': 0.29531345257865427, 'samples': 512}]",0.29531345257865427,0.6117027706768922,0.29531345257865427,2.4236404092821694e-05,0.0025882334487462803,0.004617323896016309,11.218737130433443,11.84352528130723,23.062262411740672,0.7855174695570678,2.670473061710944,True,True,True,True,True,True,False,True,True,False,False,2712,3000,256,32,14,6.0,0.08,9.043298908667263e-16,nan,volume_refinement,14,nan,nan
1.2,pybind11_bem_neumann_corrected,True,288,12,24,0.5,-9.298117831235686e-16,-7.008282842946301e-16,9.043298908667263e-16,0.6117023081517733,4.425780039649543e-16,-6.241055580248471,-1.0067504168789085,6.283185421354282,1.817146721982965e-08,1.817146721982965e-08,1.1417469577418293e-07,4.425780039649543e-16,0.2390943845818401,"[{'offset': 0.1, 'neumann_error_offset': 0.6117027706768922, 'samples': 512}, {'offset': 0.01, 'neumann_error_offset': 0.3561272505636458, 'samples': 512}, {'offset': 0.001, 'neumann_error_offset': 0.30049322091818814, 'samples': 512}, {'offset': 0.0001, 'neumann_error_offset': 0.29531345257865427, 'samples': 512}]",0.29531345257865427,0.6117027706768922,0.29531345257865427,2.4236404092821694e-05,0.0025882334487462803,0.004617323896016309,15.426701068810589,11.84352528130723,27.270226350117817,1.4552357307022303,3.3401913228561058,True,True,True,True,True,True,False,True,True,False,False,5768,6056,256,32,18,6.0,0.08,9.043298908667263e-16,nan,volume_refinement,18,4.207963938377146,0.3750835668447977
1.2,pybind11_bem_neumann_corrected,True,288,12,24,0.5,-9.298117831235686e-16,-7.008282842946301e-16,9.043298908667263e-16,0.6117023081517733,4.425780039649543e-16,-6.241055580248471,-1.0067504168789085,6.283185421354282,1.817146721982965e-08,1.817146721982965e-08,1.1417469577418293e-07,4.425780039649543e-16,0.2390943845818401,"[{'offset': 0.1, 'neumann_error_offset': 0.6117027706768922, 'samples': 512}, {'offset': 0.01, 'neumann_error_offset': 0.3561272505636458, 'samples': 512}, {'offset': 0.001, 'neumann_error_offset': 0.30049322091818814, 'samples': 512}, {'offset': 0.0001, 'neumann_error_offset': 0.29531345257865427, 'samples': 512}]",0.29531345257865427,0.6117027706768922,0.29531345257865427,2.4236404092821694e-05,0.0025882334487462803,0.004617323896016309,18.076592010180338,11.84352528130723,29.920117291487568,1.8769789726756618,3.7619345648295375,True,True,True,True,True,True,False,True,True,False,False,10504,10792,256,32,22,6.0,0.08,9.043298908667263e-16,nan,volume_refinement,22,2.6498909413697493,0.1717730141752243
1.2,pybind11_bem_neumann_corrected,True,288,12,24,0.5,-9.298117831235686e-16,-7.008282842946301e-16,9.043298908667263e-16,0.6117023081517733,4.425780039649543e-16,-6.241055580248471,-1.0067504168789085,6.283185421354282,1.817146721982965e-08,1.817146721982965e-08,1.1417469577418293e-07,4.425780039649543e-16,0.2390943845818401,"[{'offset': 0.1, 'neumann_error_offset': 0.6117027706768922, 'samples': 512}, {'offset': 0.01, 'neumann_error_offset': 0.3561272505636458, 'samples': 512}, {'offset': 0.001, 'neumann_error_offset': 0.30049322091818814, 'samples': 512}, {'offset': 0.0001, 'neumann_error_offset': 0.29531345257865427, 'samples': 512}]",0.29531345257865427,0.6117027706768922,0.29531345257865427,2.4236404092821694e-05,0.0025882334487462803,0.004617323896016309,15.87312527406033,11.84352528130723,27.716650555367558,1.5262863496835974,3.411241941837473,True,True,True,True,True,True,False,True,True,False,False,17360,17648,256,32,26,6.0,0.08,9.043298908667263e-16,nan,volume_refinement,26,-2.203466736120008,-0.12189613699745308
