lambda_,solver_kind,bem_enabled,bem_panels,bem_n_eta,bem_n_phi,bem_self_term,bem_rhs_flux_before_projection,bem_rhs_flux_after_projection,bem_linear_residual,bem_sigma_l2,bem_predicted_neumann_error,raw_ring_circulation,ring_scale_to_plus_2pi,circulation_signed,circulation_magnitude_error,circulation_signed_error,bem_correction_circulation,neumann_boundary_error,neumann_boundary_error_direct_probe,offset_probe,offset_probe_min_error,offset_probe_max_error,offset_probe_last_error,divergence_error,curl_error,farfield_decay_error,chi_K,chi_cav,chi_E_hollow,residual_kinetic_to_2pi,residual_total_to_2pi,analytic_total_horn_falsifies_2pi,gate_circulation_pass,gate_circulation_orientation_pass,gate_bem_correction_no_circulation_pass,gate_neumann_pass,gate_neumann_first_acceptance_pass,gate_offset_probe_pass,gate_harmonic_pass,gate_farfield_pass,gate_kinetic_2pi_pass,gate_total_2pi_pass,mesh_cells,dof,n_ring,n_surface,n_volume,box_radius,source_eps,solver_residual,energy_refinement_error
1.05,pybind11_bem_neumann_corrected,True,288,12,24,0.5,-2.7096380694757727e-15,9.71445146547012e-17,1.084290914154301e-15,0.6037977715282423,6.073230457962834e-16,-6.23496470412276,-1.0077339015287354,6.281782990691308,0.00022318560088874229,0.00022318560088874229,-0.0014023164882756185,6.073230457962834e-16,0.24744420238705947,"[{'offset': 0.1, 'neumann_error_offset': 0.6497311089704221, 'samples': 512}, {'offset': 0.01, 'neumann_error_offset': 0.37774838077842393, 'samples': 512}, {'offset': 0.001, 'neumann_error_offset': 0.3192210320935423, 'samples': 512}, {'offset': 0.0001, 'neumann_error_offset': 0.3137529112226264, 'samples': 512}]",0.3137529112226264,0.6497311089704221,0.3137529112226264,4.214535624646991e-05,0.002137983462908972,0.0036380128697546393,10.622320884582445,10.363084621143827,20.98540550572627,0.6905948758895704,2.3399310190242115,True,True,True,False,True,True,False,True,True,False,False,5784,6072,256,32,18,6.0,0.08,1.084290914154301e-15,nan
1.1,pybind11_bem_neumann_corrected,True,288,12,24,0.5,-1.27675647831893e-15,-1.0928757898653885e-15,9.713780943464019e-16,0.6081210677449997,5.007753141683509e-16,-6.2375156482967755,-1.0073217706307929,6.283185580091547,4.3435287588877713e-08,4.3435287588877713e-08,2.7291195780695943e-07,5.007753141683509e-16,0.24403754617523146,"[{'offset': 0.1, 'neumann_error_offset': 0.6338673303038446, 'samples': 512}, {'offset': 0.01, 'neumann_error_offset': 0.3694959812525964, 'samples': 512}, {'offset': 0.001, 'neumann_error_offset': 0.31204919210693705, 'samples': 512}, {'offset': 0.0001, 'neumann_error_offset': 0.30668721407702626, 'samples': 512}]",0.30668721407702626,0.6338673303038446,0.30668721407702626,1.9200772830260317e-05,0.0022861495663821915,0.003950986140698581,12.388446960026858,10.856564841198294,23.245011801225154,0.9716825709200384,2.699558530394425,True,True,True,True,True,True,False,True,True,False,False,5784,6072,256,32,18,6.0,0.08,9.713780943464019e-16,nan
1.2,pybind11_bem_neumann_corrected,True,288,12,24,0.5,-9.298117831235686e-16,-7.008282842946301e-16,9.043298908667263e-16,0.6117023081517733,4.425780039649543e-16,-6.241055580248471,-1.0067504168789085,6.283185421354282,1.817146721982965e-08,1.817146721982965e-08,1.1417469577418293e-07,4.425780039649543e-16,0.2390943845818401,"[{'offset': 0.1, 'neumann_error_offset': 0.6117027706768922, 'samples': 512}, {'offset': 0.01, 'neumann_error_offset': 0.3561272505636458, 'samples': 512}, {'offset': 0.001, 'neumann_error_offset': 0.30049322091818814, 'samples': 512}, {'offset': 0.0001, 'neumann_error_offset': 0.29531345257865427, 'samples': 512}]",0.29531345257865427,0.6117027706768922,0.29531345257865427,2.4236404092821694e-05,0.0025882334487462803,0.004617323896016309,15.426701068810589,11.84352528130723,27.270226350117817,1.4552357307022303,3.3401913228561058,True,True,True,True,True,True,False,True,True,False,False,5768,6056,256,32,18,6.0,0.08,9.043298908667263e-16,nan
1.5,pybind11_bem_neumann_corrected,True,288,12,24,0.5,-2.0018708912772354e-15,-1.7243151351209463e-15,1.2009527742283664e-15,0.5994569599373866,4.537092762091675e-16,-6.246071310196564,-1.005941974585278,6.283185383109611,1.208463884516675e-08,1.208463884516675e-08,7.593001952709011e-08,4.537092762091675e-16,0.23151350344989824,"[{'offset': 0.1, 'neumann_error_offset': 0.5684588888373248, 'samples': 512}, {'offset': 0.01, 'neumann_error_offset': 0.3272239474091715, 'samples': 512}, {'offset': 0.001, 'neumann_error_offset': 0.27646467763621335, 'samples': 512}, {'offset': 0.0001, 'neumann_error_offset': 0.2717688773257185, 'samples': 512}]",0.2717688773257185,0.5684588888373248,0.2717688773257185,3.0221544090199423e-05,0.0026769593557184916,0.006917370331010558,28.875551711425626,14.804406601634037,43.679958313059664,3.5956867893790267,5.951881279571372,True,True,True,True,True,True,False,True,True,False,False,5776,6064,256,32,18,6.0,0.08,1.2009527742283664e-15,nan
2.0,pybind11_bem_neumann_corrected,True,288,12,24,0.5,-7.042977312465837e-16,-5.447031714567174e-16,9.91346589687862e-16,0.5549395573932518,3.283553544139561e-16,-6.24883360036292,-1.0054972990182793,6.283185308324289,1.8218515585033401e-10,1.8218515585033401e-10,1.144701701483175e-09,3.283553544139561e-16,0.22565243836585894,"[{'offset': 0.1, 'neumann_error_offset': 0.5171045966607699, 'samples': 512}, {'offset': 0.01, 'neumann_error_offset': 0.29359831762846067, 'samples': 512}, {'offset': 0.001, 'neumann_error_offset': 0.2509616323578953, 'samples': 512}, {'offset': 0.0001, 'neumann_error_offset': 0.24702416132991115, 'samples': 512}]",0.24702416132991115,0.5171045966607699,0.24702416132991115,3.374361676505174e-05,0.002988367402244426,0.011680623131719345,41.906213142076226,19.739208802178716,61.64542194425494,5.669580967823978,8.811173621413772,True,True,True,True,True,True,False,True,True,False,False,5736,6024,256,32,18,6.0,0.08,9.91346589687862e-16,nan
