blind_id,source,topology_class,components,status,component_count,core_radius_norm,thickness_norm,core_clearance_radii,shape_velocity_ratio,normalized_growth,jacobian_convergence,nearest_self_distance,nearest_inter_distance,nearest_relevant_rate,TBK_block_diagonal_growth_penalty,ringdown_max_recurrence,ringdown_core_event,linking_drift_max,rpo_found,floquet_valid,floquet_rho_non,analysis_scope,jacobian_reference_eps,jacobian_convergence_eps_count,jacobian_robustness_eps_count,jacobian_robustness_relative_drift_max,dominant_kmax_boundary_weight,dominant_kelvin_k,kmax_basis_present,min_component_nyquist_k,spectral_nyquist_fraction,spectral_nyquist_safe,reduced_mode_count,spectral_extension_fast_path
B01,knotplot:knot_10.1,knot,1,LINEAR_FAIL,1,0.06442574492875232,0.07158416103194702,0.7426497253681176,0.513351066897643,0.08252171277681919,0.07683365163627558,0.1431695892482137,inf,0.18923418539804862,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.020278739414162104,6,True,360,0.06666666666666667,True,95,True
B02,fremlin:8_14:knot.8_14d,knot,1,LINEAR_FAIL,1,0.02519187931200756,0.02799097701334173,1.1111111111111112,0.8719674225048539,0.999999999999993,0.1548186023703634,1.8705538476562058e-14,inf,-0.20293022669560962,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.012272321478699168,11,True,360,0.06666666666666667,True,95,True
B03,fremlin:15331:knot.15331,knot,1,LINEAR_FAIL,1,0.011280989960755432,0.012534433289728258,1.1111111111111112,0.5145017784090531,0.0634464599801179,0.5240164455688145,4.615798956820346e-17,inf,-8.169703373969934e-14,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.03282863615631677,14,True,360,0.06666666666666667,True,95,True
B04,fremlin:6_3:knot.6_3d,knot,1,LINEAR_FAIL,1,0.03280760834087177,0.03645289815652419,1.111111111111111,0.5336928492251796,0.38441777260672544,0.0955397706274263,2.6588050055603613e-14,inf,-0.5010612427151215,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.0026643624595876604,7,True,360,0.06666666666666667,True,95,True
B05,fremlin:8_11:knot.8_11d,knot,1,LINEAR_FAIL,1,0.0265711089390462,0.029523454376718,1.1111111111111112,0.60364772143026,0.18893877283352722,0.1539698487411698,1.1148340100961072e-14,inf,0.20879438190608193,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.02503293636914504,5,True,360,0.06666666666666667,True,95,True
B06,fremlin:5_1:knot.5_1,knot,1,LINEAR_FAIL,1,0.1075559687748924,0.11950663197210266,1.1111111111111112,0.33491743342464886,0.2031136583440263,0.010628920117102494,0.23901326394420533,inf,0.4454624062120679,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,6.5295923971843835e-15,5,True,360,0.06666666666666667,True,95,True
B07,knotplot:torus_2.11,torus_knot,1,LINEAR_FAIL,1,0.05833578811885313,0.06481754235428125,0.7225812329402115,0.3404981906650139,0.32638168389134486,0.014723403359147916,0.1296373666069957,inf,-0.11727273858556247,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,3.276101922143648e-07,3,True,360,0.06666666666666667,True,95,True
B08,fremlin:8_19:knot.8_19u,knot,1,LINEAR_FAIL,1,0.07173270953550862,0.07970301059500957,1.1111111111111112,0.4911200917886451,0.1895995917729176,0.01986218069272365,0.15940602119001915,inf,0.19426859548258463,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.003254589221869148,3,True,360,0.06666666666666667,True,95,True
B09,knotplot:knot_10.123,knot,1,LINEAR_FAIL,1,0.06114520010225655,0.0679391112247295,0.7038414012736248,0.18374290984474803,0.1242587535597875,0.08715848766505768,0.1358822855084465,inf,-0.03502994836154766,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.027564175371271014,11,True,360,0.06666666666666667,True,95,True
B10,knotplot:knot_0.1,unknot,1,LINEAR_FAIL,1,0.8961530475941017,0.9957256084378908,0.4610862107666405,0.0001135808537236682,0.3089981178581562,0.03236517217943845,0.5260300012048048,inf,0.0,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,2.612782412426164e-09,2,True,360,0.06666666666666667,True,95,True
B100,fremlin:8_16:knot.8_16,knot,1,LINEAR_FAIL,1,0.01525498621276673,0.01694998468085192,1.1111111111111112,0.7356493821853011,0.2202891462063192,0.24074219010736234,0.004567369625852662,inf,-0.10614638748603528,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.005378366264591145,3,True,360,0.06666666666666667,True,95,True
B101,fremlin:3_1:knot.3_1u,knot,1,LINEAR_FAIL,1,0.12758157115741287,0.1417573012860143,1.1111111111111112,0.4903994299081207,0.14824650321866653,0.017070965116062105,0.2835146025720286,inf,-0.1263010274496611,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.0004938829907100682,2,True,360,0.06666666666666667,True,95,True
B102,knotplot:knot_7.4,knot,1,LINEAR_FAIL,1,0.08794087529561379,0.0977120836617931,0.6484408837585619,0.47617248031653514,0.03928846588577898,0.10439968659499249,0.19542589796397844,inf,0.011249577633296443,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.011158680327906824,11,True,360,0.06666666666666667,True,95,True
B103,fremlin:8_2:knot.8_2,knot,1,LINEAR_PASS,1,0.059789176298927015,0.0664324181099189,1.111111111111111,0.36575859227906193,0.09561379433111546,0.08114438777986922,0.1328648362198378,inf,0.06577265206745297,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.050721765590696626,4,True,360,0.06666666666666667,True,95,True
B104,fremlin:6_3:knot.6_3z,knot,1,LINEAR_FAIL,1,0.0774350004738845,0.08603888941542723,1.1111111111111112,0.3238083874608735,0.312475059180674,0.017983734363742544,0.17207777883085446,inf,-0.722929364760992,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,7.0075915508530555e-28,5,True,360,0.06666666666666667,True,95,True
B105,fremlin:3_1:knot.3_1p,knot,1,LINEAR_PASS,1,0.14554124204031058,0.16171249115590064,1.1111111111111112,0.30453939602151653,0.09304137232034551,0.016321551658218237,0.3234249823118013,inf,-0.058242849773796124,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,4.431761906270442e-27,3,True,360,0.06666666666666667,True,95,True
B106,fremlin:8_5:knot.8_5,knot,1,LINEAR_FAIL,1,0.048597190225963934,0.05399687802884882,1.1111111111111112,0.4445678513708165,0.21148233359677493,0.05351530237988964,0.1409062679840633,inf,-0.10141655618852274,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.0017963887103303513,5,True,360,0.06666666666666667,True,95,True
B107,fremlin:8_10:knot.8_10s,knot,1,LINEAR_FAIL,1,0.055350470174139126,0.06150052241571014,1.1111111111111112,0.33812924405790845,0.18296407996940547,0.07390603072125766,0.12300104483142028,inf,-0.6623397920592782,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.002446110375316877,5,True,360,0.06666666666666667,True,95,True
B108,fremlin:10_1:knot.10_1,knot,1,LINEAR_FAIL,1,0.01921163483648789,0.02134626092943099,1.1111111111111112,0.616374015920392,0.4691996798704803,0.09399117105548935,0.004369135652595731,inf,0.609655860797338,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.03534282206056809,12,True,360,0.06666666666666667,True,95,True
B109,fremlin:7_5:knot.7_5d,knot,1,LINEAR_FAIL,1,0.012436536923121248,0.013818374359023609,1.1111111111111112,0.8950052829501712,0.4949443783730856,0.3240686679240997,1.262715246531271e-15,inf,0.22264848324074718,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.002023161019300905,13,True,360,0.06666666666666667,True,95,True
B11,fremlin:8_2:knot.8_2d,knot,1,LINEAR_FAIL,1,0.02300400210309074,0.025560002336767487,1.111111111111111,0.561867212385872,0.42405773412325,0.11599628517853687,9.71340326664067e-15,inf,0.23386623094175668,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.011482807764842236,6,True,360,0.06666666666666667,True,95,True
B110,fremlin:8_12:knot.8_12d,knot,1,LINEAR_FAIL,1,0.0001617932050865029,0.00017977022787389211,1.1111111111111112,0.9662410063199448,0.27666895247153245,0.6393033589881298,1.4902489359300866e-14,inf,-1.283237978123161,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.0465626142276887,23,True,360,0.06666666666666667,True,95,True
B111,knotplot:knot_6.2,knot,1,LINEAR_FAIL,1,0.09912847390585834,0.11014274878428704,0.6517578365549246,0.29624688705902263,0.06846473956671024,0.09022125936267064,0.22028744956619078,inf,-0.5725790901858641,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.012256711118063306,9,True,360,0.06666666666666667,True,95,True
B112,knotplot:link_2.2.1,link,2,LINEAR_PASS,2,0.08543019852161014,0.09492244280178905,1.1112018641001065,0.29006847093338123,0.008321233867040983,0.08315255678717126,0.26612973832794934,0.1898603916953107,0.00579856138818057,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.010304562400507485,5,True,180,0.13333333333333333,True,190,True
B113,fremlin:8_8:knot.8_8d,knot,1,LINEAR_FAIL,1,0.0011826783451477016,0.001314087050164113,1.1111111111111112,0.9878722748066059,0.15927594086777297,0.5660362003656353,1.0968707118257839e-14,inf,-0.06763951381140294,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.010356498425284522,2,True,360,0.06666666666666667,True,95,True
B114,fremlin:8_15:knot.8_15p,knot,1,LINEAR_FAIL,1,0.016503877790517898,0.01833764198946433,1.1111111111111112,0.706049764903885,0.4654985257246147,0.19125623875938666,0.0007263221381710139,inf,-1.9094591380847151e-13,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.012684300712385679,2,True,360,0.06666666666666667,True,95,True
B115,fremlin:8_6:knot.8_6,knot,1,LINEAR_FAIL,1,0.03814584846192294,0.04238427606880327,1.1111111111111112,0.5357916120774422,0.2153446988280716,0.024433619283390665,0.10803519042931585,inf,5.818232410533284e-13,nan,nan,False,0.0,False,False,nan,linear_convergence_only,0.004,4,0,0.0,0.006821276577562242,13,True,360,0.06666666666666667,True,95,True
