formula_family,base,density_exp,speed_exp_c_over_v,coeff_power_2,coeff_power_pi,coeff_value,F_candidate_N,F_target_N,ratio,rel_error,abs_rel_error,tp_from_candidate_s,tp_ref_s,tp_ratio
2^4 pi^-2 * F_swirl=m_e c^2/(2 r_c) * (rho_core/rho_f)^1 * (c/v)^{7},F_swirl=m_e c^2/(2 r_c),1,7,4,-2,1.6211389382774044,3.0430315052799754e+43,3.0256389108455157e+43,1.0057484038733489,0.005748403873348851,0.005748403873348851,5.375817403190086e-44,5.391246446661944e-44,0.9971381305557991
2^4 pi^-1 * rho_f v^2 r_c^2 * (rho_core/rho_f)^2 * (c/v)^{7},rho_f v^2 r_c^2,2,7,4,-1,5.092958178940651,3.0430315052799754e+43,3.0256389108455157e+43,1.0057484038733489,0.005748403873348851,0.005748403873348851,5.375817403190086e-44,5.391246446661944e-44,0.9971381305557991
2^4 pi^-1 * rho_core v^2 r_c^2 * (rho_core/rho_f)^1 * (c/v)^{7},rho_core v^2 r_c^2,1,7,4,-1,5.092958178940651,3.0430315052799754e+43,3.0256389108455157e+43,1.0057484038733489,0.005748403873348851,0.005748403873348851,5.375817403190086e-44,5.391246446661944e-44,0.9971381305557991
2^4 pi^-1 * rho_core c^2 r_c^2 * (rho_core/rho_f)^1 * (c/v)^{5},rho_core c^2 r_c^2,1,5,4,-1,5.092958178940651,3.0430315052799754e+43,3.0256389108455157e+43,1.0057484038733489,0.005748403873348851,0.005748403873348851,5.375817403190086e-44,5.391246446661944e-44,0.9971381305557991
2^3 pi^-2 * m_e c^2/r_c * (rho_core/rho_f)^1 * (c/v)^{7},m_e c^2/r_c,1,7,3,-2,0.8105694691387022,3.04303181654709e+43,3.0256389108455157e+43,1.0057485067498402,0.0057485067498401765,0.0057485067498401765,5.375817128247969e-44,5.391246446661944e-44,0.9971380795579234
2^3 pi^-2 * m_e v^2/r_c * (rho_core/rho_f)^1 * (c/v)^{9},m_e v^2/r_c,1,9,3,-2,0.8105694691387022,3.0430318165470905e+43,3.0256389108455157e+43,1.0057485067498402,0.0057485067498401765,0.0057485067498401765,5.375817128247969e-44,5.391246446661944e-44,0.9971380795579234
2^-2 pi^-4 * F_swirl=m_e c^2/(2 r_c) * (rho_core/rho_f)^2 * (c/v)^{-2},F_swirl=m_e c^2/(2 r_c),2,-2,-2,-4,0.002566495563671084,3.07099923870721e+43,3.0256389108455157e+43,1.0149919832466123,0.014991983246612328,0.014991983246612328,5.351282505290024e-44,5.391246446661944e-44,0.9925872538443009
2^-2 pi^-3 * rho_core c^2 r_c^2 * (rho_core/rho_f)^2 * (c/v)^{-4},rho_core c^2 r_c^2,2,-4,-2,-3,0.008062883608299874,3.07099923870721e+43,3.0256389108455157e+43,1.0149919832466123,0.014991983246612328,0.014991983246612328,5.351282505290024e-44,5.391246446661944e-44,0.9925872538443009
2^-2 pi^-3 * rho_core v^2 r_c^2 * (rho_core/rho_f)^2 * (c/v)^{-2},rho_core v^2 r_c^2,2,-2,-2,-3,0.008062883608299874,3.0709992387072105e+43,3.0256389108455157e+43,1.0149919832466126,0.01499198324661255,0.01499198324661255,5.351282505290023e-44,5.391246446661944e-44,0.9925872538443007
2^-3 pi^-4 * m_e c^2/r_c * (rho_core/rho_f)^2 * (c/v)^{-2},m_e c^2/r_c,2,-2,-3,-4,0.001283247781835542,3.070999552835102e+43,3.0256389108455157e+43,1.0149920870686153,0.014992087068615323,0.014992087068615323,5.351282231602726e-44,5.391246446661944e-44,0.9925872030791763
2^-3 pi^-4 * m_e v^2/r_c * (rho_core/rho_f)^2 * (c/v)^{0},m_e v^2/r_c,2,0,-3,-4,0.001283247781835542,3.0709995528351026e+43,3.0256389108455157e+43,1.0149920870686155,0.014992087068615545,0.014992087068615545,5.351282231602726e-44,5.391246446661944e-44,0.9925872030791763
2^7 pi^6 * F_swirl=m_e c^2/(2 r_c) * (rho_core/rho_f)^1 * (c/v)^{5},F_swirl=m_e c^2/(2 r_c),1,5,7,6,123057.81677763895,3.075148434751338e+43,3.0256389108455157e+43,1.0163633286603875,0.016363328660387477,0.016363328660387477,5.347671132481677e-44,5.391246446661944e-44,0.9919173952421992
2^6 pi^6 * m_e c^2/r_c * (rho_core/rho_f)^1 * (c/v)^{5},m_e c^2/r_c,1,5,6,6,61528.90838881947,3.075148749303645e+43,3.0256389108455157e+43,1.0163634326226634,0.016363432622663376,0.016363432622663376,5.347670858979081e-44,5.391246446661944e-44,0.9919173445113341
2^6 pi^6 * m_e v^2/r_c * (rho_core/rho_f)^1 * (c/v)^{7},m_e v^2/r_c,1,7,6,6,61528.90838881947,3.075148749303646e+43,3.0256389108455157e+43,1.0163634326226636,0.0163634326226636,0.0163634326226636,5.347670858979081e-44,5.391246446661944e-44,0.9919173445113341
2^-8 pi^-1 * m_e v^2/r_c * (rho_core/rho_f)^2 * (c/v)^{0},m_e v^2/r_c,2,0,-8,-1,0.0012433979929054324,2.975633181883819e+43,3.0256389108455157e+43,0.9834726712488893,-0.016527328751110737,0.016527328751110737,5.436357852716096e-44,5.391246446661944e-44,1.0083675280847315
2^-8 pi^-1 * m_e c^2/r_c * (rho_core/rho_f)^2 * (c/v)^{-2},m_e c^2/r_c,2,-2,-8,-1,0.0012433979929054324,2.9756331818838186e+43,3.0256389108455157e+43,0.983472671248889,-0.01652732875111096,0.01652732875111096,5.436357852716096e-44,5.391246446661944e-44,1.0083675280847315
2^-7 pi^-1 * F_swirl=m_e c^2/(2 r_c) * (rho_core/rho_f)^2 * (c/v)^{-2},F_swirl=m_e c^2/(2 r_c),2,-2,-7,-1,0.0024867959858108648,2.9756328775108084e+43,3.0256389108455157e+43,0.9834725706509594,-0.016527429349040612,0.016527429349040612,5.436358130754523e-44,5.391246446661944e-44,1.008367579656929
