direction,beta,beta2,axis_projection_sq,energy_J,delta_E_over_E0,shape_rel_error
x,0.0,0.0,0.0,1.6356225415274113e-37,0.0,0.0
y,0.0,0.0,0.0,1.6356225415274113e-37,0.0,0.0
z,0.0,0.0,0.0,1.6356225415274113e-37,0.0,0.0
diag,0.0,0.0,0.0,1.6356225415274113e-37,0.0,0.0
x,0.0005,2.5e-07,0.0,1.6356225415274113e-37,0.0,1.064143077193993e-16
y,0.0005,2.5e-07,0.0,1.6356225415274113e-37,0.0,0.0
z,0.0005,2.5e-07,2.5e-07,1.6356225415274113e-37,0.0,0.0
diag,0.0005,2.5e-07,8.333333333333335e-08,1.6356225415274113e-37,0.0,1.5962146157909897e-16
x,0.001,1e-06,0.0,1.6356225415274113e-37,0.0,1.5962146157909897e-16
y,0.001,1e-06,0.0,1.6356225415274113e-37,0.0,1.5962146157909897e-16
z,0.001,1e-06,1e-06,1.6356225415274117e-37,2.553275437020545e-16,0.0
diag,0.001,1e-06,3.333333333333334e-07,1.6356225415274113e-37,0.0,2.713043157933422e-16
x,0.002,4e-06,0.0,1.6356225415274113e-37,0.0,1.064143077193993e-16
y,0.002,4e-06,0.0,1.6356225415274113e-37,0.0,0.0
z,0.002,4e-06,4e-06,1.6356225415274113e-37,0.0,5.320715385969965e-17
diag,0.002,4e-06,1.3333333333333336e-06,1.6356225415274113e-37,0.0,3.056518285910323e-16
x,0.00364867628,1.331283859623464e-05,0.0,1.6356225415274113e-37,0.0,0.0
y,0.00364867628,1.331283859623464e-05,0.0,1.6356225415274113e-37,0.0,5.320715385969965e-17
z,0.00364867628,1.331283859623464e-05,1.331283859623464e-05,1.6356225415274113e-37,0.0,0.0
diag,0.00364867628,1.331283859623464e-05,4.437612865411548e-06,1.6356225415274113e-37,0.0,1.1897481291957873e-16
