id,conway,L,D,coeff_count,max_harmonic
3:1:1,3,16.371637,1.0,183,250
4:1:1,2 2,21.043322,1.0,220,255
5:1:1,5,23.598564,1.0,233,255
5:1:2,3 2,24.734148,1.0,241,256
6:1:1,4 2,28.354929,1.0,240,256
6:1:2,3 1 2,28.508783,1.0,249,255
6:1:3,2 1 1 2,28.915367,1.0,247,256
7:1:1,7,30.700289,1.0,222,254
7:1:2,5 2,31.931015,1.0,238,255
7:1:3,4 3,31.964205,1.0,242,255
7:1:4,3 1 3,32.130192,1.0,244,254
7:1:5,3 2 2,32.627506,1.0,241,254
7:1:6,2 2 1 2,32.82069,1.0,236,253
7:1:7,2 1 1 1 2,32.800343,1.0,249,256
8:1:1,6 2,35.491375,1.0,253,255
8:1:2,5 1 2,35.693745,1.0,234,256
8:1:3,4 4,35.577579,1.0,233,254
8:1:4,4 1 3,35.732094,1.0,235,256
8:1:5,"3,3,2",36.064419,1.0,224,256
8:1:6,3 3 2,36.238487,1.0,241,255
8:1:7,4 1 1 2,36.102798,1.0,242,256
8:1:8,2 3 1 2,36.363461,1.0,243,255
8:1:9,3 1 1 3,36.217125,1.0,242,255
8:1:10,"3,2 1,2",36.46706,1.0,247,252
8:1:11,3 2 1 2,36.445549,1.0,244,255
8:1:12,2 2 2 2,36.917023,1.0,236,252
8:1:13,3 1 1 1 2,36.397682,1.0,243,255
8:1:14,2 2 1 1 2,36.881733,1.0,245,255
8:1:15,"2 1,2 1,2",36.826252,1.0,240,255
8:1:16,.2.2 0,36.749668,1.0,242,256
8:1:17,.2.2,37.240898,1.0,244,254
8:1:18,8*,37.453163,1.0,239,256
8:1:19,"3,3,2-",30.493519,1.0,237,256
8:1:20,"3,2 1,2-",31.54599,1.0,248,256
8:1:21,"2 1,2 1,2-",32.765541,1.0,252,255
9:1:1,9,37.744167,1.0,232,252
9:1:2,7 2,39.016441,1.0,245,256
9:1:3,6 3,39.08707,1.0,238,251
9:1:4,5 4,39.12849,1.0,230,254
9:1:5,5 1 3,39.304817,1.0,244,255
9:1:6,5 2 2,39.776169,1.0,246,255
9:1:7,3 4 2,39.837582,1.0,242,256
9:1:8,2 4 1 2,39.9249,1.0,250,255
9:1:9,4 2 3,39.881916,1.0,246,255
9:1:10,3 3 3,39.891373,1.0,233,256
9:1:11,4 1 2 2,40.055908,1.0,239,256
9:1:12,4 2 1 2,40.039799,1.0,242,256
9:1:13,3 2 1 3,40.129963,1.0,242,256
9:1:14,4 1 1 1 2,39.997761,1.0,244,256
9:1:15,2 3 2 2,40.437172,1.0,247,256
9:1:16,"3,3,2+",40.054054,1.0,229,254
9:1:17,2 1 3 1 2,40.195763,1.0,244,256
9:1:18,3 2 2 2,40.617287,1.0,238,256
9:1:19,2 3 1 1 2,40.457893,1.0,247,256
9:1:20,3 1 2 1 2,40.105415,1.0,238,255
9:1:21,3 1 1 2 2,40.550259,1.0,245,256
9:1:22,"2 1 1,3,2",40.417946,1.0,232,255
9:1:23,2 2 1 2 2,40.634117,1.0,241,255
9:1:24,"3,2 1,2+",40.397648,1.0,242,256
