pair_id,carrier_id,family,candidate_null,candidate_active,beta,gamma_core,n_threads,helix_turns
PAIR_D0F53B74F730,TORUS_T2_3,torus,CAND_B296A9E721A2D4C8,CAND_70A50FA8FFB902FD,-0.75,1.0,3,1.0
PAIR_AA35CBB5E4D1,TORUS_T2_3,torus,CAND_B296A9E721A2D4C8,CAND_DC09D5465B1B8173,0.75,1.0,3,1.0
PAIR_93CEF4BAE6AA,TWIST_5_2,twist,CAND_0D5E9336A0A2C8AF,CAND_6F805BCEECC37A93,-0.75,1.0,3,1.0
PAIR_65FFD6CFDA2D,TWIST_5_2,twist,CAND_0D5E9336A0A2C8AF,CAND_FB06F5DAE4377091,0.75,1.0,3,1.0
PAIR_EBE67C557AF9,TRIPLE_GEAR_T3_3,triple_gear,CAND_A3EEAE37032FA756,CAND_E910656147BB470D,-0.75,1.0,3,1.0
PAIR_7E225F0A0DBB,TRIPLE_GEAR_T3_3,triple_gear,CAND_A3EEAE37032FA756,CAND_053061B87554BAFA,0.75,1.0,3,1.0
