direction,beta,beta2,axis_projection_sq,energy_J,delta_E_over_E0,shape_rel_error
x,0.0,0.0,0.0,8.112963402710449e-37,0.0,0.0
y,0.0,0.0,0.0,8.112963402710449e-37,0.0,0.0
z,0.0,0.0,0.0,8.112963402710449e-37,0.0,0.0
diag,0.0,0.0,0.0,8.112963402710449e-37,0.0,0.0
x,0.0005,2.5e-07,0.0,8.112963402710449e-37,0.0,4.652450537657927e-16
y,0.0005,2.5e-07,0.0,8.112963402710449e-37,0.0,4.663751138560287e-16
z,0.0005,2.5e-07,2.5e-07,8.112963402710449e-37,0.0,0.0
diag,0.0005,2.5e-07,8.333333333333335e-08,8.112963402710449e-37,0.0,1.2397857416525912e-16
x,0.001,1e-06,0.0,8.112963402710449e-37,0.0,2.3262252688289636e-16
y,0.001,1e-06,0.0,8.112963402710449e-37,0.0,6.266493959677722e-16
z,0.001,1e-06,1e-06,8.112963402710449e-37,0.0,0.0
diag,0.001,1e-06,3.333333333333334e-07,8.112963402710449e-37,0.0,5.81148858758958e-16
x,0.002,4e-06,0.0,8.112963402710449e-37,0.0,2.3397630665474844e-16
y,0.002,4e-06,0.0,8.112963402710449e-37,0.0,1.1965742802418185e-16
z,0.002,4e-06,4e-06,8.112963402710449e-37,0.0,4.699730465573814e-16
diag,0.002,4e-06,1.3333333333333336e-06,8.112963402710449e-37,0.0,4.652450537657927e-16
x,0.00364867628,1.331283859623464e-05,0.0,8.112963402710449e-37,0.0,2.3262252688289636e-16
y,0.00364867628,1.331283859623464e-05,0.0,8.112963402710449e-37,0.0,6.266493959677722e-16
z,0.00364867628,1.331283859623464e-05,1.331283859623464e-05,8.112963402710449e-37,0.0,4.699730465573814e-16
diag,0.00364867628,1.331283859623464e-05,4.437612865411548e-06,8.112963402710449e-37,0.0,1.1698815332737422e-16
