mode,sigma_s^-1,omega_rad_s,abs_omega_rad_s,circularity,omega_times_C_s^-1
62,1.724436087279147e+18,-0.0,0.0,0.0,-0.0
63,1.7244360872791565e+18,-0.0,0.0,0.0,-0.0
61,2.6639285599849144e+18,-0.0,0.0,0.0,-0.0
57,-2.663928559984915e+18,-0.0,0.0,0.0,-0.0
56,-2.663928559984948e+18,-0.0,0.0,0.0,-0.0
60,2.663928559984955e+18,-0.0,0.0,0.0,-0.0
58,-1.7244360872791542e+18,-1241.0060434985803,1241.0060434985803,3.5735303605122236e-16,-4.43477277402133e-13
59,-1.7244360872791542e+18,1241.0060434985803,1241.0060434985803,-3.5735303605122236e-16,-4.43477277402133e-13
38,883.3449725946085,-11942476073.339836,11942476073.339836,-7.568421532974651e-09,90.38569307049977
39,883.3449725946085,11942476073.339836,11942476073.339836,7.568421532974651e-09,90.38569307049977
52,2880.0,-3.119361398719148e+18,3.119361398719148e+18,0.7414798557057767,-2.3129436398164434e+18
53,2880.0,3.119361398719148e+18,3.119361398719148e+18,-0.7414798557057767,-2.3129436398164434e+18
54,1696.0,-3.119361398719161e+18,3.119361398719161e+18,0.7414798557057772,-2.3129436398164547e+18
55,1696.0,3.119361398719161e+18,3.119361398719161e+18,-0.7414798557057772,-2.3129436398164547e+18
50,704.0,-3.6703336159892465e+18,3.6703336159892465e+18,0.8383330117083483,-3.0769618342666573e+18
51,704.0,3.6703336159892465e+18,3.6703336159892465e+18,-0.8383330117083483,-3.0769618342666573e+18
48,1216.0,-3.670333615989258e+18,3.670333615989258e+18,0.8383330117083496,-3.076961834266672e+18
49,1216.0,3.670333615989258e+18,3.670333615989258e+18,-0.8383330117083496,-3.076961834266672e+18
42,896.0,-5.97008976367587e+18,5.97008976367587e+18,0.9176352000202812,-5.47836451442974e+18
43,896.0,5.97008976367587e+18,5.97008976367587e+18,-0.9176352000202812,-5.47836451442974e+18
40,1040.0,-5.97008976367588e+18,5.97008976367588e+18,0.9176352000202821,-5.478364514429755e+18
41,1040.0,5.97008976367588e+18,5.97008976367588e+18,-0.9176352000202821,-5.478364514429755e+18
44,1020.0,-6.05776085327104e+18,6.05776085327104e+18,0.9116323049266997,-5.522450489362209e+18
45,1020.0,6.05776085327104e+18,6.05776085327104e+18,-0.9116323049266997,-5.522450489362209e+18
46,-2688.0,-6.057760853271079e+18,6.057760853271079e+18,0.9116323049267007,-5.522450489362251e+18
47,-2688.0,6.057760853271079e+18,6.057760853271079e+18,-0.9116323049267007,-5.522450489362251e+18
