pair_id,candidate_a,candidate_b,valid,winner_anonymous,decision_basis,median_log_ratio_A_over_B,n_metrics_A_better,n_metrics_B_better,delta_far_profile_nu_blind,delta_far_profile_r2_blind,delta_far_profile_coeff_A_minus_B_blind,delta_far_profile_boundary_hit_blind,delta_pressure_ladder_n_blind,delta_pressure_ladder_nu_span_blind,carrier_id,family,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns,winner_condition,log_ratio_active_over_null,analysis_mode,active_dynamic_status,null_dynamic_status,active_actual_tau_end,null_actual_tau_end,pressure_delta_active_minus_null,active_pressure_center_minus_shell,null_pressure_center_minus_shell,active_far_profile_nu_best,active_far_profile_r2_best,active_far_profile_coeff_best,active_far_profile_nu_boundary_hit,delta_far_profile_nu_best,delta_far_profile_r2_best,delta_far_profile_coeff_best,delta_far_profile_nu_boundary_hit,active_r2_1_over_r,active_r2_1_over_r2,active_r2_advantage_1_over_r,delta_pressure_ladder_n,delta_pressure_ladder_nu_median,delta_pressure_ladder_nu_span,active_restoring_fraction,null_restoring_fraction,active_max_real_growth,null_max_real_growth,active_gear_phase_lock_score,null_gear_phase_lock_score,active_best_rational_p,active_best_rational_q,active_thread_over_carrier_rate
PAIR_D1F4DC4F8F0A,CAND_4585990CFC912D68,CAND_7E3F1246B9E328E6,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,3.0,0.9483341010779467,0.029693823709891622,False,3,1.1,TORUS_T2_7,torus,-1.0,-1.0,total_beta,1.0,3,1.0,unscored,nan,pressure_only,NOT_RUN,NOT_RUN,nan,nan,-0.211586881854818,-0.06091869211240081,0.1506681897424172,0.1,0.8956035058905104,2.4909115140530664,True,3.0,0.9483341010779467,0.029693823709891622,False,0.8148267462003126,0.7066758243109447,0.10815092188936792,3,nan,1.1,nan,nan,nan,nan,nan,nan,,,nan
PAIR_D81F06D6060F,CAND_D92C58C5DE29AE19,CAND_443358D3F8AB905F,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,2.125,0.8970993619015656,-0.027553985405926507,False,3,1.2750000000000001,TRIPLE_GEAR_T3_3,triple_gear,-1.0,-1.0,total_beta,1.0,3,1.0,unscored,nan,pressure_only,NOT_RUN,NOT_RUN,nan,nan,-0.16359641151023094,0.09465441406111288,0.2582508255713438,0.1,0.8427286661514055,2.6937880955364766,True,2.125,0.8970993619015656,-0.027553985405926507,False,0.7939310272670488,0.7249161292231785,0.06901489804387029,3,nan,1.2750000000000001,nan,nan,nan,nan,nan,nan,,,nan
PAIR_3CA762C44A43,CAND_EA5E7024BF11D60D,CAND_237590623A94509B,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,1.7,0.7568469943296544,0.03977890905504232,False,3,1.5249999999999997,TWIST_7_2,twist,1.0,1.0,total_beta,1.0,3,1.0,unscored,nan,pressure_only,NOT_RUN,NOT_RUN,nan,nan,-0.2429922374332755,0.12451942230696464,0.36751165974024014,0.1,0.960238121259615,2.9828750462214426,True,1.7,0.7568469943296544,0.03977890905504232,False,0.9252651468732704,0.8608255886568273,0.0644395582164431,3,nan,1.5249999999999997,nan,nan,nan,nan,nan,nan,,,nan
PAIR_0433A1192199,CAND_5516F335C0977B76,CAND_FB63DF4C01C21849,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,2.25,0.8894214973454915,0.023858545132537906,False,3,1.4,TWIST_5_2,twist,-1.0,-1.0,total_beta,1.0,3,1.0,unscored,nan,pressure_only,NOT_RUN,NOT_RUN,nan,nan,-0.2457833052919589,0.44210670411082476,0.6878900094027837,0.1,0.9934181073116091,6.259240858305443,True,2.25,0.8894214973454915,0.023858545132537906,False,0.9707895575163275,0.9117348226950067,0.05905473482132073,3,nan,1.4,nan,nan,nan,nan,nan,nan,,,nan
PAIR_566BFB5E1B55,CAND_08BAB6B89E76A337,CAND_4585990CFC912D68,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,0.1,0.19769243432143913,-0.09421586374265727,True,3,nan,TORUS_T2_7,torus,1.0,1.0,total_beta,1.0,3,1.0,unscored,nan,pressure_only,NOT_RUN,NOT_RUN,nan,nan,-0.037059619801427524,0.11360856994098967,0.1506681897424172,0.1,0.9543094468857231,2.8621906258662855,True,0.1,0.19769243432143913,-0.09421586374265727,True,0.9019531458069656,0.8189002594110579,0.08305288639590769,3,nan,nan,nan,nan,nan,nan,nan,nan,,,nan
PAIR_E2B27D90B063,CAND_B4513775C1BB318A,CAND_77384DD210BA33F2,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,0.7749999999999999,0.9668472496414238,-0.0909836952441697,False,3,0.6499999999999999,TWIST_4_1,twist,1.0,1.0,total_beta,1.0,3,1.0,unscored,nan,pressure_only,NOT_RUN,NOT_RUN,nan,nan,0.02053434799157744,0.32584013046844607,0.3053057824768686,0.25,0.9989108911045512,1.7397935055487077,False,0.7749999999999999,0.9668472496414238,-0.0909836952441697,False,0.9871918385943421,0.9402064843611551,0.04698535423318706,3,nan,0.6499999999999999,nan,nan,nan,nan,nan,nan,,,nan
PAIR_F44470F94145,CAND_5516F335C0977B76,CAND_EC086EF99020293B,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,0.1,0.7849138395785603,0.19754400203466402,True,3,0.0,TWIST_5_2,twist,1.0,1.0,total_beta,1.0,3,1.0,unscored,nan,pressure_only,NOT_RUN,NOT_RUN,nan,nan,0.0006722042922212568,0.6885622136950049,0.6878900094027837,0.1,0.9951529868645537,6.37818781222331,True,0.1,0.7849138395785603,0.19754400203466402,True,0.9774789408879387,0.9234903364845655,0.053988604403373275,3,nan,0.0,nan,nan,nan,nan,nan,nan,,,nan
PAIR_B083F34469F5,CAND_84CBF8196990150C,CAND_C933C3FC20F316C4,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,0.1,0.639744532246252,0.19179334056076955,True,3,nan,TORUS_T2_3,torus,1.0,1.0,total_beta,1.0,3,1.0,unscored,nan,pressure_only,NOT_RUN,NOT_RUN,nan,nan,-0.08313402316511993,0.10007105552134084,0.18320507868646077,0.1,0.9449231325002792,2.4679869041195888,True,0.1,0.639744532246252,0.19179334056076955,True,0.8948295623839124,0.815326611907842,0.07950295047607048,3,nan,nan,nan,nan,nan,nan,nan,nan,,,nan
PAIR_BDD8EAD885C6,CAND_268EC066A6FEAD9A,CAND_443358D3F8AB905F,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,0.1,0.6797728174068138,-0.2055468207682005,True,3,nan,TRIPLE_GEAR_T3_3,triple_gear,1.0,1.0,total_beta,1.0,3,1.0,unscored,nan,pressure_only,NOT_RUN,NOT_RUN,nan,nan,-0.08511253873686336,0.17313828683448046,0.2582508255713438,0.1,0.8596445175475415,2.8413832286469223,True,0.1,0.6797728174068138,-0.2055468207682005,True,0.8212771401567869,0.7618722629614867,0.05940487719530019,3,nan,nan,nan,nan,nan,nan,nan,nan,,,nan
PAIR_231FD6964C6D,CAND_7BCF72B30B6468DE,CAND_EA5E7024BF11D60D,True,UNSCORED,NO_BLIND_PAIR_SCORE,,0,0,0.1,0.29547998985722945,-0.07099465815238498,True,3,nan,TWIST_7_2,twist,-1.0,-1.0,total_beta,1.0,3,1.0,unscored,nan,pressure_only,NOT_RUN,NOT_RUN,nan,nan,-0.002118863566462237,0.3653927961737779,0.36751165974024014,0.1,0.9933470198096188,3.3549206879038684,True,0.1,0.29547998985722945,-0.07099465815238498,True,0.9710532071378775,0.9161617556054001,0.05489145153247732,3,nan,nan,nan,nan,nan,nan,nan,nan,,,nan
