1 1 0
2 6 0
3 3 0
4 5 0
5 11 0
6 3 0
7 3 0
8 5 0
9 9 0
10 4 0
11 6 0
12 11 0
13 1 0
14 2 0
15 3 0
16 4 0
17 6 0
18 9 0
19 16 0
20 2 0
21 3 0
22 5 0
23 8 0
24 12 0
25 28 0
26 2 0
27 4 0
28 8 0
29 9 0
30 11 0
31 15 0
32 25 0
33 2 0
34 6 0
35 8 0
36 13 0
37 16 0
38 29 0
39 4 0
40 9 0
41 10 0
42 14 0
43 17 0
44 26 0
45 2 0
46 3 0
47 5 0
48 7 0
49 10 0
50 15 0
51 19 0
52 31 0
53 3 0
54 5 0
55 7 0
56 9 0
57 11 0
58 15 0
59 16 0
60 16 0
61 27 0
62 26 0
63 5 0
64 10 0
65 14 0
66 17 0
67 19 0
68 27 0
69 27 0
70 34 0
71 1 0
72 2 0
73 3 0
74 4 0
75 5 0
76 6 0
77 7 0
78 8 0
79 12 0
80 14 0
81 16 0
82 17 0
83 19 0
84 28 0
85 36 0
86 2 0
87 4 0
88 5 0
89 6 0
90 7 0
91 8 0
92 9 0
93 10 0
94 11 0
95 12 0
96 13 0
97 14 0
98 17 0
99 21 0
100 35 0
101 2 0
102 3 0
103 4 0
104 6 0
105 8 0
106 9 0
107 11 0
108 14 0
109 17 0
110 19 0
111 20 0
112 24 0
113 26 0
114 45 0
115 2 0
116 3 0
117 4 0
118 9 0
119 9 0
120 13 0
121 16 0
122 19 0
123 21 0
124 22 0
125 23 0
126 29 0
127 31 0
128 37 0
129 36 0
130 41 0
131 42 0
132 2 0
133 2 0
134 3 0
135 3 0
136 4 0
137 5 0
138 6 0
139 7 0
140 8 0
141 9 0
142 10 0
143 11 0
144 12 0
145 13 0
146 14 0
147 16 0
148 17 0
149 18 0
150 19 0
151 20 0
152 21 0
153 22 0
154 23 0
155 24 0
156 52 0
157 1 0
158 2 0
159 3 0
160 4 0
161 5 0
162 6 0
163 7 0
164 8 0
165 9 0
166 10 0
167 11 0
168 14 0
169 15 0
170 16 0
171 19 0
172 22 0
173 26 0
174 32 0
175 39 0
176 42 0
177 49 0
178 54 0
179 1 0
180 2 0
181 3 0
182 6 0
183 7 0
184 8 0
185 8 0
186 11 0
187 12 0
188 13 0
189 14 0
190 16 0
191 19 0
192 22 0
193 24 0
194 32 0
195 39 0
196 42 0
197 56 0
198 54 0
199 2 0
200 3 0
201 5 0
202 8 0
203 9 0
204 11 0
205 12 0
206 13 0
207 14 0
208 15 0
209 16 0
210 19 0
211 22 0
212 25 0
213 32 0
214 33 0
215 40 0
216 41 0
217 44 0
218 76 0
219 2 0
220 4 0
221 7 0
222 10 0
223 13 0
224 17 0
225 25 0
