pair_id,carrier_id,family,candidate_null,candidate_active,beta_parameter,beta_total_thread_over_core,thread_coupling_mode,gamma_core,n_threads,helix_turns
PAIR_CE349D70FDFF,TORUS_T2_3,torus,CAND_84CBF8196990150C,CAND_D1272E6E46BC0E6C,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_B083F34469F5,TORUS_T2_3,torus,CAND_84CBF8196990150C,CAND_C933C3FC20F316C4,1.0,1.0,total_beta,1.0,3,1.0
PAIR_D1F4DC4F8F0A,TORUS_T2_7,torus,CAND_4585990CFC912D68,CAND_7E3F1246B9E328E6,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_566BFB5E1B55,TORUS_T2_7,torus,CAND_4585990CFC912D68,CAND_08BAB6B89E76A337,1.0,1.0,total_beta,1.0,3,1.0
PAIR_AE1C178E3663,TWIST_4_1,twist,CAND_B4513775C1BB318A,CAND_11786199DBE14AFB,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_E2B27D90B063,TWIST_4_1,twist,CAND_B4513775C1BB318A,CAND_77384DD210BA33F2,1.0,1.0,total_beta,1.0,3,1.0
PAIR_0433A1192199,TWIST_5_2,twist,CAND_5516F335C0977B76,CAND_FB63DF4C01C21849,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_F44470F94145,TWIST_5_2,twist,CAND_5516F335C0977B76,CAND_EC086EF99020293B,1.0,1.0,total_beta,1.0,3,1.0
PAIR_231FD6964C6D,TWIST_7_2,twist,CAND_EA5E7024BF11D60D,CAND_7BCF72B30B6468DE,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_3CA762C44A43,TWIST_7_2,twist,CAND_EA5E7024BF11D60D,CAND_237590623A94509B,1.0,1.0,total_beta,1.0,3,1.0
PAIR_D81F06D6060F,TRIPLE_GEAR_T3_3,triple_gear,CAND_443358D3F8AB905F,CAND_D92C58C5DE29AE19,-1.0,-1.0,total_beta,1.0,3,1.0
PAIR_BDD8EAD885C6,TRIPLE_GEAR_T3_3,triple_gear,CAND_443358D3F8AB905F,CAND_268EC066A6FEAD9A,1.0,1.0,total_beta,1.0,3,1.0
