candidate,family,i00000_sha256,i01000_sha256,i04000_sha256,i10000_exists,i10000_file_sha256,i10000_sha256,n_points,swept_value,swept_variable
F00_MEB_tight,baseline,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,b51aacc18c779ce19c14977b835a3a8a3febf8255c13768806f4d23e791a66c0,737fe1127eb687ed1d0a9fbbda9130d92e30cc95a9714de64244c58fdf425ebb,True,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,300,MEB,baseline
F10_M_only,force_ablation,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,ef7ec90c20c2ba1f4c3682f8eb7cc351a07e4bc7361b273dbcc6587c3cdbde7f,1450a700386379d302cfcf07aa37ccd142e17995fb7ad459d7ec9cc51e6f668e,True,1450a700386379d302cfcf07aa37ccd142e17995fb7ad459d7ec9cc51e6f668e,1450a700386379d302cfcf07aa37ccd142e17995fb7ad459d7ec9cc51e6f668e,300,M,forces
F11_ME,force_ablation,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,610da55d30964d238d55ea0a2801123fd1a0e9539401e1b653d56ddc50a5114e,89df1a8bb5e4a2ddf3d22e7728509a70a562bd126b62739cab6daf7e6d293315,True,50f0d136a0b5c5fbfcafbe0d6006db5ecab29a8274e327c1ffd5dbca76a63f5f,50f0d136a0b5c5fbfcafbe0d6006db5ecab29a8274e327c1ffd5dbca76a63f5f,300,ME,forces
F12_MB,force_ablation,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,002523bc3577c16d5b1006c64e8f2e488bb95bbc869c6ee1487391504ba12c75,ed3b0cf6bcfd3df1550d86b103040888a0fbedd4a0b80648e49403875bf3b088,True,ed3b0cf6bcfd3df1550d86b103040888a0fbedd4a0b80648e49403875bf3b088,ed3b0cf6bcfd3df1550d86b103040888a0fbedd4a0b80648e49403875bf3b088,300,MB,forces
F13_MEB,force_ablation,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,b51aacc18c779ce19c14977b835a3a8a3febf8255c13768806f4d23e791a66c0,737fe1127eb687ed1d0a9fbbda9130d92e30cc95a9714de64244c58fdf425ebb,True,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,316ab58b42c4f7d0be98a531db1f890d658dd4504202f702edf14dabb99005ab,300,MEB,forces
C20_ME_q3p75,charge_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,0e25fb354613a31b91598122bf03e6044e7b6e6f87d5621922fd8a6200858f20,d1eee36c46a2efbd6ee6e1a4922aad81ee9e04af094b45496693b00177d7ef06,True,d1eee36c46a2efbd6ee6e1a4922aad81ee9e04af094b45496693b00177d7ef06,d1eee36c46a2efbd6ee6e1a4922aad81ee9e04af094b45496693b00177d7ef06,300,3.75,charge
C21_ME_q7p5,charge_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,5830bb3c4daca21e5c25e28c34461ca832c1e3d8993cdf1984525e31f5e2375e,f303ca696a12a37b51af2de42e324fe83bd1c1b71ca20715cb0e8f1fd3084ca2,True,f303ca696a12a37b51af2de42e324fe83bd1c1b71ca20715cb0e8f1fd3084ca2,f303ca696a12a37b51af2de42e324fe83bd1c1b71ca20715cb0e8f1fd3084ca2,300,7.5,charge
C22_ME_q15p0,charge_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,610da55d30964d238d55ea0a2801123fd1a0e9539401e1b653d56ddc50a5114e,89df1a8bb5e4a2ddf3d22e7728509a70a562bd126b62739cab6daf7e6d293315,True,50f0d136a0b5c5fbfcafbe0d6006db5ecab29a8274e327c1ffd5dbca76a63f5f,50f0d136a0b5c5fbfcafbe0d6006db5ecab29a8274e327c1ffd5dbca76a63f5f,300,15,charge
C23_ME_q30p0,charge_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,60804c42d3b42eb63e90b6555f0705ecfe976796461823c8ebfeaa4fa1792e4c,f60f13b63b2eca67f593cbffdb1de051a2151ac37bd3eccafdb270012f4e4ab3,True,728e33aa49b8af7fd1c3d31b5b943d0ff292008adc2be0c5c62c5af102959981,728e33aa49b8af7fd1c3d31b5b943d0ff292008adc2be0c5c62c5af102959981,300,30,charge
C24_ME_q60p0,charge_ME,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,78b19f5f348034db005fe2b92491fd6ceb1b79289610f18b52a8bfec30ecdd70,da25616730af6183f89d527704b5aca29e339d0b92a127288d72ba6c03307aa6,True,9c4acd52d4fa17df09435ca75107156530d5ae4c42f58e56a4210532d4622c88,9c4acd52d4fa17df09435ca75107156530d5ae4c42f58e56a4210532d4622c88,300,60,charge
B30_MB_ben0p25,bencon_MB,2f163170e0c884a75a0da8e9ce1efab4c9863a7eb3b214da92f1caca225e5ded,384c1f6200ecec622cd544b3f3603ae19314d3a37e4d13d7fa6742ff91b83c67,1282806f5a34edeb3e0599f750c7b65bf6fec18a88ee3edd8e29fc4b33bb5d08,True,1282806f5a34edeb3e0599f750c7b65bf6fec18a88ee3edd8e29fc4b33bb5d08,1282806f5a34edeb3e0599f750c7b65bf6fec18a88ee3edd8e29fc4b33bb5d08,300,0.25,bencon
