eigen_index,lambda_real,lambda_imag,frequency,growth_abs,growth_ratio,k2,k
15,-0.04833143818238083,0.0,0.0,0.04833143818238083,48331438182380.83,4.3109898721867905,2.0762923378432987
14,-0.04171850807634498,0.0,0.0,0.04171850807634498,41718508076344.98,0.10816545021543163,0.3288851626562555
13,-0.05434925602590074,0.0,0.0,0.05434925602590074,54349256025900.734,7.21603681269688,2.6862681944841027
12,-0.05433274597010432,0.0,0.0,0.05433274597010432,54332745970104.31,7.204557924368756,2.6841307576883726
11,-0.05795644154941595,0.0,0.0,0.05795644154941595,57956441549415.945,4.263740080940639,2.0648825828459687
10,-0.057972395381354756,0.0,0.0,0.057972395381354756,57972395381354.75,4.264233334768654,2.065002018102804
9,-0.06372317237258797,0.0,0.0,0.06372317237258797,63723172372587.96,7.164741014364116,2.676703385577886
8,-0.06370252078602004,0.0,0.0,0.06370252078602004,63702520786020.03,7.155729258631762,2.675019487523738
25,0.05433225709491725,0.0,0.0,0.05433225709491725,54332257094917.24,7.204450384581638,2.6841107250971667
22,0.06372443611441306,0.0,0.0,0.06372443611441306,63724436114413.055,7.1657670537525435,2.6768950397340094
21,0.06370501594448695,0.0,0.0,0.06370501594448695,63705015944486.945,7.15575617572812,2.6750245187153183
20,-0.03437285954570294,0.0,0.0,0.03437285954570294,34372859545702.938,2.2150173653897762,1.488293440619079
19,-0.034389414843509034,0.0,0.0,0.034389414843509034,34389414843509.03,2.371817609806428,1.5400706509139208
18,-0.04511034075267635,0.0,0.0,0.04511034075267635,45110340752676.34,0.3813542551722099,0.6175388693614434
17,-0.04507325760503382,0.0,0.0,0.04507325760503382,45073257605033.82,0.38137991365005386,0.6175596437997336
16,-0.0483130043513613,0.0,0.0,0.0483130043513613,48313004351361.3,4.310737613344166,2.0762315895256402
30,0.04511227808391783,0.0,0.0,0.04511227808391783,45112278083917.83,0.38137937255348486,0.6175592057070195
26,0.05434862530883159,0.0,0.0,0.05434862530883159,54348625308831.586,7.216495695723834,2.6863536058612674
27,0.041723877433502046,0.0,0.0,0.041723877433502046,41723877433502.05,0.10818535076538115,0.32891541582203343
28,0.04833191669701598,0.0,0.0,0.04833191669701598,48331916697015.98,4.310528933546559,2.0761813344567375
31,0.045051518302089644,0.0,0.0,0.045051518302089644,45051518302089.64,0.38137647809854613,0.6175568622390541
29,0.048313851966374395,0.0,0.0,0.048313851966374395,48313851966374.39,4.310671907085244,2.0762157660236675
43,-0.010325180048761009,0.0,0.0,0.010325180048761009,10325180048761.008,1.433615149316505,1.1973366900402347
42,-0.010325907914114143,0.0,0.0,0.010325907914114143,10325907914114.143,1.4339551190826814,1.1974786507836712
40,0.010324277263591383,0.0,0.0,0.010324277263591383,10324277263591.383,1.434191487831423,1.1975773410646275
41,0.010328098085074584,0.0,0.0,0.010328098085074584,10328098085074.582,1.4334016268628724,1.19724752113457
38,0.006461251023045306,0.0,0.0,0.006461251023045306,6461251023045.305,2.205247778428721,1.4850076694848149
39,0.00666699859992267,0.0,0.0,0.00666699859992267,6666998599922.67,2.261785410756807,1.5039233393882838
35,-0.006441248435763882,0.0,0.0,0.006441248435763882,6441248435763.881,2.207079073935833,1.4856241361582117
34,-0.006688522058646834,0.0,0.0,0.006688522058646834,6688522058646.833,2.262875576711534,1.5042857363917048
33,0.03435001494264003,0.0,0.0,0.03435001494264003,34350014942640.023,2.179406927030186,1.4762814525117445
32,0.03438226482143039,0.0,0.0,0.03438226482143039,34382264821430.39,2.3485312827187292,1.5324918540464512
23,0.05795890986355802,1.0362440841570577e-06,1.0362440841570577e-06,0.05795890986355802,55931.71604034317,4.26321555071185,2.0647555668194357
36,9.151538291338342e-06,2.0116440961002693e-05,2.0116440961002693e-05,9.151538291338342e-06,0.454928300144112,25.33558501399769,5.033446633669388
4,-0.004684447102252392,0.055527502851614556,0.055527502851614556,0.004684447102252392,0.08436264664684419,11.006196615630815,3.3175588337858932
0,0.004684465230666176,0.05552754915051832,0.05552754915051832,0.004684465230666176,0.08436290278124851,11.007359683940543,3.317734118934268
6,-0.0046844153903908645,0.05552862886865302,0.05552862886865302,0.0046844153903908645,0.08436036483939381,11.009505216026081,3.318057446161245
2,0.004683358516287657,0.05553095625656092,0.05553095625656092,0.004683358516287657,0.0843377970055094,11.01048967524219,3.318205791575048
