candidate_id,family,canonical_id,topology_class,family_index,variant_index,component_count,points_per_component,construction_method,source_record,legacy_ptsa_id,parameters_json
PKLSA_536ca83fdafec4,knot_3.1,3_1,knot,14,19,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_3bd8f008850a,"{""ptsa_baseR"":4.08248290463863,""ptsa_bulge_R"":1.4,""ptsa_z_weave"":4.6}"
PKLSA_41020e6693f2ca,knot_3.1,3_1,knot,14,20,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_d8be1c144954,"{""ptsa_baseR"":4.08248290463863,""ptsa_bulge_R"":1.8,""ptsa_z_weave"":2.2}"
PKLSA_22b300e8984a0c,knot_3.1,3_1,knot,14,21,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_422e55cc2945,"{""ptsa_baseR"":4.08248290463863,""ptsa_bulge_R"":1.8,""ptsa_z_weave"":3.0}"
PKLSA_bca4c36c7f9f5d,knot_3.1,3_1,knot,14,22,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_a44257525139,"{""ptsa_baseR"":4.08248290463863,""ptsa_bulge_R"":1.8,""ptsa_z_weave"":3.8}"
PKLSA_1072c281e30493,knot_3.1,3_1,knot,14,23,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_bbd17dc63aa8,"{""ptsa_baseR"":4.08248290463863,""ptsa_bulge_R"":1.8,""ptsa_z_weave"":4.6}"
PKLSA_e6c07fe62dce4d,knot_3.1,3_1,knot,14,24,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_84105a70edf8,"{""ptsa_baseR"":4.08248290463863,""ptsa_bulge_R"":2.2,""ptsa_z_weave"":2.2}"
PKLSA_8bea62d65e205c,knot_3.1,3_1,knot,14,25,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_d640ab3a9ef1,"{""ptsa_baseR"":4.08248290463863,""ptsa_bulge_R"":2.2,""ptsa_z_weave"":3.0}"
PKLSA_a5a9afe3119bda,knot_3.1,3_1,knot,14,26,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_eab0c0d7cb5e,"{""ptsa_baseR"":4.08248290463863,""ptsa_bulge_R"":2.2,""ptsa_z_weave"":3.8}"
PKLSA_09cfdf4a52618c,knot_3.1,3_1,knot,14,27,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_2b610141b8df,"{""ptsa_baseR"":4.08248290463863,""ptsa_bulge_R"":2.2,""ptsa_z_weave"":4.6}"
PKLSA_3c6313b2fb5532,knot_3.1,3_1,knot,14,28,1,512,PTSA-v1.0.0-exact-shape-up-to-global-similarity-normalization,PTSA-v1.0.0/48-candidate-family,PTSA_2862dfeb5af1,"{""ptsa_baseR"":4.08248290463863,""ptsa_bulge_R"":2.6,""ptsa_z_weave"":2.2}"
